ID,Name_lang,MapID,QuestPOIBlobID,AreaPOIIconEnum
9,鐵環挖掘場,0,54097,177
10,鐵鬚之墓,0,54124,177
12,維爾加挖掘場,0,54126,177
13,綠意守望者之林古河岸,0,54127,177
15,索拉丁之牆,0,54129,177
18,枯木挖掘場,0,54132,177
19,薩多爾大橋,0,54133,177
20,丹加洛克挖掘場,0,54134,177
21,南海鎮古原野,0,54135,177
22,鷹巢山挖掘場,0,54136,177
23,沙德拉洛挖掘場,0,54137,177
24,祖爾祭壇挖掘場,0,54138,177
25,辛薩羅城下層挖掘場,0,54139,177
26,辛薩羅城上層挖掘場,0,54140,177
27,亞戈瓦薩挖掘場,0,54141,177
140,TEMPLATE TROLL,0,54828,177
142,TEMPLATE DWARF,0,54830,177
144,鐵趾挖掘場,0,54832,177
146,看守者之墓挖掘場,0,54834,177
150,奧達曼挖掘場,0,54838,177
152,沉沒的神廟挖掘場,0,54862,177
154,蘆葦古河岸,0,54864,177
161,TEMPLATE NIGHT ELF,0,55348,177
163,暮光森林挖掘場,0,55350,177
165,沃古爾古河岸,0,55352,177
167,納傑韋爾挖掘場,1,55354,177
169,佐拉姆海岸挖掘場,1,55356,177
171,奧迪拉蘭廢墟,1,55398,177
173,星塵廢墟,1,55400,177
175,林歌神殿挖掘場,1,55402,177
177,石爪峰,1,55404,177
179,艾爾德雷薩廢墟,1,55406,177
181,掘出的遺址,1,55408,177
183,巴爾莫丹挖掘場,1,55410,177
185,埃達拉斯廢墟,1,55412,177
187,亞考蘭廢墟,1,55414,177
189,湖邊大道古河岸,0,55416,177
191,滑刃水濱挖掘場,1,55418,177
193,艾瑟雷索挖掘場,1,55420,177
195,白骨之谷,1,55422,177
197,瑪諾洛克集會所挖掘場,1,55424,177
199,科多獸墳場,1,55426,177
201,薩格隆挖掘場,1,55428,177
203,紅色海岸古河岸,0,55434,177
205,巨槌古原野,0,55436,177
207,煤渣挖掘場,0,55438,177
209,派洛克斯平原挖掘場,0,55440,177
211,索瑞森西部廢墟,0,55442,177
213,索瑞森東部廢墟,0,55444,177
215,龍翼小徑古原野,0,55446,177
217,祖爾瑪夏挖掘場,0,55448,177
219,奎爾林斯小屋挖掘場,0,55450,177
221,魔刃之痕古原野,0,55452,177
223,祖昆達東部挖掘場,0,55454,177
225,祖昆達西部挖掘場,0,55456,177
227,巴拉爾廢墟挖掘場,0,55458,177
229,巴里亞曼挖掘場,0,55460,177
231,贊塔加挖掘場,0,55462,177
233,祖瑪維東部挖掘場,0,55464,177
235,祖瑪維西部挖掘場,0,55466,177
237,野人海岸迅猛龍平原,0,55468,177
239,阿博拉茲廢墟,0,55470,177
241,朱布瓦爾廢墟,0,55472,177
243,古拉巴什競技場挖掘場,0,55474,177
245,納克邁尼聖泉挖掘場,0,55476,177
247,費爾斯通古原野,0,55478,177
249,北山古化石原野,0,55480,177
251,安多哈爾古河岸,0,55482,177
259,巨龍泥沼古原野,1,55755,177
261,泥潭沼澤古原野,1,55757,177
279,厄運之槌挖掘場,1,56327,177
281,平民區廢墟挖掘場,1,56329,177
283,鴉風挖掘場,1,56331,177
285,奧奈羅斯挖掘場,1,56333,177
287,索蘭薩爾挖掘場,1,56335,177
289,暗霧挖掘場,1,56337,177
291,伊斯迪爾南部挖掘場,1,56339,177
293,伊斯迪爾北部挖掘場,1,56341,177
