ID,Description_lang,Color
2,現在會有額外敘述,16777215
20,第10季,-16711936
226,第10季精英,-16711936
525,第9季精英,-16711936
653,第9季,-16711936
1013,第11季,-16711936
1208,第11季精英,-16711936
1591,第19季,-16711936
1593,這個顏色太刺眼,-65536
1641,團隊搜尋器,-16711936
2015,英雄難度,65280
2023,第10季精英,-1
2255,第12季,65280
2667,第12季精英,65280
3564,,65280
3759,製作材料,-10044417
3765,100格袋子,-1
3845,英雄難度精英,65280
3859,精英,65280
3933,第13季,65280
3934,第13季精英,65280
4918,等級1,-16711681
4949,等級2,-16711681
4953,等級3,-16711681
4957,等級4,-16711681
4961,等級5,-16711681
4965,等級7,-16711681
4969,等級8,-16711681
4970,等級6,-16711681
5213,事件物品,-1
5616,雷霆鎔鑄,65280
6360,英雄難度雷霆鎔鑄,65280
6798,等級9,-16711681
6842,等級??,-16711681
6843,第8季,65280
6894,第8季精英,65280
7052,第7季,65280
7225,第7季精英,65280
7261,第6季,65280
7434,第6季精英,65280
7463,第5季,65280
7636,第4季,65280
7775,第3季,65280
7906,第2季,65280
8027,第1季,65280
8869,彈性模式,65280
9059,第14季,65280
9459,第14季精英,65280
10066,英雄難度雷霆鎔鑄,16711680
10126,第15季,65280
10520,第15季精英,65280
11080,永恆之島,65280
11179,英雄難度戰鑄,65280
11428,戰鑄,65280
12743,戰利品,-10044417
12790,原始,-16711936
12934,鍊金術材料,-10044417
13021,製作材料,-7820545
13111,能量之,0
13145,傳奇難度,-16711936
13149,工程學材料,-10044417
13150,炎光之,0
13151,無雙之,0
13152,速刃之,0
13153,野蠻之,0
13154,盲信者之,0
13155,狡黠之,0
13156,狂熱火光之,0
13157,極光之,0
13158,靈巧之,0
13159,狂熱者之,0
13160,塑風者之,0
13161,和諧之,0
13162,殘忍之,0
13163,預言師之,0
13164,貴族之,0
13165,戰略家之,0
13166,占兆師之,0
13167,堅實之,0
13168,信使之,0
13169,風暴剋星之,0
13170,急躁之,0
13171,學者之,0
13172,適應之,0
13173,無情之,0
13174,虔誠之,0
13175,不毀之,0
13176,屠殺之,0
13178,德拉諾之霸聯賽,65280
13181,烹飪材料,-10044417
13184,製造材料,-10044417
13185,第2階段,65280
13186,第3階段,65280
13187,第1階段,65280
13188,傳奇難度戰鑄,-16711936
13190,追隨者裝備,-9316865
13191,要賽資源,-10044417
13192,貿易站零件,-16724737
13193,普通難度,65280
13194,貿易站組件,-16724737
13195,原始,-10044417
13196,德拉諾之霸第1季,65280
13197,種族PvP代幣,-7820545
13198,德拉諾之霸第1季精英,65280
13201,第0級,65280
13202,第1級 - 神聖,65280
13203,第1級 - 火焰,65280
13204,第1級 - 腐化,65280
13205,第2級 - 神聖,65280
13206,第2級 - 火焰,65280
13207,第2級 - 腐化,65280
13208,第4階段,65280
13209,要塞藍圖,-10044417
13210,時光行者,-1651584
13211,德拉諾之霸第2季,65280
13212,德拉諾之霸第2季精英,65280
13213,德拉諾之霸第3季,65280
13214,德拉諾之霸第3季精英,65280
13215,偷竊,-16724737
13216,時光扭曲,-16711936
13217,第5階段,65280
13218,第6階段,65280
13219,神兵之力,-1651584
13220,時光扭曲戰鑄,-16711936
13222,強化,65280
13223,上古法力,-10044417
13224,船艦設備,65280
13225,邪怨,-16711936
13226,軍臨天下第1季,65280
13227,軍臨天下第1季精英,65280
13228,勇士裝備,-12288
13230,第1階段,65280
13231,第2階段,65280
13232,第3階段,65280
13233,第4階段,65280
13234,第5階段,65280
13235,第6階段,65280
13236,第7階段,65280
13237,第8階段,65280
13238,第9階段,65280
13239,泰坦造物,65280
13241,歐丁之怒,-1651584
13242,黑爾雅之怒,-1651584
13243,霜奪,-1651584
13244,冰劫,-1651584
13245,維魯斯,-1651584
13246,穆拉瑪斯,-1651584
13247,奧柏克,-1651584
13248,奧拉德,-1651584
13249,苦痛,-1651584
13250,哀傷,-1651584
13251,天命,-1651584
13252,機運,-1651584
13253,血牙,-1651584
13254,艾可莉的意志,-1651584
13256,滅塵：0/10,65280
13257,滅塵：1/10,65280
13258,滅塵：2/10,65280
13259,滅塵：3/10,65280
13260,滅塵：4/10,65280
13261,滅塵：5/10,65280
13262,滅塵：6/10,65280
13263,滅塵：7/10,65280
13264,可滅形,-7820545
13265,傳奇2,-16711936
13266,傳奇3,-16711936
13267,傳奇4,-16711936
13268,傳奇5,-16711936
13269,傳奇6,-16711936
13270,傳奇7,-16711936
13271,傳奇8,-16711936
13272,傳奇9,-16711936
13273,傳奇10,-16711936
13274,特強傳奇2,-16711936
13275,特強傳奇3,-16711936
13276,特強傳奇4,-16711936
13277,特強傳奇5,-16711936
13278,特強傳奇6,-16711936
13279,特強傳奇7,-16711936
13280,特強傳奇8,-16711936
13281,特強傳奇9,-16711936
13282,滅塵：8/10,65280
13284,精兵,-16711936
13285,滅塵：9/10,65280
13286,滅塵：10/10,65280
13287,軍臨天下第2季,65280
13288,軍臨天下第2季精英,65280
13289,傳奇11,-16711936
13290,傳奇12,-16711936
13291,25人(普通),0
13292,25人(英雄),0
13293,10人(普通),65280
13294,等級8,-16711681
13295,軍臨天下第3季,65280
13296,軍臨天下第3季精英,65280
13297,軍臨天下第4季,65280
13298,軍臨天下第4季精英,65280
13299,軍臨天下第5季,65280
13300,軍臨天下第5季精英,65280
13301,鬥士,-16711936
13302,戰鬥者I,-16711936
13303,志士,-16711936
13304,榮譽,-16711936
13305,太陽之井,-16711936
13306,PvP稀有,65280
13307,PvP史詩,65280
13308,傳奇13,-16711936
13309,傳奇14,-16711936
13310,傳奇15,-16711936
13311,軍臨天下第6季,65280
13312,軍臨天下第7季,65280
13313,軍臨天下第6季精英,65280
13314,軍臨天下第7季精英,65280
13315,軍臨天下第1季、第2季,65280
13316,軍臨天下第1季、第2季精英,65280
13317,軍臨天下第3季、第4季,65280
13318,軍臨天下第3季、第4季精英,65280
13319,製作物品,-10044417
13320,棄捨,65280
13321,無懼,65280
13322,原始滅塵：0/10,65280
13323,原始滅塵：1/10,65280
13324,原始滅塵：2/10,65280
13325,原始滅塵：3/10,65280
13326,原始滅塵：4/10,65280
13327,原始滅塵：5/10,65280
13328,原始滅塵：6/10,65280
13329,原始滅塵：7/10,65280
13330,原始滅塵：8/10,65280
13331,原始滅塵：9/10,65280
13332,原始滅塵：10/10,65280
