Name_lang,ID,SpecSetID,InventoryTypeMask,SpellID,ItemBonusListID,PlayerConditionID,Field_9_0_1_34972_007,UnlockItemID,CovenantID,Field_9_1_0_38549_010
滑冰,2,22,192,327508,6823,85782,63,183281,0,0
冷鋒侵襲,3,22,1114144,327284,6828,85779,60,183278,0,0
冰凍之風,4,22,1026,327364,6829,85780,61,183279,0,0
冰川碎片,5,22,65664,327492,6830,85781,62,183280,0,0
延伸潛能,6,162,320,327489,6831,85768,49,183267,0,0
循規蹈矩,7,162,2560,327365,6832,85132,48,183266,0,0
恐怖冰柱,8,162,14,333393,6937,85769,50,183268,0,0
時光扭曲,9,162,1050656,327351,6834,85774,55,183273,0,0
狂熱魔咒,10,23,1090,333030,6931,85775,56,183274,0,0
火焰風暴,11,23,2056,333097,6932,85776,58,183275,0,0
熔岩天墜,12,23,516,333167,6933,85777,57,183276,0,0
太陽之王的祝福,13,23,1536,333313,6934,85778,59,183277,0,0
無窮秘法,14,21,1032,332769,6926,85772,53,183271,0,0
秘法轟炸,15,21,65792,332892,6927,85771,52,183270,0,0
虹吸風暴,16,21,1408,332928,6928,85773,54,183272,0,0
聖使結界,17,162,1048612,333373,6936,85770,51,183269,0,92618
集體苦痛,18,8,66048,337504,7041,85718,18,183213,0,0
魔化轟炸,19,8,14,337775,7052,85128,19,183210,0,92614
黑暗之眼勳章,20,8,68,337534,7043,85717,17,183212,0,0
黑暗時刻,21,8,160,337539,7044,85716,16,183211,0,0
黑暗本性,22,9,392,346264,7218,85722,21,183217,0,0
混沌理論,23,9,1088,337551,7050,85719,20,183214,0,0
失序魔核,24,9,2304,337685,7051,85720,22,183215,0,0
燃燒傷口,25,9,65568,346279,7219,85721,23,183216,0,0
暗焰之靈,26,10,6,337541,7045,85726,25,183221,0,0
拉瑟萊克的褻瀆,27,10,640,337544,7046,85725,27,183220,0,0
魔化烈焰防衛,28,10,2112,337545,7047,85723,24,183218,0,0
熾熱靈魂,29,10,1536,337547,7048,85724,26,183219,0,0
超級病原體,30,43,36,334974,6953,85703,3,182627,0,0
驚懼氛圍,31,43,14,335177,6954,85702,2,182626,0,92612
死亡之擁,32,43,2560,334728,6947,85127,0,182617,0,0
長青之握,33,43,320,334724,6948,85701,1,182625,0,0
布林道爾之力,34,5,65792,334501,6940,85704,4,182628,0,0
赤紅符文武器,35,5,1096,334525,6941,85705,5,182629,0,0
血魔的統御,36,5,384,334580,6943,85706,6,182630,0,0
吸血光環,37,5,2080,334547,6942,85707,7,182631,0,0
寇爾提拉的恩寵,38,6,2056,334583,6944,85711,10,182635,0,0
刺骨之寒,39,6,66,334678,6945,85709,8,182633,0,0
絕對零度,40,6,516,334692,6946,85708,9,182632,0,0
冰封勇士的怒火,41,6,3584,341724,7160,85710,11,182634,0,0
活化的跛行者,42,7,192,334836,6949,85715,15,182640,0,0
狂暴巨怪,43,7,65664,334888,6950,85714,14,182638,0,0
死亡的肯定,44,7,1030,334898,6951,85713,13,182637,0,0
致死纏繞,45,7,65568,334949,6952,85712,12,182636,0,0
深度專注藥劑,46,48,1048612,338658,7086,85728,31,183224,0,92615
生死循環,47,48,2050,338657,7085,85727,30,183223,0,0
萊卡拉的驚鴻一瞥,48,48,320,340059,7110,85729,29,183225,0,0
德魯伊長老的誓約,49,48,520,338608,7084,85129,28,183222,0,0
歐尼斯的清晰幻視,50,15,65792,338661,7087,85731,32,183227,0,0
原初秘術脈衝星體,51,15,3080,338668,7088,85732,33,183228,0,0
萬物平衡,52,15,384,339942,7107,85730,34,183226,0,0
古舊的縛夢者,53,15,1050656,339949,7108,85733,35,183229,0,0
狂亂指環,54,16,576,340053,7109,85737,39,183233,0,0
至尊掠食者的渴望,55,16,72,339139,7091,85734,38,183230,0,0
恐怖虎眼,56,16,1030,339141,7090,85736,37,183232,0,0
貓眼珍品,57,16,2052,339144,7089,85735,36,183231,0,0
絲瓜灌注之擁,58,17,1114144,339060,7092,85738,40,183234,0,0
自然法則的意志,59,17,1538,339063,7093,85739,41,183235,0,0
厄索克怒火之憶,60,17,65664,339056,7094,85740,42,183236,0,0
沉睡者的傳承,61,17,320,339062,7095,85741,43,183237,0,0
始祖之樹的記憶,62,18,640,339064,7096,85744,44,183240,0,0
黑暗泰坦之鑒,63,18,65540,338831,7097,85745,45,183241,0,0
綠意灌注,64,18,66568,338829,7098,85742,46,183238,0,0
無盡成長幻象,65,18,386,338832,7099,85743,47,183239,0,0
野性呼喚,66,163,2560,336742,7003,85131,147,183250,0,0
奈辛瓦里的困陷器械,67,163,324,336743,7004,85754,146,183252,0,0
魂鑄餘燼,68,163,2058,336745,7005,85755,145,183253,0,0
膽小鬼計策,69,163,36,336747,7006,85753,144,183251,0,92617
凶暴命令,70,44,2080,336819,7007,85756,151,183254,0,0
喚焰者的眼鏡蛇釘刺,71,44,384,336822,7008,85757,150,183255,0,0
卡普拉，惡魔必勝戰策,72,44,1032,336830,7009,85758,148,183256,0,0
萊拉克巡者的穿刺尖牙,73,44,65920,336844,7010,85759,149,183257,0,0
鷹爪的專注,74,14,1090,336849,7011,85760,155,183258,0,0
奔騰射擊,75,14,516,336867,7012,85763,153,183261,0,0
潛蛇的把戲,76,14,2056,336870,7013,85762,152,183260,0,0
不懈崗哨之秘,77,14,1536,336878,7014,85761,154,183259,0,0
野火集束,78,20,192,336895,7015,85767,159,183265,0,0
萊拉克巡者的惑淆攻擊,79,20,65664,336901,7016,85766,157,183264,0,0
隱性猛毒注入器,80,20,1026,336902,7017,85765,158,183263,0,0
屠夫的骨頭碎片,81,20,65568,336907,7018,85764,156,183262,0,0
逃離現實,82,164,36,343250,7184,85784,67,183284,0,92619
天祈者之喜,83,164,65546,337298,7082,85783,66,183283,0,0
疾確裹布,84,164,320,337294,7080,85785,65,183285,0,0
致命之觸,85,164,2560,337296,7081,85133,64,183282,0,0
燃燒熱情,86,24,65792,338138,7076,85787,68,183287,0,0
風暴烈酒的最後一罈酒,87,24,1096,337288,7077,85789,69,183289,0,0
星界灌注,88,24,384,337290,7078,85788,70,183288,0,0
紹昊之力,89,24,1050656,337570,7079,85786,71,183286,0,0
遠古僧院教義,90,25,1536,337172,7075,85790,75,183290,0,0
玉龍的低語,91,25,2056,337225,7073,85791,74,183291,0,0
迷霧聚目,92,25,516,337343,7074,85792,73,183292,0,0
清晨淚珠,93,25,66,337473,7072,85793,72,183293,0,0
雪怒之寶,94,26,1114144,337481,7070,85797,76,183297,0,0
基佛的擎天掌,95,26,1030,337334,7068,85795,77,183295,0,0
燃玉,96,26,65664,337483,7071,85794,78,183294,0,0
末代帝王的披甲,97,26,192,337292,7069,85796,79,183296,0,0
烏瑟的虔誠,98,30,36,337600,7053,85800,81,183301,0,0
黃昏與黎明,100,30,14,337746,7055,85798,82,183299,0,0
