ID,TutorialText_lang,SpellID,ActionBarOverrideSpellID,SpellLabel,UiTextureKitID,UiPriority
1,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,170108,0,5289,0
2,解鎖琪瑞安區域技能！|n|n你可以把它拖曳到快捷列。,313347,313335,0,5290,100
3,解鎖琪瑞安區域技能！|n|n你可以把它拖曳到快捷列。,326526,326532,0,5290,200
4,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,170097,0,5289,0
5,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,170109,0,5289,0
6,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,166499,0,5291,0
7,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,166498,0,5291,0
8,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,161693,0,5292,0
9,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,161694,0,5293,0
10,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,168474,0,5294,0
11,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,166502,0,5295,0
12,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,162131,0,5296,0
13,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,168478,0,5297,0
14,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,171333,0,5298,0
15,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,171334,0,5298,0
16,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,166500,0,5295,0
17,解鎖要塞區域技能！|n|n你可以把它拖曳到快捷列。,161691,162130,0,5299,0
18,,211390,0,193,5300,0
19,,251463,0,321,0,0
20,,264739,0,391,0,0
21,,314955,0,851,0,0
22,解鎖汎希爾區域技能！|n|n你可以把它拖曳到快捷列。,313347,315593,0,5303,100
23,解鎖汎希爾區域技能！|n|n你可以把它拖曳到快捷列。,326526,329350,0,5303,200
24,解鎖汎希爾區域技能！|n|n你可以把它拖曳到快捷列。,313347,329887,0,5303,100
26,解鎖暗夜妖精區域技能！|n|n你可以把它拖曳到快捷列。,313347,331114,0,5310,100
27,解鎖暗夜妖精區域技能！|n|n你可以把它拖曳到快捷列。,313347,331119,0,5310,100
28,解鎖暗夜妖精區域技能！|n|n你可以把它拖曳到快捷列。,326526,331120,0,5310,200
29,解鎖死靈領主區域技能！|n|n你可以把它拖曳到快捷列。,313347,334387,0,5311,100
30,解鎖死靈領主區域技能！|n|n你可以把它拖曳到快捷列。,326526,334388,0,5311,200
31,解鎖汎希爾區域技能！|n|n你可以把它拖曳到快捷列。,326526,340716,0,5303,200
32,解鎖琪瑞安區域技能！|n|n你可以把它拖曳到快捷列。,326526,340757,0,5290,200
33,解鎖琪瑞安技能！|n|n你可以把它拖曳到快捷列。,313347,340835,0,5290,100
34,解鎖琪瑞安特屬技能！|n|n你可以把它拖曳到快捷列。,326526,341085,0,5290,200
35,解鎖死靈領主技能！|n|n你可以把它拖曳到快捷列。,313347,341090,0,5311,100
36,解鎖死靈領主特屬技能！|n|n你可以把它拖曳到快捷列。,326526,341091,0,5311,200
37,解鎖汎希爾技能！|n|n你可以把它拖曳到快捷列。,313347,341093,0,5303,100
38,解鎖汎希爾特屬技能！|n|n你可以把它拖曳到快捷列。,326526,341092,0,5303,200
39,解鎖亞登曠野技能！|n|n你可以把它拖曳到快捷列。,313347,341086,0,5310,100
40,解鎖亞登曠野特屬技能！|n|n你可以把它拖曳到快捷列。,326526,341089,0,5310,200
41,解鎖建造技能！|n|n你可以把它拖曳到快捷列。,347013,0,1156,5311,100
44,技能可使用|n|n你可以把它拖曳到快捷列。,356550,0,1312,5311,100
45,托迦司技能可使用|n|n你可以把它拖曳到快捷列。,357857,0,1332,5405,90
46,,264739,358145,0,5310,0
47,,264739,358022,0,5290,0
48,,264739,358150,0,5311,0
49,,264739,358157,0,5303,0
50,解鎖死靈領主區域技能！|n|n你可以把它拖曳到快捷列。,313347,362180,0,5311,100
51,解鎖波克波可召喚！|n|n你可以把它拖曳到快捷列。,360078,362639,0,5421,100
52,[PH] Reuse ME,0,0,0,5303,100
53,,0,0,0,5428,90
54,解鎖席卡技能！|n|n你可以把它拖曳到快捷列。,376280,0,1533,5469,100
55,解鎖席卡技能！|n|n你可以把它拖曳到快捷列。,384522,0,1758,5469,100
57,把球丟進球門裡。,385265,0,1779,5428,1
58,賽洛姆的協助可使用|n |n你可以把它拖曳到快捷列。,385535,0,2291,5471,100
59,補充活力|n|n你可以把它拖曳到快捷列。,409295,409302,0,5471,100
60,重置位置|n|n你可以把它拖曳到快捷列。,409349,409350,0,5471,101
61,用弗林的手槍朝水桶開槍,248082,0,2797,5299,100
62,地城輔助|n|n你可以把它拖曳到快捷列。,426756,426758,0,5428,100
65,[PH] This is the ability you use for companion extra actions. |n |nYou can drag this to your action bar.,433878,0,0,5299,0
66,[PH] This is the ability you use for scenario extra actions. |n |nYou can drag this to your action bar.,434240,0,0,5299,0
67,解鎖時光奔走技能！|n|n你可以把它拖曳到快捷列。,436521,0,3174,5556,103
68,解鎖時光奔走技能！|n|n你可以把它拖曳到快捷列。,436524,0,3175,5556,104
69,解鎖時光奔走技能！|n|n你可以把它拖曳到快捷列。,439053,0,3233,5556,101
70,解鎖時光奔走技能！|n|n你可以把它拖曳到快捷列。,439052,0,3234,5556,100
71,解鎖合約技能！|n|n你可以把它拖曳到快捷列。,441963,0,3337,5556,103
