Name_lang,ID,Parent,Ui_order
統計,1,-1,17
玩家對玩家,21,1,10
偉業,81,-1,14
角色,92,-1,1
玩家對玩家,95,-1,5
任務,96,-1,2
探索,97,-1,3
死亡,122,1,3
擊殺數,128,1,2
角色,130,1,1
社交,131,1,7
技能,132,1,5
任務,133,1,4
旅行,134,1,6
生物,135,128,1
榮譽擊殺,136,128,2
最後一擊,137,128,3
財富,140,130,1
消耗品,145,130,2
競技場積分賽,152,21,1
戰場,153,21,2
世界,154,21,3
世界事件,155,-1,9
冬幕節,156,155,9
萬鬼節,158,155,7
貴族花園,159,155,3
新年節慶,160,155,1
仲夏節,161,155,5
啤酒節,162,155,6
兒童週,163,155,4
競技場,165,95,17
地城與團隊,168,-1,6
專業技能,169,-1,7
烹飪,170,169,12
釣魚,171,169,13
專業技能,172,15234,6
專業技能,173,132,2
次要技能,178,132,1
愛就在身邊,187,155,2
聲望,201,-1,8
東部王國,14777,97,1
卡林多,14778,97,2
外域,14779,97,3
北裂境,14780,97,4
奧特蘭克山谷,14801,95,5
阿拉希盆地,14802,95,3
暴風之眼,14803,95,4
戰歌峽谷,14804,95,2
燃燒的遠征,14805,168,2
巫妖王之怒地城,14806,168,3
地城與團隊,14807,1,9
艾澤拉斯,14808,168,1
艾澤拉斯,14821,14807,1
燃燒的遠征,14822,14807,2
巫妖王之怒,14823,14807,3
東部王國,14861,96,1
外域,14862,96,3
北裂境,14863,96,4
艾澤拉斯,14864,201,1
燃燒的遠征,14865,201,2
巫妖王之怒,14866,201,3
冬握湖,14901,95,8
巫妖王之怒團隊,14922,168,4
銀白聯賽,14941,15301,1
旅人豐年祭,14981,155,8
征服之島,15003,95,7
浩劫與重生地城,15067,168,5
浩劫與重生團隊,15068,168,6
浩劫與重生,15069,97,5
浩劫與重生,15070,96,5
考古學,15071,169,14
浩劫與重生,15072,201,4
吉爾尼斯之戰,15073,95,9
雙子峰,15074,95,10
托巴拉德,15075,15301,2
公會,15076,-1,16
任務,15077,15076,2
玩家對玩家,15078,15076,3
地城與團隊,15079,15076,4
專業技能,15080,15076,5
卡林多,15081,96,2
艾澤拉斯,15082,15079,1
浩劫與重生地城,15083,15079,5
燃燒的遠征,15084,15079,2
巫妖王之怒地城,15085,15079,3
巫妖王之怒團隊,15086,15079,4
浩劫與重生團隊,15087,15079,6
一般,15088,15076,1
聲望,15089,15076,6
戰場,15090,15078,1
競技場,15091,15078,2
積分戰場,15092,95,16
公會偉業,15093,15076,7
浩劫與重生,15096,14807,4
暗月馬戲團,15101,155,10
潘達利亞地城,15106,168,7
潘達利亞團隊,15107,168,8
潘達利亞,15110,96,6
潘達利亞,15113,97,6
潘達利亞,15114,201,5
寵物對戰,15117,-1,10
收集,15118,15117,1
對戰,15119,15117,2
等級,15120,15117,3
潘達利亞地城,15153,15079,7
潘達利亞團隊,15154,15079,8
碎銀礦坑,15162,95,11
科特魔古神廟,15163,95,12
潘達利亞之謎,15164,14807,5
傳承,15176,1,13
深風峽谷,15218,95,14
寵物對戰,15219,1,11
德拉諾,15220,96,7
試煉場,15222,15301,4
試煉場,15227,1,12
德拉諾地城,15228,168,9
德拉諾團隊,15231,168,10
德拉諾,15232,201,6
德拉諾之霸,15233,14807,6
傳承,15234,-1,15
德拉諾,15235,97,7
德拉諾地城,15243,15079,9
德拉諾團隊,15244,15079,10
收藏,15246,-1,11
玩具箱,15247,15246,1
坐騎,15248,15246,2
軍臨天下,15252,96,8
軍臨天下地城,15254,168,11
軍臨天下團隊,15255,168,12
軍臨天下,15257,97,8
軍臨天下,15258,201,7
外觀,15259,15246,3
軍臨天下地城,15262,15079,11
軍臨天下團隊,15263,15079,12
軍臨天下,15264,14807,7
榮譽,15266,95,1
促銷活動,15268,81,8
坐騎,15269,81,1
玩家對玩家,15270,81,5
團隊副本,15271,81,4
地城,15272,81,3
聲望,15273,81,6
活動,15274,81,7
地城,15277,15234,4
團隊副本,15278,15234,5
玩家對玩家,15279,15234,3
貨幣,15280,15234,7
世界,15283,95,18
決戰艾澤拉斯,15284,96,9
決戰地城,15285,168,13
決戰團隊,15286,168,14
騰湧海岸,15292,95,13
決戰艾澤拉斯,15298,97,9
決戰地城,15299,15079,13
決戰團隊,15300,15079,14
資料片特色,15301,-1,12
潘達利亞事件,15302,15301,3
德拉諾要塞,15303,15301,5
軍團職業大廳,15304,15301,6
決戰艾澤拉斯,15305,201,8
海嶼遠征,15307,15301,7
應戰準備,15308,15301,8
決戰艾澤拉斯,15409,14807,8
資料片特色,15411,15234,9
艾斯蘭,15414,95,6
世界事件,15416,15234,8
艾澤拉斯之心,15417,15301,9
暗影之境,15422,96,10
恩若司的幻象,15426,15301,10
暗影之境地城,15428,168,15
暗影之境地城,15429,15079,15
暗影之境,15430,14807,9
暗影之境,15436,97,10
暗影之境團隊,15438,168,16
暗影之境,15439,201,9
托迦司,15440,15301,11
誓盟聖所,15441,15301,12
暗影之境團隊,15442,15079,16
角色,15446,15234,1
任務,15447,15234,2
時光漫遊,15454,155,11
巨龍崛起,15455,96,11
天空騎術,15462,15301,13
巨龍群島,15465,97,11
巨龍崛起,15466,201,10
巨龍崛起地城,15467,168,17
巨龍崛起團隊,15468,168,18
巨龍崛起,15469,14807,10
巨龍崛起地城,15470,15079,17
巨龍崛起團隊,15471,15079,18
巨龍群島飛龍造型,15478,15246,4
鍊金術,15489,169,1
鍛造,15490,169,2
附魔,15491,169,3
工程學,15492,169,4
銘文學,15493,169,5
珠寶設計,15494,169,6
製皮,15495,169,7
裁縫,15496,169,8
採礦,15497,169,10
剝皮,15498,169,11
草藥學,15499,169,9
地心之戰,15506,96,12
混搭再造：潘達利亞,15509,-1,13
任務,15510,15509,1
探索,15511,15509,3
事件,15512,15509,4
聲望,15513,15509,2
地城,15514,15509,5
團隊副本,15515,15509,6
地心之戰,15520,14807,11
地心之戰,15521,97,12
探究,15522,-1,4
地心之戰,15523,15522,1
地心之戰地城,15524,168,19
礦運深谷,15525,95,15
地心之戰團隊,15526,168,20
地心之戰地城,15528,15079,19
地心之戰團隊,15529,15079,20
地心之戰,15530,201,11
探究,15531,81,2
探究,15533,1,8
地心之戰,15534,15533,1
