ID,Body_lang
83,這是個測驗
84,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
85,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
86,這個小東西雖然不會說話，但是或許能為你帶來一些歡樂。
87,"你好啊，我是古博‧布拉普。

近來你一切都好吧?我希望你還在抽空釣釣魚什麼的，我很喜歡釣魚，布拉普家族是以釣魚技術高超而聞名的。我送給你一個不錯的魚餌，這樣你就可以釣更大的魚了!祝你好運，再次感謝你幫我抓魚。

繼續快樂地釣魚吧!
古博‧布拉普"
88,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
89,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
90,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
91,這個小東西雖然不會說話，但是或許能為你帶來一些歡樂。
92,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
93,受人尊敬的$n，$B$B我看了你帶給我的文件，也為你解譯了附加的文章。我仔細地挑選出我認為對你有用的物品。要打開一個看不到的郵箱是件麻煩的事，不過藏身在沙漠幾個月已經讓我變的相當會潛行!$B$B希望你會喜歡這些東西。$B$B-奧泰爾
94,你好，$n!$B$B我潛入塞納里奧城堡，使用他們的郵箱有不錯的進展。同樣地，我附上了一些可能具重要性的物品。希望對你有用!$B$B-奧泰爾
95,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
96,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
97,謝謝你來看我，$n。我很高興知道我們沒被遺忘。
98,翻譯這些熊怪的文字讓我頗費了一些周折，而且我所發現的東西讓我覺得有些沮喪。冬泉酋長臨死前顯然患上了極度強烈的妄想症，而且對一種叫做「火水」的東西非常癡迷。他認為所有的生物都是他的敵人。好吧，我覺得你應該自己看看他寫的東西─隨這封信附上的是我翻譯好的文字。如果你還有其他的事情需要我幫助，請儘管來找我。
99,感謝您繼續參與我們的機械工程學聯合公會!我們很高興能有您這樣活躍而充滿激情的會員。請接受這件小小的禮物，以此作為我們對你的感謝，希望您繼續為偉大的地精工程學做出傑出的貢獻!
100,感謝您繼續參與我們的機械工程學聯合公會!我們很高興能有您這樣活躍而充滿激情的會員。請接受這件小小的禮物，以此作為我們對你的感謝，希望您繼續為偉大的地精工程學做出傑出的貢獻!
101,"朋友 - 雖然我因為持續在瘟疫之地上的戰鬥身心俱疲，但是永遠都有力氣將這份公文寫給像你這樣的英雄。很高興知道你提供我們的幫助持續產生助益，那是我們每日嘗試達到的基本準則。

如果你很快就會到西瘟疫之地，請在亡靈壁壘停留。你經驗豐富的雙手在瘟疫之鍋一定很受歡迎!

你在黑暗中的朋友：
高階執行官德靈頓"
102,呴呴，哈囉，$n!我希望你有個充滿驚奇的冬幕節!$B$B你很熱心的滿足我愛吃甜食的胃口，我要給你一些額外的獎勵。它的美味就像是燻木牧場招待的美食。如果你還沒有嚐過，在冬幕節結束前一定要試試!$B$B冬幕節快樂...$B冬天爺爺
103,感謝您繼續參與我們的哥布林實驗工程學協會!我們很高興能有您這樣活躍而充滿激情的會員。請接受這件小小的禮物，以此作為我們對你的感謝，希望您繼續為偉大的哥布林工程學做出傑出的貢獻!
104,感謝您繼續參與我們的哥布林實驗工程學協會!我們很高興能有您這樣活躍而充滿激情的會員。請接受這件小小的禮物，以此作為我們對你的感謝，希望您繼續為偉大的哥布林工程學做出傑出的貢獻!
105,<UNUSED>
106,那些兔子回來了!不!喔，別急著回來...
107,"我的朋友 - 雖然我因為持續在羅德隆廢墟的戰鬥身心俱疲，但是永遠都有力氣將這份公文寫給像你這樣的英雄。很高興知道你幾天前提供我們的幫助持續產生助益，那是我們每日嘗試達到的基本準則。

如果你很快就會到西瘟疫之地，請在營地停留。你經驗豐富的雙手在瘟疫之鍋一定很受歡迎!

為了暴風城!
指揮官阿胥拉姆‧瓦羅菲斯特"
108,呴呴，又見到你了，$n!$B$B雖然我跟燻木牧場的好員工們這個季節都非常的忙碌，我還是希望可以送給你一個專屬於你的特別禮物。你一定會很高興的聽到我們已經把奧特蘭克山區的薩克斯解凍了;他向你問好。$B$B為了要解凍薩克斯，我們發明了一個你可能會感到興趣的特別的裝置。你將會需要一顆雪球來發動它，但是我想你會樂在其中的!$B$B冬天爺爺
109,你好，我的朋友!我希望你一切都好。$B$B我想我應該要花點時間好好的再次感謝你幫助我們對抗哈卡。我期望很快就能再見到你跟我們一起迎接擊敗血神的挑戰。你不在這兒讓人很失落!$B$B為了感謝你所做的一切，我隨信附上一個榮譽徽章做為答謝你的小禮物。只要同心協力，我們一定可以永遠的消滅哈卡!$B$B願贊札永遠都保佑你!$B溫卡薩，贊札的僕人
110,受人尊敬的$n，$B$B我發現你先前帶來給我的訊息有著極高的價值。我已經發布命令對我們的戰鬥計畫做些改變，以說明暮光之錘的存在對我們有多大的重要性。$B$B請收下這個微薄的謝禮表達我的感謝。我希望我們可以持續依賴你，在希利蘇斯的戰鬥中成為一位英勇的盟友。$B$B你的朋友，$B$B指揮官瑪爾利斯
111,祝你平安，我的朋友。希望你在為部落而戰的征途中又有了新的斬獲。我衷心期望著有一天，其他冒險者們會像崇敬葛羅‧地獄吼那樣崇敬你。$B$B我沒有忘記你在收穫節中為了紀念葛羅而做的事情，為此，我寄一些你可能用得到的東西給你。$B$B亞尼‧納沙克
112,"向你致意，年輕的德魯伊!

我很高興看到你成長得這麼快，你也應該對自己能成為一名掌握熊形態力量的德魯伊而感到自豪。但是，這個世界上還有許多東西等著你去學習，所以當你達到14級之後就到達納蘇斯的塞納里奧區來找我吧。

- 瑪斯雷‧馭熊者"
113,祝你平安，我的朋友。希望你在為聯盟而戰的征途中又有了新的斬獲。我衷心期望著有一天，其他冒險者們會像崇敬光明使者烏瑟那樣崇敬你。$B$B我沒有忘記你在收穫節中為了紀念烏瑟而做的事情，為此，我寄了一些你可能用得到的東西給你。好好地使用。$B$B以銅鬚的名義，$B$B瓦格納‧巨錘
114,"向你致意，年輕的德魯伊!

我之所以給你寫這封信，是因為你在德魯伊的修行之道上取得了令人驚異的進展。塞納留斯教導我們德魯伊的東西有很多，我很高興能幫助你在這方面繼續成長。很快你就要開始學習水棲形態了，所以，當你達到16級之後就來找我，我會盡我所能給你傳授知識的。

圖拉克‧符文圖騰"
115,"向你致意，年輕的德魯伊!

我之所以給你寫這封信，是因為你在德魯伊的修行之道上取得了令人驚異的進展。塞納留斯教導我們德魯伊的東西有很多，我很高興能幫助你在這方面繼續成長。很快你就要開始學習水棲形態了，所以，當你達到16級之後就來找我，我會盡我所能給你傳授知識的。

- 瑪斯雷‧馭熊者"
116,"向你致意，年輕的德魯伊!

我很高興看到你成長得這麼快，你也應該對自己能成為一名掌握熊形態力量的德魯伊而感到自豪。但是，這個世界上還有許多東西等著你去學習，所以當你達到14級之後就到雷霆崖的長者高地來找我吧。

圖拉克‧符文圖騰"
117,呴呴，又見到你了，$n!$B$B雖然我跟燻木牧場的好員工們這個季節都非常的忙碌，我還是希望可以送給你一個專屬於你的特別禮物。你一定會很高興的聽到我們已經把奧特蘭克山區的薩克斯解凍了;他向你問好。$B$B為了要解凍薩克斯，我們發明了一個你可能會感到興趣的特別的裝置。你將會需要一顆雪球來發動它，但是我想你會樂在其中的!$B$B冬天爺爺
118,呴呴，哈囉，$n!我希望你有個充滿驚奇的冬幕節!$B$B你很熱心的滿足我愛吃甜食的胃口，我要給你一些額外的獎勵。它的美味就像是燻木牧場招待的美食。如果你還沒有嚐過，在冬幕節結束前一定要試試!$B$B冬幕節快樂...$B冬天爺爺
119,你好，我寫這封信是要告訴你，羽月要塞一切都好。我做了一些新的皮革裝備，感謝你對我的幫助！$B$B我還剩下了一些皮革，所以就寄給你來表示我的謝意。如果你再次路過羽月要塞，別忘了來我這裡坐坐！$B$B你的朋友，$B普拉特
120,你好，我寫這封信是要告訴你，莫沙徹營地一切都好。我做了一些新的皮革裝備，感謝你對我的幫助!$B$B我還剩下了一些皮革，所以就寄給你來表示我的謝意。如果你再次路過莫沙徹營地，別忘了來我這裡坐坐!$B$B願你的祖先與你同在，$B杉多爾
121,這個小東西雖然不會說話，但是或許能為你帶來一些歡樂。
