WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
衝擊！,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
腐蝕即將腐化你的心智！,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
滾動的垃圾正在瓦解！,27,461536,5000,0,0,0,0
你的命運開始分歧了！,28,1224865,0,0,5793,0,15
結晶衝擊波即將發生！,31,1243721,8000,0,0,0,0
水晶封存即將發生！,32,1227373,6000,0,0,0,0
艾蘭里亞準備好射擊！,33,1233602,3000,0,0,0,0
未知恐懼就要爆發了！,34,1225221,3000,0,0,0,0
翱翔瑞西幾乎筋疲力盡了！,35,1235114,4000,0,0,0,0
要被電擊了！,39,1246457,0,0,0,0,0
重力開始全面壓制你！,40,1234570,0,0,0,0,8
艾蘭里亞準備好射擊！,41,1237623,3000,0,0,0,0
空無之握正在失效！,42,1232470,4000,0,0,0,0
寂滅會吞沒你…,46,1257299,0,0,0,0,0
末日降臨！,47,1217973,10000,0,0,0,0
尋求虛無，否則滅亡,48,1262972,0,0,0,0,0
尋求聖光，否則滅亡,49,1262983,0,0,0,0,0
|TInterface\ICONS\SPELL_FIRE_FELFLAMESTRIKE.BLP:20|t你被魔化能量光束鎖定了！,50,1218187,0,0,0,0,0
|TInterface\ICONS\SPELL_NZinsanity_ChasedByShadows.blp:20|t你的暗影之印就快引爆了！,51,1270497,2500,0,0,0,0
,52,1222088,2000,1,0,12197,0
虛無驅逐即將爆發！,53,1283236,3000,0,0,0,0
衰弱瘴氣即將結束！,54,1284477,3000,0,0,0,0
螺旋毒素即將爆發！,55,1284590,4000,0,0,0,0
墓縛效果即將結束！,58,1286837,6000,0,0,0,0
