ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,一群小鬼,102,42846,1396680,47,0
10,一大群狂野小鬼,102,40902,1396698,48,1
11,黑穫侍僧,103,41214,1396691,49,0
16,黑穫塑能師,103,41213,1452660,50,1
17,提里斯護法學徒,72,41574,1396696,20,0
18,祈倫托塑能師,72,41575,1396699,21,1
19,水元素,73,42839,1396675,18,0
20,秘法魔像,73,41573,1401852,19,1
21,玄牛學徒,67,42840,1396688,22,0
22,玄牛高手,67,40092,1396705,23,1
23,白虎學徒,66,40012,1396706,25,0
24,白虎高手,66,40138,1396707,26,1
25,次級元素生物,97,42847,1396645,40,0
26,大型元素,97,41422,1396658,41,1
27,喚地者議員,98,40260,1396708,42,0
28,陶土議會地卜師,98,41421,1401884,43,1
29,卓越者,139,41525,1396660,44,0
30,弓手小隊,86,42842,1401885,14,0
31,隱獵神射手,86,41557,1401886,15,1
32,一隊追蹤者,85,41559,1401887,16,0
33,探路者,85,41560,1401888,17,1
34,幻夢之林樹人,81,42843,1396694,10,0
35,塞納留斯之女,81,41580,1396686,11,1
36,利爪德魯伊,82,41581,1396668,12,0
37,林地看守者,82,41582,1396684,13,1
38,侍從小隊,87,42841,1396701,28,0
39,執盾兵方陣,87,41588,1396702,29,1
40,白銀之手騎士,88,41589,1396703,30,0
41,白銀之手聖殿騎士,88,41590,1396704,31,1
42,華爾拉亞志士,99,42845,1401869,51,0
43,華爾拉亞風鑄勇士,99,41592,1401871,52,1
44,女盾侍戰隊,100,41593,1401854,53,0
45,華爾琪拉女盾侍,100,41594,1401874,54,1
46,灰舌戰士,79,42844,1401873,6,0
47,納迦部屬,79,41635,1401889,7,1
48,伊利達瑞精兵,80,41636,1401865,8,0
49,伊利達瑞魔兵,80,41637,1401883,9,1
50,一群食屍鬼,75,42837,1401858,2,0
51,魂屍群,75,42838,1401859,3,1
52,黯刃騎士,76,41676,1401866,4,0
53,黯刃劫毀者,76,41677,1401855,5,1
54,一幫強盜,93,42848,1401891,36,0
55,迪菲亞竊賊,93,41707,1401892,37,1
56,無冕決鬥者,94,41705,1401893,38,0
57,一群海盜,94,41704,1401894,39,1
58,天尊,105,40060,1401861,59,0
59,一群侍僧,91,42849,1086381,32,0
60,虛空之光聖使,91,41906,1066217,33,1
61,一隊狂熱者,92,41907,1066169,34,0
62,黑暗狂熱者,92,41908,1066121,35,1
63,戰爭古樹,96,42818,1452563,58,0
64,憎惡體,77,43780,1401851,0,0
65,考斯卡蠻卒,144,47107,1551349,0,0
66,恐怖圖騰戰士,145,47112,1551342,80,0
67,祈倫托守護者,147,48413,1604890,68,0
68,黯刃騎士霜劫者,148,48417,1605028,64,0
69,突擊隊,149,49177,1605040,75,0
70,幻夢之林看守者,150,48415,1589538,66,0
71,希瓦拉,151,48416,1589536,65,0
72,陶土議會保衛者,152,48408,1589546,73,0
73,冰心大師,153,48412,1605031,69,0
74,惡魔守衛蠻卒,154,48407,1589549,74,0
75,神秘的牧師,155,48410,1589544,71,0
76,白銀之手十字軍,156,48411,1605020,70,0
77,拉文霍德刺客,157,48409,1605036,72,0
78,夜裔獵人,158,48414,1551348,67,0
80,突擊隊,149,49178,1605021,75,1
81,克庫山脊行者,160,50765,1712229,77,0
82,淨化虛無的克庫,161,51511,1712228,78,0
83,光鑄奮擊者,162,51512,1694048,76,0
