ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,法戈第礦坑,139,38,1,0
486,礦坑下層,139,39,2,0
487,黑石塔,140,33,14,0
488,黑石洞穴,140,34,15,0
489,黑石深淵,140,35,16,0
490,塔主地窖,141,44,23,0
491,地窖底層,141,45,24,0
492,奧格瑪,142,85,0,0
493,暗影裂口,142,86,1,0
496,邪惡洞穴,144,67,21,0
497,毒菇洞穴,144,68,22,0
498,提拉加德城堡,145,3,10,0
499,議事廳,145,4,11,0
500,獸穴上層,146,60,4,0
501,下層獸穴,146,61,5,0
502,庭院,147,310,1,0
503,餐廳,147,311,2,0
504,空穴之地,147,312,3,0
505,下層觀測所,147,313,4,0
506,上層觀測所,147,314,5,0
507,高佛雷領主的房間,147,315,6,0
508,巨牆步道,147,316,7,0
509,死亡礦坑,148,291,1,0
510,鐵甲灣,148,292,2,0
511,阿斯卡之池,149,221,1,0
512,月光神殿密室,149,222,2,0
513,遺忘之池,149,223,3,0
514,守衛者大廳,150,230,1,0
515,卡茲格羅斯的王座,150,231,2,0
516,齒輪大廳,151,226,1,0
517,宿舍,151,227,2,0
518,發射台,151,228,3,0
519,技工議會,151,229,4,0
520,墓地,152,302,0,0
521,圖書館,152,303,1,0
522,軍械庫,152,304,2,0
523,教堂,152,305,3,0
524,塔薩洛爾,153,250,1,0
525,蛛網隧道,153,251,2,0
526,霍德瑪爾城,153,252,3,0
527,黑手大廳,153,253,4,0
528,哈雷肯之巢,153,254,5,0
529,戰鬥之廳,153,255,6,0
530,拘留所,154,242,1,0
531,影爐城,154,243,2,0
532,聖骨室,155,306,1,0
533,召喚之廳,155,307,2,0
534,書房上層,155,308,3,0
535,院長的書房,155,309,4,0
536,十字軍廣場,156,317,1,0
537,街巷,156,318,2,0
538,瑪拉頓的洞穴,157,280,1,0
539,札爾塔之墓,157,281,2,0
540,礦道地鐵,158,499,1,0
541,畢茲摩鬥陣俱樂部,158,500,2,0
542,戈多克平民區,159,235,1,0
543,中心花園,159,236,2,0
544,精靈貴族庭院,159,237,3,0
545,伊莫塔爾的牢籠,159,238,4,0
546,扭木廣場,159,239,5,0
547,艾德雷斯神殿,159,240,6,0
548,龍喉兵營,160,287,1,0
549,征戰大廳,160,288,2,0
550,赤紅實驗室,160,289,3,0
551,奈法利安的巢穴,160,290,4,0
552,蟲巢地穴,161,319,1,0
553,神廟大門,161,320,2,0
554,克蘇恩穹殿,161,321,3,0
555,佣人區,162,350,1,0
556,獸欄上層,162,351,2,0
557,宴會大廳,162,352,3,0
558,客房,162,353,4,0
559,歌劇大廳露臺,162,354,5,0
560,塔主露臺,162,355,6,0
561,破碎樓梯下層,162,356,7,0
562,破碎樓梯上層,162,357,8,0
563,展示廳,162,358,9,0
564,守護者圖書館,162,359,10,0
565,寶庫,162,360,11,0
566,圖書館上層,162,361,12,0
567,天文觀測台,162,362,13,0
568,棋戲大廳,162,363,14,0
569,麥迪文的房間,162,364,15,0
570,能源站,162,365,16,0
571,虛空空間,162,366,17,0
572,傀儡區,163,162,1,0
573,蜘蛛區,163,163,2,0
574,軍事區,163,164,3,0
575,瘟疫區,163,165,4,0
576,亡域下層,163,166,5,0
577,亡域上層,163,167,6,0
578,蒸汽洞窟,164,263,1,0
579,冷卻池,164,264,2,0
580,靜滯區：提恩,165,269,1,0
581,靜滯區：麥希莫斯,165,270,2,0
582,隔離核心,165,271,3,0
583,麥克納爾,166,267,1,0
584,運算室,166,268,2,0
585,迷霧塞司克,167,258,1,0
586,悲傷大廳,167,259,2,0
587,來世大廳,168,256,1,0
588,靈魂大橋,168,257,2,0
589,卡拉伯爾下水道,169,340,0,0
590,黑暗神廟,169,339,1,0
591,暗影聖堂,169,341,2,0
592,苦痛大廳,169,342,3,0
593,血魔禁地,169,343,4,0
594,凡慾邪窟,169,344,5,0
595,指揮之廳,169,345,6,0
596,神廟頂層,169,346,7,0
597,達拉然城,170,125,1,0
598,城底區,170,126,2,0
599,尼約達準備工作,171,133,1,0
600,掠龍升梯,171,134,2,0
601,提爾露臺,171,135,3,0
602,俄巔下層,172,136,1,0
603,俄巔上層,172,137,2,0
604,變化之環,173,143,1,0
605,加速之環,173,144,2,0
606,轉化之環,173,145,3,0
607,化合之環,173,146,4,0
608,太陽之井高地,174,335,0,0
609,日蝕神殿,174,336,1,0
610,大博學者的庇護所,175,348,1,0
611,觀測之地,175,349,2,0
612,斯坦索姆的抉擇,176,130,0,0
613,斯坦索姆城,176,131,1,0
614,德拉克薩隆門廊,177,160,1,0
615,德拉克薩隆瞰臺,177,161,2,0
616,孵育之淵,178,157,1,0
617,哈卓諾克斯之巢,178,158,2,0
618,鑲飾之門,178,159,3,0
619,不屈要塞,179,138,1,0
620,造物者步道,179,139,2,0
621,奧杜亞,180,147,0,0
622,奧杜亞前廳,180,148,1,0
623,奧杜亞內殿,180,149,2,0
624,尤格薩倫之獄,180,150,3,0
625,創思之廳,180,151,4,0
626,心靈之眼,180,152,5,0
627,城塞下層,181,186,1,0
628,骸顱壁壘,181,187,2,0
629,死亡使者高臺,181,188,3,0
630,冰霜之后巢穴,181,189,4,0
631,城塞上層,181,190,5,0
632,皇室廳,181,191,6,0
633,冰封王座,181,192,7,0
634,霜之哀傷,181,193,8,0
635,深淵大廳,182,322,1,0
636,奈普圖隆王座,182,323,2,0
637,聖光地窖,183,297,1,0
638,地怒者之墓,183,298,2,0
639,四王座,183,299,3,0
640,焚化之廳,184,283,1,0
641,暮光熔爐,184,284,2,0
642,一樓,185,208,1,0
643,二樓,185,209,2,0
644,礦坑隧道,186,177,3,0
645,礦坑礦井,186,178,4,0
646,銀白大競技場,187,172,1,0
647,冰結深淵,187,173,2,0
648,第一層,188,181,2,0
649,上層,188,182,3,0
650,破碎之廳,189,285,1,0
651,暗影之焰穹殿,189,286,2,0
652,暮光領區,190,294,1,0
653,天啟王座,190,295,2,0
654,暮光洞穴,190,296,3,0
655,火源之界,191,367,0,0
656,焚焰鐵砧,191,368,1,0
657,薩弗隆要塞,191,369,2,0
658,新月大廳,192,391,1,0
659,帝國商貿所,192,392,2,0
660,帝王之階,193,393,3,0
661,帝國交易所,193,394,4,0
662,礦場上層,194,372,6,0
663,礦場下層,194,373,7,0
664,上層,195,383,11,0
665,下層,195,384,12,0
666,郭萊院,196,395,18,0
667,蛟龍廳,196,396,19,0
668,考倫廢墟,197,386,20,0
669,考倫墓穴,197,387,21,0
670,終焉之刻,198,401,0,0
671,蒼藍龍殿,198,402,1,0
672,晶紅龍殿,198,403,2,0
673,黑曜龍殿,198,404,3,0
674,翡翠龍殿,198,405,4,0
675,青銅龍殿,198,406,5,0
676,暮光之時,199,399,0,0
677,龍眠神殿,199,400,1,0
678,影潘僧院,200,443,0,0
679,雲擊道場,200,444,1,0
680,雪迅道場,200,445,2,0
681,封印的房間,200,446,3,0
682,玉蛟寺,201,429,1,0
683,藏卷閣,201,430,2,0
684,穀物地窖,202,439,1,0
685,風暴烈酒釀酒場,202,440,2,0
686,巨大水車,202,441,3,0
687,品酒室,202,442,4,0
688,落陽關,203,437,1,0
689,城門哨塔,203,438,2,0
690,巨龍之魂,204,409,0,0
691,苟拉斯之顎,204,410,1,0
692,鬚瑪之顎,204,411,2,0
693,永恆之眼,204,412,3,0
694,天火號飛船,204,413,4,0
695,死亡之翼的脊椎,204,414,5,0
696,大漩渦,204,415,6,0
697,赤紅議事堂,205,453,1,0
698,古代諸王墓穴,205,454,2,0
699,古代征服者王座,205,455,3,0
700,訓練場,206,431,1,0
701,圖書館,206,432,2,0
702,孤寂迴廊,207,435,1,0
703,十字軍禮拜堂,207,436,2,0
704,聖骨室,208,476,1,0
705,召喚之廳,208,477,2,0
706,書房上層,208,478,3,0
707,院長的書房,208,479,4,0
708,征服者之座,209,471,1,0
709,寶庫,209,472,2,0
710,無盡熔爐,209,473,3,0
711,聖言殿,210,474,1,0
712,恐懼之心,210,475,2,0
713,圍攻怒兆寺,211,457,0,0
714,中空樹,211,458,1,0
715,上樹圈,211,459,2,0
716,墓穴上層,212,481,1,0
717,墓穴深處,212,482,2,0
718,聯盟挖掘場,213,419,1,0
719,歐古戴遺蹟,213,420,2,0
720,聖匣入侵,213,421,3,0
721,廢棄的神像殿,214,508,1,0
722,御尊試武場,214,509,2,0
723,遺忘深淵,214,510,3,0
724,稷坤的窩巢,214,511,4,0
725,血肉塑形大廳,214,512,5,0
726,王者大廳,214,513,6,0
727,風暴之巔,214,514,7,0
728,秘密牢房,214,515,8,0
729,達拉然城,215,501,1,0
730,城底區,215,502,2,0
731,黑暗神廟,216,490,0,0
732,卡拉伯爾下水道,216,491,1,0
733,暗影聖堂,216,492,2,0
734,苦痛大廳,216,493,3,0
735,血魔禁地,216,494,4,0
736,凡慾邪窟,216,495,5,0
737,指揮之廳,216,496,6,0
738,神廟頂層,216,497,7,0
739,劍刃堡壘,217,526,1,0
740,劍刃庭院,217,527,2,0
741,劍刃王座,217,528,3,0
742,煤污礦坑,217,529,4,0
743,峭羽爐口,218,548,20,0
744,峭羽深淵,218,549,21,0
745,怒之裂口,219,546,18,0
746,狂怒之心,219,547,19,0
747,茉艾拉堡壘,220,544,16,0
748,軍械庫,220,545,17,0
749,葛魯洛克的洞穴,221,531,7,0
750,葛魯洛克巢穴,221,532,8,0
751,圍攻奧格瑪,222,556,0,0
752,力量之池,222,557,1,0
