ID,Name_lang,Description_lang,SpecSetID
2,艾澤拉斯的不朽贈禮,,1
3,鎮壓之球,充斥著秘法能量，讓你有更佳的掌控權。,1
4,世界之脈共鳴,當薩格拉斯在第三次燃燒軍團入侵結束時重傷艾澤拉斯，艾澤萊晶岩開始從這顆行星流湧而出。,2
5,聚源虹膜精華,,160
6,淨化程序,奧迪爾的腐化被消滅後，母親大人的任務就是要研究如何修復艾澤拉斯。,160
7,生死血靈,,1
12,火之爐缸,熊熊烈火具有大規模毀滅之力，也能帶來新生。,2
13,空無核心,裡面好像沒有任何能量和物質，但是感覺很重。,1
14,凝結生命之力,艾澤拉斯之心能以各種你從未想過的方式操作艾澤萊晶岩。,160
15,空間漣漪,每一刻都是做出正確決定的良機。,2
16,堅定屏障,,49
17,永升浪潮,,49
18,時之狡詐,,49
19,萬物之井,,49
20,生命守縛者的祈願,,49
21,活力導管,,49
22,完美視界,把握當下，放眼未來。,173
23,敵人之血,你的艾澤拉斯之心沸騰著怒火,160
24,永存之魂,,49
25,深淵神禦,以元素護佑灌注於你。,1
27,明晰之夢的記憶,腦袋空空，心也空空。,173
28,無縛之力,毀滅性的力量猛烈地搖晃，等著被釋放。,160
32,衝突與鬥爭,,173
33,長青之觸,,1
34,看守者之力,,1
35,垂死之息,,160
36,激勵花火,,160
37,無形虛無,,2
