Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
丹鐸之怒,1,207,-11776,-382936,-2816,0,0,1,0,0
灰燼使者,2,207,-11776,16765504,4006400,70,0,1,28,82183
欺詐者雙刃,3,206,-2200833,16122111,8650889,577,0,1,23,82147
亞魯涅斯，尊者之杖,4,208,-1267719,6343151,8615067,62,0,1,26,82174
大地守護者之鱗,11,215,-44766,11010048,3276800,73,0,1,20,82029
墮落王子之刃,12,214,-3804673,9152481,1447762,251,0,1,22,82144
格哈尼爾，始祖之樹,13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
遭譴者之顎,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
天啟,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
吞噬者之牙,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
猛禽之爪，荒野神靈長矛,34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
華爾拉亞戰劍,35,215,-44766,11010048,3276800,72,0,1,20,82029
斯托姆卡，破戰巨劍,36,215,-44766,11010048,3276800,71,0,1,20,82029
曼那瑞之顱,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
薩格拉斯權杖,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
烏薩萊許，逆風收割者,39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
萊公之拳,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
末日錘,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
薩拉達爾，海潮權杖,42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
弒君之刃,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
驚懼雙刀,44,216,-45544,-1589760,0,260,0,1,21,82029
杜爾，那魯光杖,45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
聖光之怒,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
薩拉塔斯，黑暗帝國之刃,47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
白銀之手,48,207,-11776,16765504,4006400,65,0,1,28,82183
真理之盾,49,207,-11776,16765504,4006400,66,0,1,28,82183
蒼天之拳,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
雪崙，迷霧之杖,51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
福山之杖，漫行者之伴,52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
黯凜，艾洛岱巨杖,53,208,-1267719,6343151,8615067,64,0,1,26,82174
費羅米隆,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
薩斯朵拉，風行者之遺,55,226,-2031755,-526230,-12430833,254,0,1,46,82153
泰坦之擊,56,226,-2031755,-143103,0,253,0,1,46,82153
厄索克之爪,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
亞夏曼之牙,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
伊露恩之鐮,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
奧達奇戰刃,60,206,-2200833,16122111,8650889,581,0,1,23,82147
粼光釣竿,73,227,-1,-10976565,-16772353,0,0,2,0,0
橡木使者,74,207,-11776,16765504,4006400,70,0,1,0,0
測試神兵2,80,207,-11776,16765504,4006400,70,0,1,18,23596
測試神兵,81,207,-11776,16765504,4006400,65,0,1,0,0
測試神兵3,82,207,-11776,16765504,4006400,66,0,1,0,0
Owen Test Artifact,89,0,-16777216,-1732055,0,0,0,1,0,0
正義武裝,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
戰火之翼,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
昇靈堡堅兵,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
迅捷先鋒,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
正當復仇,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
瑞文崔斯信條,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
瑞文崔斯信條,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
瑞文崔斯信條,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
瑞文崔斯信條,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
瑞文崔斯信條,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
天賦系統1,205,214,-3804673,-1494733,0,0,0,2,0,0
天賦系統2,223,214,-3804673,-1494733,0,0,0,2,0,0
天賦系統3,225,214,-3804673,-1494733,0,0,0,2,0,0
