Name_lang,ID,ArtifactAppearanceSetID,DisplayIndex,UnlockPlayerConditionID,ItemAppearanceModifierID,UiSwatchColor,UiModelSaturation,UiModelOpacity,OverrideShapeshiftFormID,OverrideShapeshiftDisplayID,UiItemAppearanceID,UiAltItemAppearanceID,Flags,UiCameraID,UsablePlayerConditionID
紫色水晶,1,1,1,0,10,0,0.5,0.5,1,66784,0,0,0,0,0
藍色水晶,2,1,2,0,12,0,0.5,0.5,0,0,0,0,0,0,0
紅水晶,3,1,3,0,11,0,0.5,0.5,1,66785,0,0,0,0,0
黃色尖刺,5,2,1,12549,18,0,0.5,0.5,0,0,0,0,0,0,0
綠色尖刺,6,2,3,0,19,0,0.5,0.5,0,0,0,0,0,0,0
熾炎尖刺,7,2,2,0,20,0,0.5,0.5,0,0,0,0,0,0,0
灰燼使者,8,3,2,37718,9,13946667,0.5,0.5,0,0,0,0,0,62,0
灰燼使者,9,3,1,88084,10,12207429,0.5,0.5,0,0,0,0,1,62,0
灰燼使者,10,3,3,37719,11,2777830,0.5,0.5,0,0,0,0,0,62,0
灰燼使者,11,3,4,37720,12,7194424,0.5,0.5,0,0,0,0,0,62,0
灰燼使者,12,4,2,37722,13,13753664,0.5,0.5,0,0,0,0,0,65,0
灰燼使者,13,4,1,37721,14,14170168,0.5,0.5,0,0,0,0,0,65,0
灰燼使者,14,4,3,37723,15,4341749,0.5,0.5,0,0,0,0,0,65,0
灰燼使者,15,4,4,37724,16,2400311,0.5,0.5,0,0,0,0,0,65,0
灰燼使者,16,5,1,37725,17,15636775,0.5,0.5,0,0,0,0,0,63,0
灰燼使者,17,6,1,37726,18,9769406,0.8,0.7,0,0,0,0,0,66,0
灰燼使者,18,6,2,37728,19,5384685,0.5,0.6,0,0,0,0,0,66,0
灰燼使者,19,6,3,37729,20,46171,0.7,0.5,0,0,0,0,0,66,0
灰燼使者,20,6,4,37730,21,2918886,0.7,0.5,0,0,0,0,0,66,0
灰燼使者,21,7,3,52635,22,15526961,0.5,0.5,0,0,0,0,16,64,0
灰燼使者,22,7,2,52557,23,16250871,0.5,0.5,0,0,0,0,16,64,0
灰燼使者,23,7,1,44699,24,4385004,0.5,0.5,0,0,0,0,8,64,0
灰燼使者,24,7,4,52668,25,5054922,0.5,0.5,0,0,0,0,16,64,0
欺詐者雙刃,25,8,2,37718,9,3666175,0.5,0.5,0,0,0,0,0,72,0
欺詐者雙刃,26,8,1,88117,10,6870528,0.5,0.5,0,0,0,0,1,72,0
欺詐者雙刃,27,8,3,37719,11,9845974,0.5,0.5,0,0,0,0,0,72,0
欺詐者雙刃,28,8,4,37720,12,15477542,0.5,0.5,0,0,0,0,0,72,0
欺詐者雙刃,29,9,2,37722,13,4433378,0.5,0.5,0,0,0,0,0,76,0
欺詐者雙刃,30,9,1,37721,14,9627184,0.5,0.5,0,0,0,0,0,76,0
欺詐者雙刃,31,9,3,37723,15,9980106,0.5,0.5,0,0,0,0,0,76,0
欺詐者雙刃,32,9,4,37724,16,14958913,0.5,0.5,0,0,0,0,0,76,0
欺詐者雙刃,33,10,4,37733,17,8200995,0.5,0.5,0,0,0,0,0,75,0
欺詐者雙刃,34,10,2,37731,18,9231422,0.5,0.5,0,0,0,0,0,75,0
欺詐者雙刃,35,10,3,37732,19,10767320,0.5,0.5,0,0,0,0,0,75,0
欺詐者雙刃,36,10,1,37725,20,16064287,0.5,0.5,0,0,0,0,0,75,0
欺詐者雙刃,37,11,3,52618,21,13127224,0.5,0.5,0,0,0,0,16,77,0
欺詐者雙刃,38,11,2,52485,22,11200571,0.5,0.5,0,0,0,0,16,77,0
