ID,Name_lang,CreatureDisplayID,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,獵豹形態,115603,1,248,132116,1,1000,0.4,0,0,0,0,0,0,0,0,0
2,樹形,115608,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
3,旅行形態,115605,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
4,水棲形態,115604,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
5,熊形態,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
6,小動物,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,食屍鬼,25527,6,9689,0,0,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,巨熊形態,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
9,祥鶴式,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
10,薩隆杰骷髏,9784,6,1034,0,0,0,0,0,50799,49613,49609,49617,0,0,0,0
11,暗月 - 力量試煉,0,0,1226,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB玩家,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,暗影之舞,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
14,生物 - 熊,2281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,生物 - 豹,892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,鬼魂之狼,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
17,戰鬥姿態,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
18,防禦姿態,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
19,狂暴姿態,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
20,靈蛟式,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
21,殭屍,26942,6,5150,0,0,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,惡魔化身,0,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0
23,磐牛式,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
24,猛虎式,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
25,不死生物,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0
26,狂亂,17170,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
27,飛行形態，史詩,115606,1,32776,0,0,0,0,246,0,0,0,0,0,0,0,0
28,暗影形態,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
29,飛行形態,115606,1,32776,0,0,0,0,245,0,0,0,0,0,0,0,0
30,潛行,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,梟獸形態,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
32,救贖之靈,16031,0,82704,0,0,0,0,0,0,0,0,0,0,0,0,0
33,鬥士姿態,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
34,惡魔化身,64560,3,472,1035040,0,0,0.4,0,0,0,0,0,0,0,0,0
35,梟獸形態,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
36,樹人形態,864,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
37,貓頭鷹靈魂形態,38633,1,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
38,貓頭鷹靈魂形態,38633,0,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
39,幽光形態,10045,6,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
40,幽光形態,10045,6,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
41,靈魂幻體,93949,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
42,爐裔奇想,66094,0,65792,0,0,0,0,0,0,0,0,0,0,0,0,0
43,人類型態,0,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0
44,『白虎』雪怒,114683,1,14552,0,1,1,0.4,0,426730,439411,426833,0,0,0,0,0
45,『玉蛟』玉龍,114682,2,14552,0,1,2000,0.4,0,426902,426900,426926,0,0,0,0,0
46,『紅鶴』赤吉,114684,1,14808,0,1,2000,0.4,0,436852,436897,0,437092,429633,426268,0,0
47,巨龍群島飛龍,0,0,217,0,4,0,0,0,372608,372610,361584,403092,0,0,0,0
48,鬼魂之狼,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
49,『玄牛』怒兆,114685,1,14552,0,1,2000,0.4,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
