ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,艾澤拉斯地城,1,0,114
2,燃燒的遠征(普通),1,0,113
3,燃燒的遠征(英雄),1,0,112
4,巫妖王之怒(普通),1,0,111
5,巫妖王之怒(英雄),1,0,110
6,艾澤拉斯團隊,2,0,522
7,燃燒的遠征團隊,2,0,521
8,巫妖王之怒團隊(10),2,0,520
9,巫妖王之怒團隊(25),2,0,519
11,世界事件,0,0,10
12,浩劫與重生(英雄),1,0,108
13,浩劫與重生(普通),1,0,109
14,浩劫與重生團隊(25),2,0,517
15,浩劫與重生團隊(10),2,0,518
20,積分戰場,2,0,1024
33,隨機暮光之時(英雄),1,0,107
36,潘達利亞之謎(英雄),1,0,105
37,潘達利亞之謎(普通),1,0,106
38,事件,1,0,1025
40,潘達利亞之謎團隊(25),2,0,516
41,潘達利亞之謎團隊(10),2,0,515
43,事件(英雄),1,0,1026
44,時光漫遊,0,0,1027
45,潘達利亞之謎團隊(彈性模式),2,0,514
46,潘達利亞之謎世界首領,2,0,513
47,德拉諾之霸(普通),1,0,104
48,德拉諾之霸(英雄),1,0,103
49,德拉諾之霸團隊(普通),2,0,510
50,德拉諾之霸團隊(英雄),2,0,511
51,德拉諾之霸團隊(傳奇),2,0,512
52,軍團(英雄),1,0,102
53,軍團(普通),1,0,101
54,軍團團隊(普通),2,0,507
55,軍團團隊(英雄),2,0,508
56,軍團團隊(傳奇),2,0,509
57,決戰艾澤拉斯(普通),1,0,99
58,決戰艾澤拉斯(英雄),1,0,100
159,決戰艾澤拉斯團隊(普通),2,0,510
160,決戰艾澤拉斯團隊(英雄),2,0,511
161,決戰艾澤拉斯團隊(傳奇),2,0,512
162,決戰艾澤拉斯傳奇難度,1,0,101
163,暗影之境(傳奇),1,0,98
164,暗影之境(英雄),1,0,97
165,暗影之境(普通),1,0,96
166,放逐之境,1,0,115
167,暗影之境團隊(傳奇),2,0,95
168,暗影之境團隊(英雄),2,0,94
169,暗影之境團隊(普通),2,0,93
170,《巨龍崛起》傳奇難度,1,0,92
171,《巨龍崛起》英雄難度,1,0,91
172,《巨龍崛起》普通難度,1,0,90
173,巨龍軍團追隨者,1,0,90
177,地心之戰普通難度,1,0,87
178,地心之戰英雄難度,1,0,88
180,潘達利亞之謎(追隨者),1,0,106
182,時光奔走地城,0,0,1028
183,時光奔走英雄難度地城,0,0,1029
184,時光奔走事件,1,0,1030
185,時光奔走英雄難度事件,1,0,1031
186,地心之戰英雄難度：第1賽季,1,0,89
192,地心之戰英雄難度：第2賽季,1,0,89
