Name_lang,ID,ClassMask,TrackingQuestID,Flags,TransmogSetGroupID,ItemNameDescriptionID,ParentTransmogSetID,CompleteWorldStateID,ExpansionID,PatchIntroduced,UiOrder,ConditionID
,2,128,0,1,1,0,0,1,0,0,590,0
,3,0,0,1,0,0,0,1,0,0,1591,0
,4,0,42729,3,0,0,0,1,0,60002,1000,0
,5,4164,0,3,0,0,0,1,0,0,360,0
,6,35,0,3,0,0,0,1,0,0,390,0
荒野戰鬥者鍊甲護甲,13,4,42975,276,12,13302,80,1,5,60100,6700,0
荒野戰鬥者鍊甲護甲,14,4,42992,280,12,13302,79,1,5,60100,6700,0
荒野戰鬥者環甲護甲,15,64,42993,276,12,13302,81,1,5,60100,6700,0
荒野戰鬥者環甲護甲,16,64,42994,280,12,13302,82,1,5,60100,6700,0
荒野戰鬥者懼鎧護甲,17,32,43004,276,12,13302,90,1,5,60100,6700,0
荒野戰鬥者懼鎧護甲,18,32,43005,280,12,13302,89,1,5,60100,6700,0
荒野戰鬥者綴鱗護甲,19,2,43006,276,12,13302,94,1,5,60100,6700,0
荒野戰鬥者綴鱗護甲,20,2,43008,280,12,13302,93,1,5,60100,6700,0
荒野戰鬥者鎧甲護甲,21,1,43010,280,12,13302,91,1,5,60100,6700,0
荒野戰鬥者鎧甲護甲,22,1,43009,276,12,13302,92,1,5,60100,6700,0
荒野戰鬥者皮甲護甲,23,8,43011,276,12,13302,85,1,5,60100,6700,0
荒野戰鬥者皮甲護甲,24,8,43012,280,12,13302,86,1,5,60100,6700,0
荒野戰鬥者龍皮護甲,25,1024,43018,280,12,13302,83,1,5,60100,6700,0
荒野戰鬥者龍皮護甲,26,1024,43017,276,12,13302,84,1,5,60100,6700,0
荒野戰鬥者鐵皮護甲,27,512,43020,280,12,13302,87,1,5,60100,6700,0
荒野戰鬥者鐵皮護甲,28,512,43019,276,12,13302,88,1,5,60100,6700,0
荒野戰鬥者絲質護甲,29,128,43021,276,12,13302,100,1,5,60100,6700,0
荒野戰鬥者絲質護甲,30,128,43022,280,12,13302,99,1,5,60100,6700,0
荒野戰鬥者緞質護甲,31,16,43023,276,12,13302,98,1,5,60100,6700,0
荒野戰鬥者緞質護甲,32,16,43024,280,12,13302,97,1,5,60100,6700,0
荒野戰鬥者魔織護甲,33,256,43026,280,12,13302,95,1,5,60100,6700,0
荒野戰鬥者魔織護甲,34,256,43025,276,12,13302,96,1,5,60100,6700,0
好戰戰鬥者鍊甲護甲,35,4,43028,276,13,13302,102,1,5,60200,7000,0
好戰戰鬥者鍊甲護甲,36,4,43029,280,13,13302,101,1,5,60200,7000,0
好戰戰鬥者環甲護甲,37,64,43030,276,13,13302,104,1,5,60200,7000,0
好戰戰鬥者環甲護甲,38,64,43031,280,13,13302,103,1,5,60200,7000,0
好戰戰鬥者龍皮護甲,39,1024,43032,276,13,13302,106,1,5,60200,7000,0
好戰戰鬥者龍皮護甲,40,1024,43033,280,13,13302,105,1,5,60200,7000,0
好戰戰鬥者皮甲護甲,41,8,43034,276,13,13302,114,1,5,60200,7000,0
好戰戰鬥者皮甲護甲,42,8,43035,280,13,13302,113,1,5,60200,7000,0
好戰戰鬥者鐵皮護甲,43,512,43037,280,13,13302,111,1,5,60200,7000,0
好戰戰鬥者鐵皮護甲,44,512,43036,276,13,13302,112,1,5,60200,7000,0
好戰戰鬥者懼鎧護甲,45,32,43038,276,13,13302,108,1,5,60200,7000,0
好戰戰鬥者懼鎧護甲,46,32,43039,280,13,13302,107,1,5,60200,7000,0
好戰戰鬥者綴鱗護甲,47,2,43042,280,13,13302,119,1,5,60200,7000,0
好戰戰鬥者綴鱗護甲,48,2,43041,276,13,13302,120,1,5,60200,7000,0
好戰戰鬥者鎧甲護甲,49,1,43044,280,13,13302,115,1,5,60200,7000,0
好戰戰鬥者鎧甲護甲,50,1,43043,276,13,13302,116,1,5,60200,7000,0
好戰戰鬥者緞質護甲,51,16,43046,280,13,13302,117,1,5,60200,7000,0
好戰戰鬥者緞質護甲,52,16,43045,276,13,13302,118,1,5,60200,7000,0
好戰戰鬥者絲質護甲,53,128,43047,276,13,13302,122,1,5,60200,7000,0
好戰戰鬥者絲質護甲,54,128,43048,280,13,13302,121,1,5,60200,7000,0
好戰戰鬥者魔織護甲,55,256,43050,280,13,13302,109,1,5,60200,7000,0
好戰戰鬥者魔織護甲,56,256,43049,276,13,13302,110,1,5,60200,7000,0
原始戰鬥者鍊甲護甲,57,4,43074,280,11,13302,123,1,5,60001,6200,0
原始戰鬥者鍊甲護甲,58,4,43073,276,11,13302,124,1,5,60001,6200,0
原始戰鬥者環甲護甲,59,64,43076,280,11,13302,137,1,5,60001,6200,0
原始戰鬥者環甲護甲,60,64,43075,276,11,13302,138,1,5,60001,6200,0
原始戰鬥者龍皮護甲,61,1024,43078,280,11,13302,125,1,5,60001,6200,0
原始戰鬥者龍皮護甲,62,1024,43077,276,11,13302,126,1,5,60001,6200,0
原始戰鬥者皮甲護甲,63,8,43080,280,11,13302,133,1,5,60001,6200,0
原始戰鬥者皮甲護甲,64,8,43081,276,11,13302,134,1,5,60001,6200,0
原始戰鬥者鐵皮護甲,65,512,43083,280,11,13302,131,1,5,60001,6200,0
原始戰鬥者鐵皮護甲,66,512,43082,276,11,13302,132,1,5,60001,6200,0
原始戰鬥者懼鎧護甲,67,32,43085,280,11,13302,127,1,5,60001,6200,0
原始戰鬥者懼鎧護甲,68,32,43084,276,11,13302,128,1,5,60001,6200,0
原始戰鬥者綴鱗護甲,69,2,43087,280,11,13302,141,1,5,60001,6200,0
原始戰鬥者綴鱗護甲,70,2,43086,276,11,13302,142,1,5,60001,6200,0
原始戰鬥者鎧甲護甲,71,1,43089,280,11,13302,135,1,5,60001,6200,0
原始戰鬥者鎧甲護甲,72,1,43088,276,11,13302,136,1,5,60001,6200,0
原始戰鬥者魔織護甲,73,256,43093,280,11,13302,129,1,5,60001,6200,0
原始戰鬥者魔織護甲,74,256,43092,276,11,13302,130,1,5,60001,6200,0
原始戰鬥者緞質護甲,75,16,43095,280,11,13302,139,1,5,60001,6200,0
原始戰鬥者緞質護甲,76,16,43094,276,11,13302,140,1,5,60001,6200,0
原始戰鬥者絲質護甲,77,128,43097,280,11,13302,143,1,5,60001,6200,0
原始戰鬥者絲質護甲,78,128,43096,276,11,13302,144,1,5,60001,6200,0
荒野鬥士鍊甲護甲,79,4,43103,280,12,13301,0,1,5,60100,7000,0
荒野鬥士鍊甲護甲,80,4,43102,276,12,13301,0,1,5,60100,7000,0
荒野鬥士環甲護甲,81,64,43104,276,12,13301,0,1,5,60100,7000,0
荒野鬥士環甲護甲,82,64,43105,280,12,13301,0,1,5,60100,7000,0
荒野鬥士龍皮護甲,83,1024,43108,280,12,13301,0,1,5,60100,7000,0
荒野鬥士龍皮護甲,84,1024,43107,276,12,13301,0,1,5,60100,7000,0
荒野鬥士皮甲護甲,85,8,43109,276,12,13301,0,1,5,60100,7000,0
荒野鬥士皮甲護甲,86,8,43110,280,12,13301,0,1,5,60100,7000,0
荒野鬥士鐵皮護甲,87,512,43113,280,12,13301,0,1,5,60100,7000,0
荒野鬥士鐵皮護甲,88,512,43112,276,12,13301,0,1,5,60100,7000,0
荒野鬥士懼鎧護甲,89,32,43005,280,12,13301,0,1,5,60100,7000,0
荒野鬥士懼鎧護甲,90,32,43114,276,12,13301,0,1,5,60100,7000,0
荒野鬥士鎧甲護甲,91,1,43117,280,12,13301,0,1,5,60100,7000,0
荒野鬥士鎧甲護甲,92,1,43116,276,12,13301,0,1,5,60100,7000,0
荒野鬥士綴鱗護甲,93,2,43119,280,12,13301,0,1,5,60100,7000,0
荒野鬥士綴鱗護甲,94,2,43118,276,12,13301,0,1,5,60100,7000,0
荒野鬥士魔織護甲,95,256,43123,280,12,13301,0,1,5,60100,7000,0
荒野鬥士魔織護甲,96,256,43122,276,12,13301,0,1,5,60100,7000,0
荒野鬥士緞質護甲,97,16,43125,280,12,13301,0,1,5,60100,7000,0
荒野鬥士緞質護甲,98,16,43124,276,12,13301,0,1,5,60100,7000,0
荒野鬥士絲質護甲,99,128,43127,280,12,13301,0,1,5,60100,7000,0
荒野鬥士絲質護甲,100,128,43126,276,12,13301,0,1,5,60100,7000,0
好戰鬥士鍊甲護甲,101,4,43137,280,13,13301,0,1,5,60200,7100,0
好戰鬥士鍊甲護甲,102,4,43136,276,13,13301,0,1,5,60200,7100,0
好戰鬥士環甲護甲,103,64,43139,280,13,13301,0,1,5,60200,7100,0
好戰鬥士環甲護甲,104,64,43138,276,13,13301,0,1,5,60200,7100,0
好戰鬥士龍皮護甲,105,1024,43155,280,13,13301,0,1,5,60200,7100,0
好戰鬥士龍皮護甲,106,1024,43154,276,13,13301,0,1,5,60200,7100,0
好戰鬥士懼鎧護甲,107,32,43157,280,13,13301,0,1,5,60200,7100,0
好戰鬥士懼鎧護甲,108,32,43156,276,13,13301,0,1,5,60200,7100,0
好戰鬥士魔織護甲,109,256,43161,280,13,13301,0,1,5,60200,7100,0
好戰鬥士魔織護甲,110,256,43160,276,13,13301,0,1,5,60200,7100,0
好戰鬥士鐵皮護甲,111,512,43164,280,13,13301,0,1,5,60200,7100,0
好戰鬥士鐵皮護甲,112,512,43163,276,13,13301,0,1,5,60200,7100,0
好戰鬥士皮甲護甲,113,8,43166,280,13,13301,0,1,5,60200,7100,0
好戰鬥士皮甲護甲,114,8,43165,276,13,13301,0,1,5,60200,7100,0
好戰鬥士鎧甲護甲,115,1,43168,280,13,13301,0,1,5,60200,7100,0
好戰鬥士鎧甲護甲,116,1,43167,276,13,13301,0,1,5,60200,7100,0
好戰鬥士緞質護甲,117,16,43170,280,13,13301,0,1,5,60200,7100,0
好戰鬥士緞質護甲,118,16,43169,276,13,13301,0,1,5,60200,7100,0
好戰鬥士綴鱗護甲,119,2,43172,280,13,13301,0,1,5,60200,7100,0
好戰鬥士綴鱗護甲,120,2,43171,276,13,13301,0,1,5,60200,7100,0
好戰鬥士絲質護甲,121,128,43174,280,13,13301,0,1,5,60200,7100,0
好戰鬥士絲質護甲,122,128,43173,276,13,13301,0,1,5,60200,7100,0
原始鬥士鍊甲護甲,123,4,43198,280,11,13301,0,1,5,60001,6600,0
原始鬥士鍊甲護甲,124,4,43197,276,11,13301,0,1,5,60001,6600,0
原始鬥士龍皮護甲,125,1024,43200,280,11,13301,0,1,5,60001,6600,0
原始鬥士龍皮護甲,126,1024,43199,276,11,13301,0,1,5,60001,6600,0
原始鬥士懼鎧護甲,127,32,43202,280,11,13301,0,1,5,60001,6600,0
原始鬥士懼鎧護甲,128,32,43201,276,11,13301,0,1,5,60001,6600,0
原始鬥士魔織護甲,129,256,43204,280,11,13301,0,1,5,60001,6600,0
原始鬥士魔織護甲,130,256,43203,276,11,13301,0,1,5,60001,6600,0
原始鬥士鐵皮護甲,131,512,43210,280,11,13301,0,1,5,60001,6600,0
原始鬥士鐵皮護甲,132,512,43209,276,11,13301,0,1,5,60001,6600,0
原始鬥士皮甲護甲,133,8,43212,280,11,13301,0,1,5,60001,6600,0
原始鬥士皮甲護甲,134,8,43211,276,11,13301,0,1,5,60001,6600,0
原始鬥士鎧甲護甲,135,1,43089,280,11,13301,0,1,5,60001,6600,0
原始鬥士鎧甲護甲,136,1,43213,276,11,13301,0,1,5,60001,6600,0
原始鬥士環甲護甲,137,64,43217,280,11,13301,0,1,5,60001,6600,0
原始鬥士環甲護甲,138,64,43216,276,11,13301,0,1,5,60001,6600,0
原始鬥士緞質護甲,139,16,43219,280,11,13301,0,1,5,60001,6600,0
原始鬥士緞質護甲,140,16,43218,276,11,13301,0,1,5,60001,6600,0
原始鬥士綴鱗護甲,141,2,43221,280,11,13301,0,1,5,60001,6600,0
原始鬥士綴鱗護甲,142,2,43220,276,11,13301,0,1,5,60001,6600,0
原始鬥士絲質護甲,143,128,43223,280,11,13301,0,1,5,60001,6600,0
原始鬥士絲質護甲,144,128,43222,276,11,13301,0,1,5,60001,6600,0
原始鬥士武器庫,145,0,43225,281,0,0,0,1,5,60001,6600,0
原始鬥士武器庫,146,0,43224,277,0,0,0,1,5,60001,6600,0
,147,0,43227,281,0,0,0,1,5,60100,7000,0
,148,0,43226,277,0,0,0,1,5,60100,7000,0
,149,0,43230,281,0,0,0,1,0,60200,7100,0
,150,0,43229,277,0,0,0,1,0,60200,7100,0
,151,0,43232,281,0,0,0,1,5,60200,7000,0
,152,0,43231,277,0,0,0,1,5,60200,7000,0
,153,0,43234,281,0,0,0,1,5,60100,6700,0
,154,0,43233,277,0,0,0,1,5,60100,6700,0
原始戰鬥者武器庫,155,0,43236,281,0,0,0,1,5,60001,6200,0
原始戰鬥者武器庫,156,0,43235,277,0,0,0,1,5,60001,6200,0
魔鑄護甲,157,35,43278,2,48,0,0,1,6,70001,100,0
魔鍊護甲,158,4164,43279,2,48,0,0,1,6,70001,100,0
魔蔽護甲,159,3592,43280,2,48,0,0,1,6,70001,100,0
魔盈護甲,160,400,43281,2,48,0,0,1,6,70001,100,0
,162,0,0,3,0,0,0,1,0,0,10,0
,163,4,0,3,0,0,0,1,0,0,750,0
,164,16,0,3,0,0,0,1,0,0,750,0
,167,0,42778,3,0,0,0,1,0,0,200,0
,168,0,45129,3,0,0,0,1,0,0,6400,0
,169,0,45130,3,0,0,0,1,0,0,2510,0
,170,0,45131,3,0,0,0,1,0,0,490,0
天選逝者戰衣,171,400,45208,2,47,13193,0,1,6,70100,8551,0
天選逝者戰衣,172,400,45223,2,47,2015,171,1,6,70100,8552,0
天選逝者戰衣,173,400,45224,2,47,13145,171,1,6,70100,8553,0
天選逝者戰衣,174,400,45225,2,47,1641,171,1,6,70100,8550,0
天選逝者裝束,175,3592,45226,2,47,13193,0,1,6,70100,8551,0
天選逝者裝束,176,3592,45227,2,47,2015,175,1,6,70100,8552,0
天選逝者裝束,177,3592,45228,2,47,13145,175,1,6,70100,8553,0
天選逝者裝束,178,3592,45229,2,47,1641,175,1,6,70100,8550,0
天選逝者鍊甲,179,4164,45230,2,47,13193,0,1,6,70100,8551,0
天選逝者鍊甲,180,4164,45231,2,47,2015,179,1,6,70100,8552,0
天選逝者鍊甲,181,4164,45232,2,47,13145,179,1,6,70100,8553,0
天選逝者鍊甲,182,4164,45233,2,47,1641,179,1,6,70100,8550,0
天選逝者葬儀鎧甲,183,35,45234,2,47,13193,0,1,6,70100,8551,0
