ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,膚色,3,0,0,4,-1,-1,-1,0
2,臉型,3,1,1,0,-1,-1,-1,0
3,髮型,3,3,2,0,-1,-1,-1,0
4,髮色,3,3,3,4,-1,-1,-1,0
5,鬍鬚,3,2,4,0,-1,-1,-1,0
6,刺青,3,5,5,1,12,-1,-1,4
7,犄角形狀,3,6,6,0,-1,-1,-1,0
8,眼罩,3,7,7,0,-1,-1,-1,0
9,刺青顏色,3,5,8,5,12,-1,-1,4
10,刺環,1,2,4,0,-1,-1,-1,1
11,刺環,1,2,4,0,-1,-1,-1,2
12,刺環,1,2,4,0,-1,-1,-1,3
13,面紋,1,2,4,0,-1,-1,-1,4
14,特徵,3,2,4,0,-1,-1,-1,5
15,頭髮,1,2,4,0,-1,-1,-1,6
16,犄角形狀,3,3,2,0,-1,-1,-1,6
17,犄角顏色,3,3,3,4,-1,-1,-1,6
18,耳環,1,2,4,0,-1,-1,-1,7
19,獠牙,3,2,4,0,-1,-1,-1,8
20,耳朵,3,2,4,0,-1,-1,-1,9
21,耳環,1,2,4,0,-1,-1,-1,10
22,耳朵,1,2,4,0,-1,-1,-1,22
23,犄角形狀,1,2,4,0,-1,-1,-1,11
24,犄角形狀,1,2,4,0,-1,-1,-1,30
25,符文,3,7,7,0,-1,-1,-1,30
26,耳環,1,2,4,0,-1,-1,-1,24
27,耳環,1,2,4,0,-1,-1,-1,25
28,耳環,1,2,4,0,-1,-1,-1,26
29,獠牙,3,6,6,0,-1,-1,-1,31
30,耳環,3,7,7,0,-1,-1,-1,31
31,飾品,1,2,4,0,-1,-1,-1,31
32,刺青,3,5,5,1,13,-1,-1,31
34,刺青,3,5,5,1,12,-1,-1,10
35,刺青顏色,3,5,8,5,12,-1,-1,10
36,刺青,3,5,5,1,12,-1,-1,30
37,刺青,3,5,5,1,13,-1,-1,28
38,頭髮,1,2,4,0,-1,-1,-1,28
39,犄角形狀,3,3,2,0,-1,-1,-1,28
40,犄角顏色,3,3,3,4,-1,-1,-1,28
41,耳環,1,2,4,0,-1,-1,-1,29
42,刺青,3,5,5,1,13,-1,-1,27
43,耳環,1,2,4,0,-1,-1,-1,27
44,耳環,0,2,4,0,-1,-1,-1,27
46,體態,0,7,7,0,-1,-1,-1,2
47,刺青,0,6,6,0,13,-1,-1,34
48,刺青,1,5,5,0,13,-1,-1,34
49,體態,0,7,7,0,-1,-1,-1,36
50,膚色,3,0,0,5,-1,-1,-1,36
52,刺環,0,5,5,0,-1,-1,-1,34
153,圖樣,3,5,5,3,13,-1,-1,35
155,耳環,1,6,6,0,-1,-1,-1,32
156,項鍊,1,7,7,0,-1,-1,-1,32
157,手臂升級,3,6,6,0,0,1,-1,37
158,腿部升級,3,7,7,0,5,6,-1,37
159,修改,3,5,5,0,9,10,-1,37
160,鼻部,3,6,6,0,-1,-1,-1,35
161,耳朵,3,2,4,0,-1,-1,-1,35
162,膚色,3,0,0,5,-1,-1,-1,35
163,刺青,3,5,5,0,-1,-1,-1,0
164,鬍鬚,0,2,4,0,-1,-1,-1,6
165,膚色,3,0,0,4,-1,-1,-1,6
166,飾品,1,2,4,0,-1,-1,-1,36
167,飾品,1,2,4,0,-1,-1,-1,34
168,眉毛,1,2,4,0,-1,-1,-1,32
169,膚色,3,0,0,4,-1,-1,-1,28
170,鬍鬚,0,2,4,0,-1,-1,-1,28
171,膚色,3,0,0,4,-1,-1,-1,24
172,鬍鬚,0,2,4,0,-1,-1,-1,24
173,髮型,0,3,2,0,-1,-1,-1,24
174,髮型,3,3,4,0,-1,-1,-1,35
175,臉型,3,1,1,0,-1,-1,-1,36
176,臉型,3,1,1,0,-1,-1,-1,35
177,臉型,3,1,1,0,-1,-1,-1,6
178,臉型,3,1,1,0,-1,-1,-1,28
179,臉型,3,1,1,0,-1,-1,-1,24
180,刺環,1,2,4,0,-1,-1,-1,23
