ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,戰鬥,RogueCombat,靈敏且狡猾的劍客，擅長以近距離擊殺敵人，,1,0,8,0,0,8,76806,0
182,刺殺,RogueAssassination,死亡毒藥大師，善用狠毒的匕首打擊來擊殺敵人。,0,0,8,0,0,8,76803,0
183,敏銳,RogueSubtlety,黑暗潛行者，可從暗影中躍出伏擊其毫無戒備的獵物。,2,0,8,0,0,8,76808,0
261,元素,ShamanElementalCombat,駕馭自然和元素的毀滅性力量的施法者。,0,0,64,0,0,8,77222,0
262,恢復,ShamanRestoration,可召喚先祖之魂並使用水之淨化力量來治療盟友傷口的醫者。,2,0,64,0,0,4,77226,0
263,增強,ShamanEnhancement,活用圖騰之力的戰士，使用灌滿元素力量的武器來打擊敵人。,1,0,64,0,0,8,77223,0
398,血魄,DeathKnightBlood,黑暗守護者，控制並腐化生命能量，使$G他:她;自己能持續對敵人猛攻。,0,0,32,0,0,2,77513,0
399,冰霜,DeathKnightFrost,末日的寒冰先驅者，可以引導符能並進行迅捷的武器打擊。,1,0,32,0,0,8,77514,0
400,穢邪,DeathKnightUnholy,死亡凋零大師，可以散播感染並控制不死僕從為$G他:她;效命。,2,0,32,0,0,8,77515,0
409,堅毅,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,戒律,PriestDiscipline,使用魔法來保護盟友不受傷害，並用魔法來治療他們的傷口。,0,0,16,0,0,4,77484,0
795,暗影,PriestShadow,使用邪惡的暗影魔法，特別是持續性傷害法術，來毀滅敵人。,2,0,16,0,0,8,77486,0
807,射擊,HunterMarksmanship,射擊大師或神射手，擅長從遠處擊殺敵人。,1,0,4,0,0,8,76659,0
809,生存,HunterSurvival,堅毅的追獵者，喜用動物毒液、炸藥和陷阱等致命性武器。,2,0,4,0,0,8,76658,0
811,野獸控制,HunterBeastMastery,荒野大師，可以馴服多種野獸以協助其作戰。,0,0,4,0,0,8,76657,0
813,神聖,PriestHoly,多元化的治療者，可以治療個體或團隊所受到的傷害，甚至可以在死亡後繼續治療。,1,0,16,0,0,4,77485,0
865,毀滅,WarlockDestruction,A master of burst damage who calls down fire to burn and demolish enemies.,2,0,256,0,0,8,77220,0
867,惡魔學識,WarlockSummoning,A master of demonic magic who transforms into a demon and compels demonic powers to aid him.,1,0,256,0,0,8,77219,0
871,痛苦,WarlockCurses,暗影魔法大師，擅長使用恐懼術、吸取術和持續性傷害法術。,0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
