ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,對一名敵人造成$s@effectindex點物理傷害。,,2,0,1,3,1,50,50
2,對一名敵人造成$s@effectindex點神聖傷害。,,2,0,1,3,2,50,50
3,對一名敵人造成$s@effectindex點火焰傷害。,,2,0,1,3,4,50,50
4,對一名敵人造成$s@effectindex點自然傷害。,,2,0,1,3,8,50,50
5,對一名敵人造成$s@effectindex點冰霜傷害。,,2,0,1,3,16,50,50
6,對一位敵人造成$s@effectindex點暗影傷害。,,2,0,1,3,32,50,50
7,對一名敵人造成$s@effectindex點秘法傷害。,,2,0,1,3,64,50,50
8,對一名敵人造成$s@effectindex點混沌傷害。,,2,0,1,3,127,50,50
9,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點物理傷害。,,2,0,1,5,1,50,50
10,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點神聖傷害。,,2,0,1,5,2,50,50
11,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點火焰傷害。,,2,0,1,5,4,50,50
12,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點自然傷害。,,2,0,1,5,8,50,50
13,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點冰霜傷害。,,2,0,1,5,16,50,50
14,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點暗影傷害。,,2,0,1,5,32,50,50
15,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點秘法傷害。,,2,0,1,5,64,50,50
16,對擊中處$A@effectindex碼範圍內的敵人造成$s@effectindex點混沌傷害。,,2,0,1,5,127,50,50
17,對$A@effectindex碼範圍內的敵人造成$s@effectindex點物理傷害。,,2,0,1,7,1,50,50
18,對$A@effectindex碼範圍內的敵人造成$s@effectindex點神聖傷害。,,2,0,1,7,2,50,50
19,對$A@effectindex碼範圍內的敵人造成$s@effectindex點火焰傷害。,,2,0,1,7,4,50,50
20,對$A@effectindex碼範圍內的敵人造成$s@effectindex點自然傷害。,,2,0,1,7,8,50,50
21,對$A@effectindex碼範圍內的敵人造成$s@effectindex點冰霜傷害。,,2,0,1,7,16,50,50
22,對$A@effectindex碼範圍內的敵人造成$s@effectindex點暗影傷害。,,2,0,1,7,32,50,50
23,對$A@effectindex碼範圍內的敵人造成$s@effectindex點秘法傷害。,,2,0,1,7,64,50,50
24,對$A@effectindex碼範圍內的敵人造成$s@effectindex點混沌傷害。,,2,0,1,7,127,50,50
25,每$t@effectindex秒對一名敵人造成$s@effectindex點物理傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點物理傷害。,6,3,1,3,1,50,50
26,每$t@effectindex秒對一名敵人造成$s@effectindex點神聖傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點神聖傷害。,6,3,1,3,2,50,50
27,每$t@effectindex秒對一名敵人造成$s@effectindex點火焰傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點火焰傷害。,6,3,1,3,4,50,50
28,每$t@effectindex秒對一名敵人造成$s@effectindex點自然傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點自然傷害。,6,3,1,3,8,50,50
29,每$t@effectindex秒對一名敵人造成$s@effectindex點冰霜傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點冰霜傷害。,6,3,1,3,16,50,50
30,每$t@effectindex秒對一名敵人造成$s@effectindex點暗影傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點暗影傷害。,6,3,1,3,32,50,50
31,每$t@effectindex秒對一名敵人造成$s@effectindex點秘法傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點秘法傷害。,6,3,1,3,64,50,50
32,每$t@effectindex秒對一名敵人造成$s@effectindex點混沌傷害，持續$d。,每$t@effectindex秒造成$s@effectindex點混沌傷害。,6,3,1,3,127,50,50
33,使敵人因昏迷而無法移動或攻擊，持續$d。,昏迷。,6,12,0,3,0,0,0
34,使命中位置附近$A@effectindex碼範圍內所有盟友的攻擊速度和施法速度提高$s@effectindex%，持續$d。,攻擊速度和施法速度提高$s@effectindex%。,6,193,1,6,0,0,0
35,將$A@effectindex碼範圍內的所有敵人擊昏，使其無法移動或攻擊，持續$d。,昏迷。,6,12,0,7,0,0,0
36,將擊中處$A@effectindex碼範圍內的所有敵人擊昏，使其無法移動或攻擊，持續$d。,昏迷。,6,12,0,5,0,0,0
37,為盟友恢復其生命力上限的$s@effectindex%。,,136,0,1,2,0,0,0
38,使一名敵人定身，最多持續$d。,無法移動。,6,26,0,3,0,20,0
42,每$t@effectindex秒對一名敵人造成暗影傷害，持續$d。,每$t@effectindex秒造成暗影傷害。,6,70,1,3,32,50,50
43,對一名敵人造成物理傷害。,,31,0,1,3,1,50,50
44,對一名敵人造成神聖傷害。,,31,0,1,3,2,50,50
45,對一名敵人造成火焰傷害。,,31,0,1,3,4,50,50
46,對一名敵人造成自然傷害。,,31,0,1,3,8,50,50
47,對一名敵人造成冰霜傷害。,,31,0,1,3,16,50,50
48,對一名敵人造成暗影傷害。,,31,0,1,3,32,50,50
49,對一名敵人造成秘法傷害。,,31,0,1,3,64,50,50
50,對一名敵人造成混沌傷害。,,31,0,1,3,127,50,50
51,每$t@effectindex秒對一名敵人造成物理傷害，持續$d。,每$t@effectindex秒造成物理傷害。,6,70,1,3,1,50,50
52,每$t@effectindex秒對一名敵人造成神聖傷害，持續$d。,每$t@effectindex秒造成神聖傷害。,6,70,1,3,2,50,50
53,每$t@effectindex秒對一名敵人造成火焰傷害，持續$d。,每$t@effectindex秒造成火焰傷害。,6,70,1,3,4,50,50
54,每$t@effectindex秒對一名敵人造成自然傷害，持續$d。,每$t@effectindex秒造成自然傷害。,6,70,1,3,8,50,50
55,每$t@effectindex秒對一名敵人造成冰霜傷害，持續$d。,每$t@effectindex秒造成冰霜傷害。,6,70,1,3,16,50,50
56,每$t@effectindex秒對一名敵人造成秘法傷害，持續$d。,每$t@effectindex秒造成秘法傷害。,6,70,1,3,64,50,50
