ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,軍備廠,矮人碉堡,這棟建築可以存放要塞的武裝並進行保養。,有兩倍機會在任務獎勵中取得升級的稀有與史詩級物品，並且可以提高升級的幅度。此外還可以在德拉諾的獸人氏族中收集到護甲碎塊，用於護甲塑形。,2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,軍備廠,矮人碉堡,這棟建築可以存放要塞的武裝並進行保養。,可利用要塞資源來承接追隨者武器和護甲的訂單，並可解鎖新的護甲塑形物品。,2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,軍備廠,矮人碉堡,這棟建築可以存放要塞的武裝並進行保養。,每週可以免費獲得1個宿命徽印(團隊額外擲骰權)，上限為3個。,2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,獸倉,獸倉,獸倉豢養著捕捉到的動物，可為要塞提供所需的皮革、肉料和毛皮。,你可以捕捉裂蹄、伊萊克、狼和塔巴克，以取得皮革和毛皮。製皮和裁縫的設計圖中會用到這些材料。,2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,獸倉,獸倉,獸倉豢養著捕捉到的動物，可為要塞提供所需的皮革、肉料和毛皮。,你可以捕捉野豬和河獸，以取得稀有的肉類。這些肉可以用來烹調強大的料理。,2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,兵營,兵營,兵營中駐紮了要塞的兵力以及追隨者。,開啟巡邏任務。巡邏任務有更高的追隨者經驗值獎勵。,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,兵營,兵營,兵營中駐紮了要塞的兵力以及追隨者。,讓擁有保鏢特長的追隨者在德拉諾護衛你。,2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,兵營,兵營,兵營中駐紮了要塞的兵力以及追隨者。,讓你的追隨者上限提高5人，並取得種族守衛和戰旗。,2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,草藥園,草藥園,可以種植並採收德拉諾草藥的肥沃苗圃。,每天種植德拉諾種子並採收草藥，在草藥園裡也會產生草藥點。,2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,霜牆酒館,落月旅店,冒險！刺激！英雄和他的追隨者們全都需要。他們也需要可以休息的地方。,每天都會有訪客在你的旅店待上一整天，帶來地城任務並提供優渥的報酬。,2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
35,霜牆酒館,落月旅店,冒險！刺激！英雄和他的追隨者們全都需要。他們也需要可以休息的地方。,每週隨機招募追隨者。你可以指定特別感興趣的特長和技能。,2,5,230417,224806,0,2,3600,824,300,138,31,134414,1236,1235,0,3,0,0,300,1
36,霜牆酒館,落月旅店,冒險！刺激！英雄和他的追隨者們全都需要。他們也需要可以休息的地方。,解鎖特別有賺頭的要塞資源任務。,2,5,230418,224807,0,3,3600,824,600,139,32,134414,1238,1237,0,5,0,0,500,1
37,靈魂小屋,法師塔,你可以馬上傳送到德拉諾的戰略據點！,從德拉諾的巨魔身上收集甬道石，這些甬道石可以用來替巨魔甬道之門充能。你可以選擇要讓甬道之門通往德拉諾上的哪個地方。此外偶爾還可以在戰鬥中觸發力之符文。,2,13,230419,224808,0,1,3600,824,150,148,28,975740,1240,1239,0,7,0,0,150,1
