ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,陌生人,2,0,0
2,熟識,2,8400,0
3,夥伴,2,16800,0
4,朋友,2,25200,0
5,好朋友,2,33600,0
6,最好的朋友,2,42000,0
59,陌生人,16,0,0
60,熟識,16,8400,0
61,夥伴,16,16800,0
62,朋友,16,25200,0
63,好朋友,16,33600,0
64,最好的朋友,16,42000,0
65,陌生人,17,0,0
66,熟識,17,8400,0
67,夥伴,17,16800,0
68,朋友,17,25200,0
69,好朋友,17,33600,0
70,最好的朋友,17,42000,0
71,陌生人,18,0,0
72,熟識,18,8400,0
73,夥伴,18,16800,0
74,朋友,18,25200,0
75,好朋友,18,33600,0
76,最好的朋友,18,42000,0
77,陌生人,19,0,0
78,熟識,19,8400,0
79,夥伴,19,16800,0
80,朋友,19,25200,0
81,好朋友,19,33600,0
82,最好的朋友,19,42000,0
83,陌生人,20,0,0
84,熟識,20,8400,0
85,夥伴,20,16800,0
86,朋友,20,25200,0
87,好朋友,20,33600,0
88,最好的朋友,20,42000,0
89,陌生人,21,0,0
90,熟識,21,8400,0
91,夥伴,21,16800,0
92,朋友,21,25200,0
93,好朋友,21,33600,0
94,最好的朋友,21,42000,0
95,陌生人,22,0,0
96,熟識,22,8400,0
97,夥伴,22,16800,0
98,朋友,22,25200,0
99,好朋友,22,33600,0
100,最好的朋友,22,42000,0
101,陌生人,23,0,0
102,熟識,23,8400,0
103,夥伴,23,16800,0
104,朋友,23,25200,0
105,好朋友,23,33600,0
106,最好的朋友,23,42000,0
107,陌生人,24,0,0
108,熟識,24,8400,0
109,夥伴,24,16800,0
110,朋友,24,25200,0
111,好朋友,24,33600,0
112,最好的朋友,24,42000,0
113,學徒,25,0,0
114,學徒,25,8400,0
115,中級,25,16800,0
116,中級,25,25200,0
117,中級,25,33600,0
118,高級,25,42000,0
119,陌生人,26,0,0
120,同伴,26,8400,0
121,夥伴,26,16800,0
122,朋友,26,25200,0
123,最好的朋友,26,42000,0
124,好朋友,26,33600,0
127,第1階,28,0,0
128,第2階,28,1000,0
129,第3階,28,2000,0
130,第4階,28,3000,0
131,第5階,28,4000,0
132,第6階,28,5000,0
133,第7階,28,6000,0
192,第1階,43,0,0
193,第2階,43,1000,0
194,第3階,43,2000,0
195,第4階,43,3000,0
196,第5階,43,4000,0
197,第6階,43,5000,0
198,第7階,43,6000,0
271,最高階,43,7000,0
272,最高階,28,7000,0
288,很缺乏,72,0,0
289,很充足,72,10000,0
416,保鏢,160,0,0
417,信任的保鏢,160,10000,0
418,個人的搭檔,160,20000,0
422,保鏢,162,0,0
423,信任的保鏢,162,10000,0
424,個人的搭檔,162,20000,0
425,保鏢,163,0,0
426,信任的保鏢,163,10000,0
427,個人的搭檔,163,20000,0
428,保鏢,164,0,0
429,信任的保鏢,164,10000,0
430,個人的搭檔,164,20000,0
431,保鏢,165,0,0
432,信任的保鏢,165,10000,0
433,個人的搭檔,165,20000,0
434,保鏢,166,0,0
435,信任的保鏢,166,10000,0
436,個人的搭檔,166,20000,0
437,保鏢,167,0,0
438,信任的保鏢,167,10000,0
439,個人的搭檔,167,20000,0
443,等級1,171,0,0
444,等級2,171,1000,0
445,等級3,171,2000,0
446,等級4,171,3000,0
447,等級5,171,4000,0
448,等級6,171,5000,0
449,等級7,171,6000,0
450,等級8,171,7000,0
451,等級1,172,0,0
452,等級2,172,1000,0
453,等級3,172,2000,0
454,等級4,172,3000,0
455,等級5,172,4000,0
456,等級6,172,5000,0
457,等級7,172,6000,0
458,等級8,172,7000,0
466,凋萎,181,0,0
467,穩定,181,100,0
471,凋萎,182,0,0
472,穩定,182,100,0
473,強化,182,150,0
476,凋萎,183,0,0
477,滿足,183,200,0
481,等級9,171,8000,0
482,最高等級,171,9000,0
483,等級9,172,8000,0
