ID,ZoneName,AreaName_lang,ContinentID,ParentAreaID,AreaBit,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,UwAmbience,ZoneMusic,UwZoneMusic,IntroSound,UwIntroSound,FactionGroupMask,Ambient_multiplier,MountFlags,PvpCombatWorldStateID,WildBattlePetLevelMin,WildBattlePetLevelMax,WindSettingsID,ContentTuningID,Flags[0],Flags[1],LiquidTypeID[0],LiquidTypeID[1],LiquidTypeID[2],LiquidTypeID[3]
1,DunMorogh,丹莫洛,0,0,119,0,11,598,675,759,0,0,0,2,0.3,15,-1,1,2,0,74,16449,0,0,0,0,0
2,Longshore,長灘,0,40,120,0,11,567,675,9,0,0,0,0,0.15,15,-1,0,0,0,6,1073758272,0,0,0,0,0
3,Badlands,荒蕪之地,0,0,121,0,11,606,675,738,0,0,0,0,0.15,15,-1,13,14,0,27,16448,0,0,0,0,0
4,BlastedLands,詛咒之地,0,0,122,0,11,210,675,7,0,0,0,0,0.15,15,-1,16,17,0,34,16448,0,0,0,0,0
5,GLOBAL,- QA and DVD GLOBAL -,606,0,6800,0,0,0,0,0,0,0,0,0,0.15,15,-1,0,0,0,984,64,0,0,0,0,0
7,DarkwaterCove,黑水灣,0,5287,123,0,11,0,675,3,0,0,0,0,0.15,15,-1,0,0,0,24,1073758272,0,0,0,0,0
8,SwampofSorrows,悲傷沼澤,0,0,124,0,11,33,675,223,0,0,0,0,0.3,15,-1,14,15,0,31,16448,0,0,0,0,0
9,NorthshireValley,北郡山谷,0,6170,125,0,11,35,675,1,0,674,0,0,0.15,15,-1,0,0,0,73,1076903936,0,0,0,0,0
10,Duskwood,暮色森林,0,0,617,0,11,572,675,2,0,0,0,0,0.3,15,-1,5,7,0,13,16448,0,0,0,0,0
11,Wetlands,濕地,0,0,618,0,11,603,675,637,0,0,0,0,0.3,15,-1,6,7,0,15,16448,0,0,0,0,0
12,ElwynnForest,艾爾文森林,0,0,126,0,11,604,675,1,0,670,0,2,0.15,15,-1,1,2,0,73,16448,0,0,0,0,0
13,TheWorldTree,世界之樹,0,10,555,0,11,48,675,11,0,0,0,0,0.15,15,-1,0,0,0,13,1073758272,0,0,0,0,0
14,Durotar,杜洛塔,1,0,127,0,11,569,675,890,0,0,0,4,0.4,15,-1,1,2,0,70,16448,0,0,0,0,0
15,Dustwallow,塵泥沼澤,1,0,128,0,11,586,675,590,0,0,0,0,0.4,15,-1,12,13,0,23,16448,0,0,0,0,0
16,Azshara,艾薩拉,1,0,129,82,11,570,675,858,0,756,0,4,0.3,15,-1,3,6,0,2,16448,0,0,0,0,0
17,TheBarrens,北貧瘠之地,1,0,130,0,11,629,675,800,0,0,0,4,0.3,15,-1,3,4,0,3,16448,0,0,0,0,0
18,CrystalLake,水晶湖,0,12,131,0,11,35,675,1,0,0,0,0,0.15,15,-1,0,0,0,73,1073758272,8192,0,0,0,0
19,ZulGurub,祖爾格拉布,0,33,574,0,11,32,675,713,0,0,0,0,0.15,15,-1,0,0,0,18,1073762368,8192,0,0,0,0
20,Moonbrook,月溪鎮,0,40,132,0,11,0,675,9,0,0,0,0,0.15,15,-1,0,0,0,6,1073758272,8192,0,0,0,0
21,KulTiras,庫爾提拉斯,0,0,133,0,11,0,675,8,0,0,0,0,0.15,15,-1,0,0,0,830,16448,0,0,0,0,0
22,ProgrammerIsle,工程師島,451,0,547,0,11,38,675,2,0,0,0,0,0.15,14,3499,0,0,0,798,16448,0,1,0,0,0
23,NorthshireRiver,北郡河,0,12,134,0,11,35,675,0,0,0,0,0,0.15,15,-1,0,0,0,73,1074806848,0,0,0,0,0
24,Northshireabbey,北郡修道院,0,6170,135,73,11,35,675,1,0,0,0,0,0.15,15,-1,0,0,0,73,1076904000,0,0,0,0,0
25,BlackrockMountain,黑石山,0,0,136,0,11,2636,675,10,0,0,0,0,0.15,15,-1,15,17,0,1203,16448,0,0,0,0,0
26,Lighthouse,燈塔,0,40,602,0,11,0,675,7,0,0,0,0,0.15,15,-1,0,0,0,6,1073758272,0,0,0,0,0
28,WesternPlaguelands,西瘟疫之地,0,0,137,0,11,634,675,635,0,0,0,0,0.3,15,-1,10,11,0,25,16448,0,0,0,0,0
