ID,Answer_lang,Sort_Index,GMSurveyQuestionID
101,不適用,0,36
102,是,1,36
103,否,2,36
104,不適用,0,35
105,0,1,35
106,1,2,35
107,2,3,35
108,3,4,35
109,4,5,35
110,5,6,35
111,6,7,35
112,7,8,35
113,8,9,35
114,9,10,35
115,差很多,1,37
116,較差,2,37
117,差不多,3,37
118,較好,4,37
119,好很多,5,37
120,10,11,35
121,不適用,0,37
152,較好,4,38
153,好很多,5,38
154,不適用,0,38
155,差很多,1,38
156,較差,2,38
157,差不多,3,38
158,較好,4,39
159,好很多,5,39
160,不適用,0,39
161,差很多,1,39
162,較差,2,39
163,差不多,3,39
164,較好,4,40
165,好很多,5,40
166,不適用,0,40
167,差很多,1,40
168,較差,2,40
169,差不多,3,40
170,較好,4,41
171,好很多,5,41
172,不適用,0,41
173,差很多,1,41
174,較差,2,41
175,差不多,3,41
184,極不滿意,0,42
185,,1,42
186,,2,42
187,,3,42
188,非常滿意,4,42
189,極不可能,0,43
190,,1,43
191,,2,43
192,,3,43
193,非常可能,4,43
194,不適用,5,43
195,極不可能,0,44
196,,1,44
197,,2,44
198,,3,44
199,非常可能,4,44
200,極不滿意,0,45
201,,1,45
202,,2,45
203,,3,45
204,非常滿意,4,45
205,極不同意,0,46
206,,1,46
207,,2,46
208,,3,46
209,強烈同意,4,46
210,不適用,5,46
211,極不同意,0,47
212,,1,47
213,,2,47
214,,3,47
215,強烈同意,4,47
216,不適用,5,47
217,極不同意,0,48
218,,1,48
219,,2,48
220,,3,48
221,強烈同意,4,48
222,不適用,5,48
223,極不同意,0,49
224,,1,49
225,,2,49
226,,3,49
227,強烈同意,4,49
228,不適用,5,49
229,是,0,50
230,否,1,50
231,極不滿意,0,51
232,,1,51
233,,2,51
234,,3,51
235,非常滿意,4,51
236,不適用,5,51
249,不適用,5,42
251,不適用,5,44
252,不適用,5,45
320,,1,53
321,,2,53
322,,3,53
323,強烈同意,4,53
324,N/A,5,53
325,強烈不同意,0,53
352,N/A,5,52
359,1,4,52
366,2,3,52
373,3,2,52
380,四次以上,1,52
394,尚未解決,0,52
