Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
帶釀酒大師阿波到仰加印古的釀酒鍋。,護送釀酒大師阿波,24,15,21004,0,0,0,0,0,0,0
帶200個仰加叢林酒到釀酒鍋。,倒滿釀酒鍋,25,15,27707,0,0,0,1,0,0,0
殺死烏克船長。,殺死烏克船長,26,15,21008,0,0,0,2,0,0,0
殺死腐化的影潘首領。,終結恐懼,114,39,21048,0,0,0,0,0,0,0
深入墓穴，到底層進行搜索。,搜尋墓穴,115,39,22065,0,0,0,2,0,0,0
消滅攻擊綠石村村民的怪物。,拯救村民,116,40,20975,0,0,0,0,0,0,0
殺死復仇之穢。,殺死復仇之穢,117,40,20982,0,0,0,4,0,0,0
在森林尋找遭竊的酒桶，然後送回村莊的道場。,取回遭竊的酒桶,118,40,21059,0,0,0,2,0,0,0
殺死玉蛟寺裡的煞之邪力。,玉蛟寺,123,44,21078,0,0,0,0,0,0,0
擊敗在風暴烈酒酒坊作亂的部隊。,風暴烈酒酒坊,124,45,21087,0,0,0,0,0,0,0
擊敗在影潘僧院裡阻撓你的對手。,影潘僧院,125,46,21095,0,0,0,0,0,0,0
擊敗攻擊落陽關的螳螂人部隊。,落陽關,127,48,21100,0,0,0,0,0,0,0
消滅圍攻怒兆寺的螳螂人部隊。,圍攻怒兆寺,128,49,21105,0,0,0,0,0,0,0
,魔古山宮,129,50,21110,0,0,0,0,0,0,0
消滅通靈學院裡的死靈勢力。,通靈學院,130,51,21120,0,0,0,0,0,0,0
消滅血色十字軍的部隊。,血色大廳,131,52,21130,0,0,0,0,0,0,0
前往石匠區，喚醒昏迷的村民。,拯救綠石石匠區,132,40,21126,0,0,0,3,0,0,0
消滅修道院裡的血色十字軍。,血色修道院,133,53,21134,0,0,0,0,0,0,0
召喚並擊敗強大的龍龜疤殼!,疤殼,138,58,21323,0,0,0,0,0,0,0
召喚並擊敗專吃咕嚕摩的冰雪恐懼:悠格魯姆。,悠格魯姆,139,58,21325,0,0,0,1,0,0,0
召喚並擊敗好動的火靈，劉楊。,小劉楊,140,58,21327,0,0,0,2,0,0,0
召喚並擊敗流浪的揚古戰士，查剛‧火蹄。,查剛‧火蹄,141,58,21332,0,0,0,3,0,0,0
召喚並擊敗最後一位挑戰者，然後向烏丁領取獎賞!,擊敗最後挑戰者!,142,58,21334,0,0,0,4,0,0,0
幫助釀酒大師布夫的助手收集崑萊好勁道所需的原料。,酒月節,154,63,21845,0,0,0,0,0,0,0
阻止巴塔利入侵濱南村。,揚古入侵！,155,63,21849,0,0,0,2,0,0,0
殺死戰爭使者闊畢。,戰爭使者闊畢,156,63,21851,0,0,0,3,0,0,0
調查揚古出沒的狀況。,偵察報告,157,63,21853,0,0,0,1,0,0,0
協助白蘭琪釀造她遠近馳名的轟隆酒。,釀造轟隆酒,159,65,21993,0,0,0,0,0,0,0
護送白蘭琪安全通過雷爪路。,前往雷爪靜修居,160,65,21995,0,0,0,1,0,0,0
殺死『毀滅者』波羅庫拉。,拯救雷爪靜修居,161,65,21999,0,0,0,2,0,0,0
消滅憤怒的憎惡獸。,消滅煞,166,39,21050,0,0,0,3,0,0,0
殺死曾將軍，雷王的先鋒大將。,殺死曾將軍,167,68,22571,0,0,0,4,0,0,0
救出被捕的金蓮會成員。,拯救金蓮會,171,68,22730,0,0,0,1,0,0,0
阻止處決博學行者阿傅。,刀下留人,172,68,22732,0,0,0,2,0,0,0
