ID,FullName_lang,ShortName_lang,GroupFinderCategoryID,OrderIndex,GroupFinderActivityGrpID,Flags,MinGearLevelSuggestion,PlayerConditionID,MapID,DifficultyID,AreaID,MaxPlayers,DisplayType,Field_11_0_7_57361_013,Field_11_0_7_57361_014,Field_11_0_7_57361_015,Field_11_0_7_57361_016,OverrideContentTuningID,MapChallengeModeID
2,泰達希爾,泰達希爾,1,0,3,258,0,0,1,0,141,0,4,0,0,0,0,0,0
3,西部荒野,西部荒野,1,0,2,258,0,0,0,0,40,0,4,0,0,0,0,0,0
4,圍攻奧格瑪(普通),普通,3,0,1,35,0,0,1136,14,0,30,0,0,0,0,0,0,0
6,競技場(2v2),2v2,4,0,0,36,0,78463,0,0,0,2,2,0,0,0,0,0,0
7,競技場(3v3),3v3,4,1,0,36,0,78463,0,0,0,3,2,0,0,0,0,0,0
9,熔火之心,熔火之心,3,-1,0,34,0,0,409,9,0,40,0,0,0,0,0,0,0
14,競技場練習戰(2v2),2v2,7,0,0,36,0,86427,0,0,0,2,2,0,0,0,0,0,0
15,戰場,戰場,8,0,0,36,0,86429,0,0,0,5,1,0,0,0,0,0,0
16,自訂PvE,自訂,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
17,自訂PvP,自訂PvP,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
18,死亡礦坑(普通),普通,2,0,5,98,0,0,36,1,0,5,1,0,0,0,0,0,0
19,積分戰場,積分戰場,9,0,0,36,0,78463,0,0,0,0,0,0,0,0,0,0,0
21,血槌熔渣礦場(普通),普通,2,1,6,99,0,0,1175,1,0,5,1,0,0,0,0,0,0
22,鋼鐵碼頭(普通),普通,2,1,7,99,50,87337,1195,1,0,5,1,0,0,0,0,0,0
23,奧齊頓(普通),普通,2,1,8,99,0,0,1182,1,0,5,1,0,0,0,0,0,0
24,擎天峰(普通),普通,2,1,9,99,0,0,1209,1,0,5,1,0,0,0,0,0,0
25,恐軌車站(普通),普通,2,1,10,99,0,87337,1208,1,0,5,1,0,0,0,0,0,0
26,永茂林(普通),普通,2,1,11,99,0,0,1279,1,0,5,1,0,0,0,0,0,0
27,影月墓地(普通),普通,2,1,12,99,0,0,1176,1,0,5,1,0,0,0,0,0,0
28,黑石塔上層(普通),普通,2,1,13,99,0,0,1358,1,0,5,1,0,0,0,0,0,0
29,血槌熔渣礦場(英雄),英雄,2,2,6,99,0,0,1175,2,0,5,1,0,0,0,0,0,0
30,鋼鐵碼頭(英雄),英雄,2,2,7,99,50,87337,1195,2,0,5,1,0,0,0,0,0,0
31,奧齊頓(英雄),英雄,2,2,8,99,0,0,1182,2,0,5,1,0,0,0,0,0,0
32,擎天峰(英雄),英雄,2,2,9,99,0,0,1209,2,0,5,1,0,0,0,0,0,0
33,恐軌車站(英雄),英雄,2,2,10,99,0,87337,1208,2,0,5,1,0,0,0,0,0,0
34,永茂林(英雄),英雄,2,2,11,99,0,0,1279,2,0,5,1,0,0,0,0,0,0
35,影月墓地(英雄),英雄,2,2,12,99,0,0,1176,2,0,5,1,0,0,0,0,0,0
36,黑石塔上層(英雄),英雄,2,2,13,99,0,0,1358,2,0,5,1,0,0,0,0,0,0
37,天槌(普通),普通,3,0,14,35,0,27290,1228,14,0,30,0,0,0,0,0,0,0
38,天槌(英雄),英雄,3,0,14,35,0,27291,1228,15,0,30,0,0,0,0,0,0,0
39,黑石鑄造場(普通),普通,3,0,15,35,0,27806,1205,14,0,30,0,0,0,0,0,0,0
40,黑石鑄造場(英雄),英雄,3,0,15,35,0,27807,1205,15,0,30,0,0,0,0,0,0,0
41,圍攻奧格瑪(英雄),英雄,3,0,1,35,0,0,1136,15,0,30,0,0,0,0,0,0,0
42,圍攻奧格瑪(傳奇),傳奇,3,0,1,35,0,0,1136,16,0,20,0,0,0,0,0,0,0
43,納克薩瑪斯(10人),10人,3,0,16,35,0,0,533,3,0,10,0,0,0,0,0,0,0
44,納克薩瑪斯(25人),25人,3,0,16,35,0,0,533,4,0,25,0,0,0,0,0,0,0
45,卡拉贊,卡拉贊,3,0,0,35,0,0,532,3,0,10,0,0,0,0,0,0,0
46,冰冠城塞(普通10人),普通10人,3,0,17,547,0,0,631,3,0,10,0,0,0,0,0,0,0
47,冰冠城塞(英雄10人),英雄10人,3,0,17,547,0,0,631,5,0,10,0,0,0,0,0,0,0
48,冰冠城塞(普通25人),普通25人,3,0,17,547,0,0,631,4,0,25,0,0,0,0,0,0,0
49,冰冠城塞(英雄25人),英雄25人,3,0,17,547,0,0,631,6,0,25,0,0,0,0,0,0,0
50,哀嚎洞穴(普通),哀嚎洞穴,2,0,0,98,0,0,43,1,0,5,1,0,0,0,0,0,0
51,通靈學院(普通),普通,2,0,18,98,0,0,1007,1,0,5,1,0,0,0,0,0,0
52,怒焰裂谷(普通),怒焰裂谷,2,0,0,98,0,0,389,1,0,5,1,0,0,0,0,0,0
53,影牙城堡(普通),普通,2,0,19,98,0,0,33,1,0,5,1,0,0,0,0,0,0
54,黑澗深淵(普通),黑澗深淵,2,0,0,98,0,0,48,1,0,5,1,0,0,0,0,0,0
55,暴風城監獄(普通),暴風城監獄,2,0,0,98,0,0,34,1,0,5,1,0,0,0,0,0,0
56,諾姆瑞根(普通),諾姆瑞根,2,0,0,98,0,0,90,1,0,5,1,0,0,0,0,0,0
57,剃刀沼澤(普通),剃刀沼澤,2,0,0,98,0,0,47,1,0,5,1,0,0,0,0,0,0
58,剃刀高地(普通),剃刀高地,2,0,0,98,0,0,129,1,0,5,1,0,0,0,0,0,0
59,奧達曼(普通),奧達曼,2,0,0,98,0,0,70,1,0,5,1,0,0,0,0,0,0
60,祖爾法拉克(普通),祖爾法拉克,2,0,0,98,0,0,209,1,0,5,1,0,0,0,0,0,0
61,瑪拉頓(普通),瑪拉頓,2,0,0,98,0,0,349,1,0,5,1,0,0,0,0,0,0
62,沉沒的神廟(普通),沉沒的神廟,2,0,0,98,0,0,109,1,0,5,1,0,0,0,0,0,0
63,黑石深淵(普通),黑石深淵,2,0,0,98,0,0,230,1,0,5,1,0,0,0,0,0,0
64,黑石塔下層(普通),黑石塔下層,2,0,0,98,0,0,229,1,0,5,1,0,0,0,0,0,0
65,厄運之槌(普通),厄運之槌,2,0,0,98,0,0,429,1,0,5,1,0,0,0,0,0,0
66,斯坦索姆(普通),斯坦索姆,2,0,0,98,0,0,329,1,0,5,1,0,0,0,0,0,0
67,地獄火壁壘(普通),普通,2,0,20,98,0,0,543,1,0,5,1,0,0,0,0,0,0
68,血熔爐(普通),普通,2,0,21,98,0,0,542,1,0,5,1,0,0,0,0,0,0
69,破碎大廳(普通),普通,2,0,22,98,0,0,540,1,0,5,1,0,0,0,0,0,0
70,奴隸監獄(普通),普通,2,0,23,98,0,0,547,1,0,5,1,0,0,0,0,0,0
