Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction,Field_11_1_5_59735_010
高階審問者格斯塔恩,227,230,1,0,4625,0,4,0,-1,0
洛考爾領主,228,230,1,1000,4626,1,4,0,-1,0
馴犬者格雷布瑪爾,229,230,1,2000,4627,2,4,0,-1,0
秩序競技場,230,230,1,3000,4628,3,4,0,-1,0
火占師羅格雷恩,231,230,1,4000,4629,4,4,0,-1,0
伊森迪奧斯領主,232,230,1,5000,4630,5,4,0,-1,0
守衛斯迪爾基斯,233,230,1,6000,4633,6,4,0,-1,0
弗諾斯‧達克維爾,234,230,1,7000,4634,7,4,0,-1,0
貝爾加,235,230,1,8000,4635,8,4,0,-1,0
安格弗將軍,236,230,1,9000,4636,9,4,0,-1,0
魔像領主阿格曼奇,237,230,1,10000,4637,10,4,0,-1,0
霍爾雷‧黑息,238,230,1,11000,4638,11,4,0,-1,0
法拉克斯,239,230,1,12000,4639,12,4,0,-1,0
雷布里‧斯庫比格特,240,230,1,13000,4640,13,4,0,-1,0
普拉格‧史帕齊林,241,230,1,14000,4641,14,4,0,-1,0
弗萊拉斯大使,242,230,1,15000,4642,15,4,0,-1,0
七賢,243,230,1,16000,4643,16,4,0,-1,0
瑪格姆斯,244,230,1,17000,4644,17,4,0,-1,0
達格蘭‧索瑞森大帝,245,230,1,18000,4645,18,4,0,-1,0
約兒,250,557,2,1500,4607,3,4,0,-1,0
歐莫克大王,267,229,1,0,4646,0,4,0,-1,0
暗影獵手沃許加斯,268,229,1,1000,4647,1,4,0,-1,0
將領沃恩,269,229,1,2000,4648,2,4,0,-1,0
煙網蛛后,270,229,1,3000,4649,3,4,0,-1,0
烏洛克‧末日嚎,271,229,1,4000,4650,4,4,0,-1,0
軍需官茲格雷斯,272,229,1,5000,4651,5,4,0,-1,0
『奴役者』基茲盧爾,273,229,1,6000,4652,6,4,0,-1,0
哈雷肯,274,229,1,5500,4653,7,4,0,-1,0
維姆薩拉克主宰,275,229,1,8000,4654,8,4,0,-1,0
瑟雷姆‧刺蹄,343,429,0,0,4669,0,4,0,-1,0
海多斯博恩,344,429,0,-500,4670,1,4,0,-1,0
蕾瑟塔蒂絲,345,429,0,-1000,4671,2,4,0,-1,0
『狂野變形者』奧茲恩,346,429,0,3000,4672,3,4,0,-1,0
伊琳娜‧鴉橡,347,429,0,4000,4676,4,4,0,-1,0
博學者卡雷迪斯,348,429,0,5000,4675,5,4,0,-1,0
伊莫塔爾,349,429,0,6000,4676,6,4,0,-1,0
特迪斯‧扭木,350,429,0,3500,4673,7,4,0,-1,0
托塞德林王子,361,429,0,7000,4677,8,4,0,-1,0
衛兵摩爾達,362,429,1,8000,4678,9,4,0,-1,0
踐踏者克雷格,363,429,1,9000,4679,10,4,0,-1,0
守衛芬古斯,364,429,1,10000,4680,11,4,0,-1,0
衛兵斯里基克,365,429,1,11000,4681,12,4,0,-1,0
隊長克羅卡斯,366,429,1,12000,4682,13,4,0,-1,0
『觀察者』克魯什,367,429,1,13000,4683,14,4,0,-1,0
戈多克大王,368,429,1,14000,1544,15,4,0,-1,0
黏性輻射塵,378,90,1,2500,4693,1,4,0,-1,0
格魯比斯,379,90,1,2000,4694,2,4,0,-1,0
電刑器6000型,380,90,1,3000,4695,3,4,0,-1,0
群體打擊者9-60,381,90,1,4000,4696,4,4,0,-1,0
機電師瑟瑪普拉格,382,90,1,5000,4697,5,4,0,-1,0
諾克賽恩,422,349,1,0,4703,0,4,0,-1,0
銳刺鞭笞者,423,349,1,1000,4704,1,4,0,-1,0
維利塔恩領主,424,349,1,2000,4705,2,4,0,-1,0
被詛咒的塞雷布拉斯,425,349,1,3000,4706,3,4,0,-1,0
