ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,強力踐踏,瑟隆葛斯用他的腳重踏地面，促使格瑞姆巴托的牆壁土崩石塌。瑟隆葛斯裝備有盾牌時不會使用強力踐踏。,132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,土崩石塌,在瑟隆葛斯使用強力踐踏削弱了格瑞姆巴托的牆壁後，大量石塊開始落在隨機一名玩家半徑$74986A1範圍內的區域中。繼續站在該區域裡面的玩家每秒會受到$74986s1點物理傷害。,132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,挑選武器,瑟隆葛斯擁有幾種令人畏懼的武器。在戰鬥期間，他會不時隨機選用巨大的盾牌、雙劍，或是制裁之錘。所選用的武器會在短時間內賦予他新的能力。,132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,盾牌技能,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,個人方陣兵,瑟隆葛斯每隔10秒就將他的盾牌隨機指向一名玩家。盾牌前方的玩家對瑟隆葛斯所造成的傷害降低$74909s1%。,132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,燃焰之箭,瑟隆葛斯裝備盾牌的時候，弓箭手會針對隨機玩家，不斷從高處的窗戶發射火箭。每支火箭都會造成$74944s1點火焰傷害。,132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,燃焰之盾,60度角的錐形火焰從瑟隆葛斯的盾牌向前噴發，每秒對任何遭火焰吞沒的敵對目標造成$90830s1點火焰傷害。,132,7,819,0,0,2,0,0,0,134982,2,8,14
823,劍類技能,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,雙刃攻擊,瑟隆葛斯雙手各持一柄火焰之劍，並獲得同時使用兩柄武器攻擊的能力。在這段時間裡，他的近戰傷害將降低$74981s3%。,132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,痛擊,瑟隆葛斯揮劍時偶爾會發動額外的兩次攻擊。,132,10,823,0,826,2,0,0,0,132152,0,0,-1
826,掠魂咆哮,"瑟隆葛斯發出巨大的怒吼，讓玩家的攻擊與施法速度降低$74976s1%。玩家可以藉由施法或使用技能來移除這項效果。$[!2,4

在英雄難度中，掠魂咆哮會讓玩家的攻擊與施法速度降低150%，玩家每次施法或使用技能都能使掠魂咆哮的負面效果降低$74976s1%。$]",132,11,823,0,827,2,0,0,0,132352,0,0,-1
827,燃燒烈焰,瑟隆葛斯近戰攻擊的目標會因灼熱的劍刃而起火燃燒，每$90764t1秒造成$90764s1點火焰傷害，持續$90764d。這項效果會堆疊，但驅散一次即可移除所有的堆疊效果。,132,12,823,0,0,2,0,0,0,135822,2,140,14
828,錘類技能,,132,13,0,829,0,0,0,0,0,0,1,0,-1
829,負重,瑟隆葛斯所持大錘的驚人重量讓他的移動速度降低$75007s2%，但使他的近戰攻擊傷害提高$75007s1%。,132,14,828,0,830,2,0,0,0,133490,0,1,-1
830,刺穿猛擊,瑟隆葛斯跳向隨機目標，將該目標刺穿在他的錘上，造成每$75056t3秒$75056s3點的物理傷害，持續$75056d。,132,15,828,0,831,2,0,0,0,133490,0,0,-1
