ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s贊同%s的觀點。,0,1
2,%s認同你的觀點。,1,1
3,你贊同%s的觀點。,2,1
4,%s表示認同。,4,1
5,你表示認同。,6,1
6,%s讓%s感到很驚奇!,0,2
7,你讓%s感到很驚奇!,1,2
8,%s讓你感到很驚奇!,2,2
9,%s感到很驚奇!,4,2
10,你感到很驚奇!,6,2
11,%s向%s憤怒地揮起拳頭。,0,3
12,%s向你憤怒地揮起拳頭。,1,3
13,你向%s憤怒地揮起拳頭。,2,3
14,%s憤怒地揮起拳頭。,4,3
15,你憤怒地揮起拳頭。,6,3
16,%s對%s憤怒地揮起拳頭。,8,3
17,%s對你憤怒地揮起拳頭。,9,3
18,%s憤怒地揮起拳頭。,12,3
19,%s向%s表示道歉。對不起！,0,4
20,%s向你表示道歉。對不起！,1,4
21,你向%s表示道歉。對不起！,2,4
22,%s向大家表示道歉。對不起！,4,4
23,你向大家表示道歉。對不起！,6,4
24,%s向%s大聲喝彩。真棒！,0,5
25,%s向你大聲喝彩。真棒！,1,5
26,你向%s大聲喝彩。太棒了！,2,5
27,%s大聲喝彩。真棒！,4,5
28,你大聲喝彩。太棒了！,6,5
29,%s太害羞了...根本沒有引起%s的注意。,0,6
30,%s太害羞了...無法引起你的注意。,1,6
31,你太害羞了...因而無法引起%s的注意。,2,6
32,%s非常害羞。,4,6
33,你非常害羞。,6,6
34,%s招手示意%s過來。,0,7
35,%s招手示意你過去。,1,7
36,你招手示意%s過來。,2,7
37,%s招手示意大家都過去。,4,7
38,你招手示意大家都過去。,6,7
39,%s向%s苦苦哀求。真可悲。,0,8
40,%s向你苦苦哀求。真可悲。,1,8
41,你向%s乞求。好可憐啊。,2,8
42,%s向周圍所有人苦苦哀求。真可悲。,4,8
43,你向你周遭的人乞求。好可憐啊。,6,8
44,%s向周圍所有人苦苦哀求。真可悲。,12,8
45,%s咬了%s一口。好痛！,0,9
46,%s咬了你一口。好痛！,1,9
47,你咬了%s一口。啊嗚！,2,9
48,%s四下張望，想找個人咬一口。,4,9
49,你四下張望，想找個人咬一口。,6,9
50,%s的傷口滲出了鮮血。,4,10
51,你的傷口滲出了鮮血。,6,10
52,%s對%s眨了眨眼。,0,11
53,%s對你眨了眨眼。,1,11
54,你對%s眨了眨眼。,2,11
55,%s眨了眨眼。,4,11
56,你眨了眨眼。,6,11
57,%s看著%s，滿臉通紅。,0,12
58,%s對著你臉紅了。,1,12
59,你對著%s臉紅了。,2,12
60,%s臉紅了。,4,12
61,你臉紅了。,6,12
62,%s敲了一下%s的腦袋。傻瓜！,0,13
63,%s敲了一下你的腦袋。傻瓜！,1,13
64,你重重敲了一下%s的腦袋，真笨呀！,2,13
65,%s敲了一下自己的腦袋。傻瓜！,4,13
66,你重重敲了一下自己的腦袋，真笨呀！,6,13
67,%s敲了一下自己的腦袋。傻瓜！,12,13
68,%s對%s感到十分厭煩。,0,14
69,%s對你感到十分厭煩。,1,14
70,你對%s感到十分厭煩。,2,14
71,"%s已經不厭其煩,這種苦差事!",4,14
72,你已經對這種苦差事不厭其煩了!,6,14
73,%s在%s面前上下跳躍。,0,15
74,%s在你面前上下跳躍。,1,15
75,你在%s面前上下跳躍。,2,15
76,%s正在上下跳躍。,4,15
77,你正在上下跳躍。,6,15
78,%s馬上就回來。%s，請先別擅自行動。,0,16
79,%s馬上就回來。請先別擅自行動。,1,16
80,你告訴%s你會馬上回來。,2,16
81,%s馬上就回來。,4,16
82,你告訴大家你馬上就回來。,6,16
83,%s向%s鞠躬。,0,17
84,%s向你鞠躬。,1,17
85,你向%s鞠躬。,2,17
86,%s優雅的鞠了躬。,4,17
87,你優雅的鞠了躬。,6,17
91,%s打了個響亮的嗝。,4,18
92,你打了個響亮的嗝。,6,18
93,%s向%s揮手告別。再見！,0,19
94,%s向你揮手告別。再見！,1,19
95,你向%s揮手告別。再見！,2,19
96,%s向大家揮手告別。再見！,4,19
97,你向大家揮手告別。再見！,6,19
98,%s對著%s咯咯的笑個不停。,0,20
99,%s對著你咯咯的笑個不停。,1,20
100,你對著%s咯咯的笑個不停。,2,20
101,%s見此情景咯咯地笑個不停。,4,20
102,你見此情景咯咯的笑個不停。,6,20
103,%s為%s而歡呼。,0,21
104,%s為你而歡呼。,1,21
105,你為%s歡呼。,2,21
106,%s大聲歡呼。,4,21
