Description_lang,ID,MapID
奪旗次數,42,489
還旗次數,44,489
佔領哨塔,61,30
佔領墓地,63,30
保衛哨塔,64,30
保衛墓地,65,30
次要目標,82,30
突襲基地,122,529
防禦基地,123,529
奪旗次數,183,566
城牆摧毀,215,571
建築摧毀,216,571
大門摧毀,231,607
石毀車摧毀,232,607
突襲基地,245,628
防禦基地,246,628
奪旗次數,290,726
還旗次數,291,726
突襲基地,370,761
防禦基地,371,761
突襲基地,391,968
防禦基地,392,968
奪旗次數,393,968
獲得異能球次數,418,998
勝利點數,419,998
奪旗次數,422,1010
還旗次數,423,1010
已控制的礦坑推車,428,727
佔領推車次數,457,1105
奪回推車次數,458,1105
突襲礦坑,459,1105
防禦礦坑,460,1105
得分,501,451
突襲基地,679,1681
防禦基地,680,1681
突襲基地,688,2177
防禦基地,690,2177
收集艾澤萊晶岩,744,1803
奪旗次數,762,1740
還旗次數,763,1740
收集食材,923,1691
突襲基地,926,2107
防禦基地,927,2107
奪旗次數,928,2106
還旗次數,929,2106
收集到的文物,931,1191
基地突襲成功,1001,2245
基地防禦成功,1002,2245
佔領哨塔,1003,2197
次要目標,1004,2197
保衛墓地,1005,2197
保衛哨塔,1006,2197
佔領墓地,1007,2197
獲勝回合次數,1008,1505
獲勝回合次數,1009,1672
獲勝回合次數,1010,1134
獲勝回合次數,1011,980
獲勝回合次數,1012,572
獲勝回合次數,1013,1911
獲勝回合次數,1014,1504
獲勝回合次數,1015,2509
獲勝回合次數,1016,2511
獲勝回合次數,1017,2547
獲勝回合次數,1018,2563
奪旗次數,1020,2656
已控制的礦坑推車,1021,2656
獲勝回合次數,1022,2759
