CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
斯寇德斯刑牢只是托迦司無數牢房其中一區。斯寇德斯典獄長擅長用野獸、鎖鏈與陷阱來折磨囚犯，並嚇阻膽敢入侵他領域的外來者。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,1,26048,5352
,,2,26191,5336
,,3,26192,5336
在碎骨之牢中，來自暗影之境其它領域的囚犯受到無止境的折磨。他們全身骨頭一而再、再而三地被打碎又癒合。釋放這些靈魂，讓他們得以復仇。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,4,26375,5354
寒心之間是淵誓琪瑞安的巢穴，懸浮在托迦司區域之間的高聳尖塔上。他們從空中突襲，將愚蠢的入侵者拋下黑暗深淵。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,5,26377,5355
一如蒙特雷加變幻莫測的奇異地形，被困在這裡的扭曲靈魂也忘記自己的身份。閻獄之主手下的死靈部隊在此對靈魂進行實驗，將其變形成恐怖的黑暗怪物。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,6,26378,5353
牢塔上層是閻獄之主最忠實的僕從所待的領域。精銳的淵誓部隊和他們的汎希爾在大廳中巡邏，為主人擔任最強力的防禦部隊。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,7,26379,5357
扭曲迴廊正如其名，蜿蜒離奇地遍布在整個托迦司的無數牢房中，由閻獄之主形形色色的爪牙所看守。那些勇於深入18層塔樓的人，鮮少能安然回來。,已獲得獎勵,8,26380,5358
悲慘的靈魂被帶去熔魂工坊，熔入武器與護甲，供閻獄之主的軍隊所使用。當心迴廊廳堂裡不斷燃燒的熊熊烈火。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,9,26376,5356
斯寇德斯刑牢只是托迦司無數牢房其中一區。斯寇德斯典獄長擅長用野獸、鎖鏈與陷阱來折磨囚犯，並嚇阻膽敢入侵他領域的外來者。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,10,26655,5352
在碎骨之牢中，來自暗影之境其它領域的囚犯受到無止境的折磨。他們全身骨頭一而再、再而三地被打碎又癒合。釋放這些靈魂，讓他們得以復仇。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,11,26656,5354
悲慘的靈魂被帶去熔魂工坊，熔入武器與護甲，供閻獄之主的軍隊所使用。當心迴廊廳堂裡不斷燃燒的熊熊烈火。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,12,26657,5356
寒心之間是淵誓琪瑞安的巢穴，懸浮在托迦司區域之間的高聳尖塔上。他們從空中突襲，將愚蠢的入侵者拋下黑暗深淵。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,13,26658,5355
一如蒙特雷加變幻莫測的奇異地形，被困在這裡的扭曲靈魂也忘記自己的身份。閻獄之主手下的死靈部隊在此對靈魂進行實驗，將其變形成恐怖的黑暗怪物。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,14,26659,5353
牢塔上層是閻獄之主最忠實的僕從所待的領域。精銳的淵誓部隊和他們的汎希爾在大廳中巡邏，為主人擔任最強力的防禦部隊。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,15,26660,5357
扭曲迴廊正如其名，蜿蜒離奇地遍布在整個托迦司的無數牢房中，由閻獄之主形形色色的爪牙所看守。那些勇於深入18層塔樓的人，鮮少能安然回來。|n|n不受萬應寶盒影響。,已獲得獎勵,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
根據近期研究發現，閻獄之主會把某些他最討厭的囚犯關在不滅寶庫。,已獲得獎勵：再次完成這個區域會給予少量的靈魂灰燼,46,26812,5354
在托迦司的8個樓層對抗各區的怪物和首領。爬得越高，挑戰難度越高。|n|n建議你找朋友一起組隊。|n|n不受萬應寶盒影響。,已獲得獎勵,47,27436,5358
在托迦司的8個樓層對抗各區的怪物和首領。爬得越高，挑戰難度越高。|n|n建議你找朋友一起組隊。|n|n不受萬應寶盒影響。,已獲得獎勵,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
