ID,Display_lang,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags[0],Flags[1],Flags[2],Flags[3],Flags[4],AllowableRaces[0],AllowableRaces[1]
25,破損的短劍,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
35,彎曲法杖,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
36,用舊的釘錘,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
37,破損的斧頭,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
38,新兵襯衣,2,0,0,0,-1,0,0,0,0,1,36864,8192,8388608,0,0,-1,-1
39,新兵束褲,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
40,新兵的靴子,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
43,侍從的靴子,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
44,侍從束褲,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
45,侍從襯衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
47,盜賊輕鞋,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
48,盜賊束褲,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
49,盜賊襯衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
51,見習牧師長靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
52,見習牧師束褲,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
53,見習牧師襯衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
55,學徒長靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
56,學徒長袍,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
57,侍僧長袍,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
59,侍僧輕鞋,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
60,夾層外套,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
61,矮人皮甲束褲,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
79,矮人布質馬褲,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
80,柔軟的毛邊輕鞋,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
85,骯髒的皮外衣,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
120,刺客束褲,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
121,刺客長靴,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
127,陷捕者襯衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
129,粗厚陷捕者的靴子,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
139,打鬥者束褲,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
140,打鬥者靴子,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
147,粗厚陷捕者束褲,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
148,粗厚陷捕者襯衣,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
153,粗糙的褶裙,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
154,粗糙的披肩,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
193,破布外衣,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
194,破布束褲,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
195,破布長靴,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
200,粗布外衣,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
201,粗布束褲,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
202,粗布輕鞋,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
203,粗布手套,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
209,骯髒的皮褲,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
210,骯髒的皮靴,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
236,硬皮甲,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
237,硬皮束褲,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
238,硬皮長靴,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
239,硬皮手套,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
285,鱗甲外衣,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
286,鱗甲束褲,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
287,鱗甲長靴,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
647,命運,4,0,0,0,-1,22,0,0,0,28,0,8192,0,0,0,-1,-1
710,人民軍護腕,1,0,0,0,-1,0,0,0,0,7,0,8192,8388608,0,0,-1,-1
711,破布手套,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
714,骯髒的皮手套,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
718,鱗甲手套,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
719,馴兔手套,1,0,0,0,-1,0,0,0,0,1,0,8192,8388608,0,0,-1,-1
720,打鬥手套,3,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
727,凹槽短劍,2,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
753,龍喉短劍,2,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
754,復仇短劍,3,0,0,0,-1,18,0,0,0,25,0,8192,0,0,0,-1,-1
756,黑鐵鎬,2,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
763,冰覆護腕,1,0,0,0,-1,3,0,0,0,6,0,8192,0,0,0,-1,-1
766,凸緣釘錘,1,0,0,0,-1,2,0,0,0,3,0,8192,0,0,0,-1,-1
767,長杆法杖,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
768,伐木斧,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
776,仇殺,3,0,0,0,-1,13,0,0,0,20,524288,8192,0,0,0,-1,-1
778,狗頭人的鎬頭,1,0,0,0,-1,2,0,0,0,3,0,8192,0,0,0,-1,-1
781,豺狼人石錘,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
789,牢固的鬥錘,2,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
790,森林戰斧,2,0,0,0,-1,9,0,0,0,14,0,8192,0,0,0,-1,-1
791,灰燼法杖,3,0,0,0,-1,12,0,0,0,19,0,8192,0,0,0,-1,-1
792,編織便鞋,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
793,編織手套,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
794,編織束褲,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
795,編織外套,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
796,劣質皮靴,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
797,劣質皮手套,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
798,劣質皮褲,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
799,劣質皮外衣,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
