ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
1,狼,0.7,1,1,50,1,0,23,132203,208,270
2,大貓,0.7,1,1.1,50,3,0,5,132185,209,270
3,蜘蛛,0.4,1,0.6,50,1,0,17,132196,203,270
4,熊,0.6,1,1,50,63,1,1,132183,210,270
5,野豬,0.6,1,1,50,63,2,3,132184,211,270
6,鱷魚,0.4,1,0.6,50,3,0,7,132187,212,270
7,食腐鳥,0.5,1,0.9,50,3,0,4,132200,213,270
8,螃蟹,0.7,1,1.4,50,58,1,6,132186,214,270
9,猩猩,0.7,1,1,50,56,0,9,132189,215,270
11,迅猛龍,0.5,1,0.8,50,1,2,13,132193,217,270
12,陸行鳥,0.5,1,0.8,50,60,0,19,132198,218,270
15,惡魔獵犬,0,0,0.7,1,0,-1,0,0,189,0
16,虛無行者,0,0,0.8,1,0,-1,41,0,204,0
17,魅魔,0,0,1,1,0,-1,41,0,205,0
19,末日守衛,0,0,1,1,0,-1,41,0,207,0
20,蠍子,0.7,1,1,50,1,0,15,132195,236,270
21,海龜,0.5,1,0.72,50,58,1,20,132199,251,270
23,小鬼,0,0,0.5,1,0,-1,41,0,188,0
24,蝙蝠,0.4,1,0.63,50,49,0,0,132182,653,270
25,土狼,0.7,1,0.9,50,1,2,10,132190,654,270
26,猛禽,0.5,1,0.8,50,3,2,2,132192,655,270
27,風蛇,0.5,1,0.7,50,14,0,22,132202,656,270
28,遙控,0.9,1,1,60,0,-1,0,0,758,0
29,惡魔守衛,0.89,0,0.9,1,0,-1,41,0,761,0
30,龍鷹,0.35,1,0.65,50,35,1,8,132188,763,270
31,劫毀者,0.45,1,0.65,50,1,0,14,132194,767,270
32,扭曲巡者,0.45,1,0.6,50,34,2,21,132201,766,270
33,孢子蝙蝠,0.6,1,0.9,50,60,2,18,132197,765,270
34,魟魚,0.35,1,0.55,50,17,0,12,132191,764,270
35,毒蛇,0.6,1,0.8,50,1,2,16,136040,768,270
37,蛾,0.35,1,0.65,50,60,2,11,236193,775,270
38,奇美拉,0.5,1,0.63,50,1,0,24,236190,780,270
39,魔暴龍,0.3,1,0.5,50,1,0,25,236192,781,270
40,食屍鬼,1,1,1.01,80,0,-1,26,132097,782,0
41,亞基蟲,0.6,1,0.8,50,17,2,63,236195,783,270
42,蟲,0.7,1,1,50,28,1,62,236197,784,270
43,裂蹄,0.35,1,0.56,50,60,0,61,1044794,786,270
44,黃蜂,0.4,1,0.6,50,60,0,60,236196,785,270
45,熔核犬,0.3,1,0.5,50,1,0,59,236191,787,270
46,靈獸,0.7,1,1.1,50,3,1,58,236165,788,270
49,水元素,0.8,1,0.81,60,0,-1,0,0,805,0
50,狐狸,0.6,1,0.9,50,35,2,27,458223,808,270
51,猴子,0.3,1,0.5,50,48,2,28,877482,815,270
52,犬類,0.6,1,0.8,50,63,2,29,877481,811,270
53,甲蟲,0.5,1,0.7,50,48,1,30,133570,818,270
55,岩獸,1,1,1.45,50,195,2,57,877478,817,270
56,殭屍,0.8,1,1,80,0,-1,56,298667,236,0
57,<< QA TEST FAMILY >>,1,1,1.25,60,48,-1,36,134936,818,270
68,多頭蛇,0.5,0,0.63,50,195,1,55,463493,824,270
100,魔化小鬼,0,0,0.6,1,0,-1,41,0,188,0
101,虛無領主,0,0,0.9,1,0,-1,41,0,204,0
102,希瓦拉,0,0,0.65,1,0,-1,41,0,205,0
103,觀察者,0,0,0.225,1,0,-1,41,0,189,0
104,憤怒守衛,0,0,0.85,1,0,-1,41,0,761,0
108,煉獄火,0,0,0.3,1,0,-1,41,0,206,0
116,火元素,1,1,1.01,60,0,-1,48,135790,962,0
117,土元素,1,1,1.01,60,0,-1,48,136024,963,0
125,水鳥,0.2,1,0.7,50,138,1,49,877479,984,270
126,水黽,0.3,1,0.5,50,48,2,50,643423,985,270
127,齧齒類,0.6,1,1,50,16,2,51,644001,983,270
128,岩石犬,0.7,1,1.1,50,195,1,5,625905,986,270
129,粗角山羊,0.5,1,0.8,50,255,2,52,877477,987,270
130,蜥蜴,0.4,1,0.6,50,3,2,53,877476,988,270
138,恐角龍,0.4,1,0.6,50,48,1,54,877480,1305,270
145,風暴元素,1,1,1.01,60,0,-1,48,236154,1748,0
147,恐懼護衛,0.64,1,1,60,0,-1,41,0,1981,0
