ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝，女王法庭或艾薩拉女王,,2,1,293019,294668,293019,294668
6,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝，女王法庭或艾薩拉女王,,2,2,294653,294687,298080,298082
7,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝、女王法庭或艾薩拉女王,,2,3,294650,294688,298081,298083
8,永恆宮殿團隊副本|n|cFFFFD200掉落：|r艾薩拉女王 - 傳奇,,2,4,294655,294689,298081,298083
9,戰場|n|cFFFFD200任務：|r「戰場衝鋒」|n|cFFFFD200回報NPC：|r賈伯里元帥|n|cFFFFD200地點：|r波拉勒斯的艾胥凡碼頭,戰場|n|cFFFFD200任務：|r「戰場衝鋒」|n|cFFFFD200回報NPC：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,3,1,293031,294910,293031,294910
10,戰場|n|cFFFFD200成就：|r「戰場尖兵」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯|n|cFFFFD200費用：|r25個榮譽獎章,戰場|n|cFFFFD200成就：|r「戰場尖兵」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯|n|cFFFFD200費用：|r25個榮譽獎章,3,2,294906,294919,300009,300012
11,戰場|n|cFFFFD200成就：|r「戰場戰術師」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯|n|cFFFFD200費用：|r25個榮譽獎章,戰場|n|cFFFFD200成就：|r「戰場戰術師」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉|n|cFFFFD200費用：|r25個榮譽獎章,3,3,294907,294920,300010,300013
12,戰場|n|cFFFFD200成就：|r「戰場大師」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯,戰場|n|cFFFFD200成就：|r「戰場大師」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,3,4,294908,294922,300010,300013
13,海嶼遠征|n|cFFFFD200任務：|r「聯盟的艾澤萊晶岩」|n|cFFFFD200回報NPC：|r弗林‧晴風|n|cFFFFD200地點：|r波拉勒斯碼頭|n,海嶼遠征|n|cFFFFD200任務：|r「部落的艾澤萊晶岩」|n|cFFFFD200回報NPC：|r瑞卓昆船長|n|cFFFFD200地點：|r贊達拉港,4,1,295186,295078,295186,295078
14,海嶼遠征|n|cFFFFD200合成：|r贊姆蘭遺失的藏寶圖碎片|n|cFFFFD200掉落：|r海嶼遠征|n|cFFFFD200任務桌：|r「桑德斯船長失落的寶藏」|n|cFFFFD200地點：|r波拉勒斯碼頭,海嶼遠征|n|cFFFFD200合成：|r贊姆蘭遺失的藏寶圖碎片|n|cFFFFD200掉落：|r海嶼遠征|n|cFFFFD200任務桌：|r「桑德斯船長失落的寶藏」|n|cFFFFD200地點：|r贊達拉港,4,2,295209,295208,298628,298627
