ID,Name_lang,Description_lang,IconFileDataID,PetTypeEnum,Cooldown,BattlePetVisualID,Flags
7,亞歷山大之手,急衝向目標，造成傷害。,132109,2,0,0,0
70,Heal Back Line Test,為後排恢復50點生命力，但有2輪的冷卻時間。,135915,0,2,0,0
71,Damage Test,,135807,6,0,0,0
72,MultiEffect Test,,135817,0,0,0,0
73,Multi Turn Test,"撕咬目標，立即造成[StandardDamage(1,1)]點傷害，並且在下一輪造成[StandardDamage(2,1)]點傷害。

持續[numTurns()]|4輪:輪;。",0,1,0,0,0
74,MultiEffect and Multi Turn Test,,0,1,0,0,0
77,強力陷阱,嘗試捕捉生命力低於35%的寵物。你每次失敗會使捕捉成功的機率提高25%。,646380,0,0,0,6
78,Apply Timed Dot Test,,0,0,5,0,0
79,Aura Damage10 Test,,0,-1,0,0,0
80,Apply Aura Test,,237179,0,0,0,0
81,Aura Bomb 75 Test,,0,0,0,0,0
82,Apply Dot until cancel test,,0,6,0,0,0
83,Apply Pad Aura Test,,460858,2,0,0,0
84,PadAuraTest,,132325,-1,0,104,0
85,Apply Stun test,,135891,1,0,0,0
86,Stun Aura Test,asdfasdfasdf,135906,-1,0,103,0
87,Apply Swap Lock,,460694,9,0,0,0
88,交換鎖定光環,,132089,-1,0,0,0
97,昏迷射擊,,0,6,0,0,0
110,撕咬,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

撕咬敵人，造成[StandardDamage(1,1)]點[School()]傷害。",132127,7,0,0,0
111,拳擊,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

重擊敵人，造成[StandardDamage(1,1)]點[School()]傷害。",132298,0,0,0,0
112,啄擊,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

以尖銳的喙啄敵人，造成[StandardDamage(1,1)]點[School()]傷害。",133707,2,0,0,0
113,燃燒,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

以火焰衝擊敵人，造成[StandardDamage(1, 1)]點[School()]傷害。",132839,6,0,0,0
114,光束,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

以秘法能量光束衝擊敵人，造成[StandardDamage(1,1)]點[petTypeName(abilityPetType())]傷害。",135189,5,0,0,0
115,吐息,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

以龍之吐息壓制敵人，造成[StandardDamage(1, 1)]點[School()]傷害。",135807,1,0,0,0
116,電流衝擊,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

對目標發射一支電流箭，造成[StandardDamage(1,1)]點[School()]傷害。",136099,9,0,0,0
117,感染爪擊,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

以瘟疫之爪撕裂敵人，造成[StandardDamage(1, 1)]點[School()]傷害。",237390,3,0,0,0
118,噴水,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

噴水衝擊敵人，造成[StandardDamage(1,1)]點[petTypeName(abilityPetType())]傷害。",463570,8,0,0,0
119,抓傷,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

抓傷敵人，造成[StandardDamage(1,1)]點[School()]傷害。",611425,4,0,0,0
120,凜風衝擊,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

對敵人造成[StandardDamage(1,1)]點[School()]傷害。

如果目標處於|cFF0070DD冰凍|r，則造成[StandardDamage(1,4)]點額外傷害。",135833,6,3,0,0
121,死亡纏繞,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

造成[StandardDamage(1,1)]點不死傷害並恢復相當於使用者造成傷害量[points(1,3)]%的生命力。",136145,3,0,0,0
122,尾部掃擊,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

造成[StandardDamage(1,2)]點[School()]傷害。如果使用者比敵人慢，則造成[StandardDamage(1,1)]點[School()]傷害。",237407,1,0,0,0
123,治療波,"恢復使用者[StandardDamage(1,1)]點生命力。",136042,8,3,0,2
124,暴怒,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

進入暴怒狀態，造成[StandardDamage(1,1)]點[School()]傷害。

暴怒持續[numTurns()]輪。",132176,7,3,0,0
125,Stun Test 2.0,TEST: Patty Mac Stun,460857,3,0,0,0
131,Stun Aura Test 2.0,,0,-1,0,3,0
132,Custom Scripted Effect Test,,132090,0,0,0,0
133,Aura - Damage Shield 2.0,,0,-1,0,2,0
134,Damage Shield 2.0test,,0,0,0,0,0
135,原始陷阱,嘗試捕捉生命力低於35%的寵物。你每次失敗會使捕捉成功的機率提高30%。,638662,0,0,0,6
149,Heal Test 2.0,,538569,4,0,0,0
150,Custom Scripted Turn Test,,236216,4,0,0,0
151,毒牙,"每輪造成[StandardDamage(1,1)]點[School()]傷害。

|cFF1EFF00中毒。|r",136067,7,0,25,1
152,毒牙,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

立即造成[StandardDamage(1,1)]點[School()]傷害，並使目標|cFF1EFF00中毒|r，每輪造成[StandardDamage(1,1,379)]點額外[School(379)]傷害，持續[duration(1,2)]|4輪:輪;。",136067,7,0,0,0
153,攻擊力降低,"傷害降低[abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 153 ))]%。",653219,-1,0,334,3
154,速度降低,"速度降低[abs(abilityStateMod(25,154))]%。",653221,-1,0,316,3
155,嘶嘶聲,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

造成[StandardDamage(1,1)]點[School()]傷害，並使目標的速度降低[abs(abilityStateMod(25,154))]%，持續[duration(1,2)]|4輪:輪;。",132211,7,3,0,0
156,兇惡之牙,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

造成[StandardDamage(1,1)]點[School()]傷害。每次命中會使傷害提高[FormatDamage (pointsincreaseperuse(1,1)*AttackBonus())]點。最多提高[FormatDamage (pointsmax(1,1)*AttackBonus())]點[School()]傷害。",236177,7,0,0,0
157,Jacob's Test Ability,"目標身上[cond(unitHasAura(220, ENEMY), ""有"", ""沒有"")][abilityName(220)]效果。",132311,2,0,0,2
158,反制攻擊,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

造成[StandardDamage(1,1)]點[School()]傷害。

如果你此輪被命中，則造成[StandardDamage(1,2)]點額外[School()]傷害。",132269,0,2,0,0
159,鑽地,"[StandardAccuracy(2,1)]|cffffffff命中機率|r

鑽入地面，在一輪內無法被攻擊。

在下一輪你攻擊時造成[StandardDamage(2, 1)]點[School()]傷害。",136025,7,4,0,0
160,吞噬,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

造成[StandardDamage(1,1)]點[School()]傷害。

使用者會恢復相當於造成傷害[points(1,3)]%的生命力。",136214,3,1,0,0
161,激奮腺素,"速度提高[abs(abilityStateMod(25,161))]%。",648208,-1,0,113,2
162,能量刺激,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

造成[StandardDamage(1,1)]點[School()]傷害，並使你的速度提高[abs(abilityStateMod(25,161))]%，持續[duration(1,2)]|4輪:輪;。",132307,4,0,0,0
163,奔竄,"[StandardAccuracy(1,1)]|cffffffff命中機率|r

開始奔竄，第一回合造成[FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))]點[School()]傷害，第二回合造成[FormatDamage(SimpleDamage(2,1)+SimpleDamage(2,2)+SimpleDamage(2,3))]點[School()]傷害，第三回合造成[FormatDamage(SimpleDamage(3,1)+SimpleDamage(3,2)+SimpleDamage(3,3))]點[School()]傷害。

被奔竄命中的敵人受到的傷害提高[abs(abilityStateMod( 24, 542 ))]%，持續[duration(1,4)]回合。

奔竄會持續[numTurns()]回合。",134060,4,0,0,0
164,蜷伏,"你受到的傷害降低[abs(abilityStateMod(24,164))]%。",132118,-1,0,27,2
165,蜷伏,"使用者蜷伏在地上，使受到的所有傷害降低50%，持續[duration(1,2)]輪。",132118,4,4,0,2
166,堅果彈幕,"每輪對當前寵物造成[StandardDamage(1,1)]點[School()]傷害。",134057,4,0,0,0
