ID,Name_lang,LocaleMask,Create_charsetMask,Existing_charsetMask,Flags,Order
1,建構中,0,0,0,0,-127
2,美國,0,1,1,0,0
3,大洋洲,0,1,1,0,0
4,拉丁美洲,0,1,1,0,0
5,全球爭霸戰,0,1,1,1,50
6,韓國,0,10,10,0,0
7,全球爭霸戰,0,10,10,1,50
8,英國,3277,1,1,0,0
9,德國,3277,1,1,0,0
10,法國,3277,1,1,0,0
11,西班牙,3277,1,1,0,0
12,俄羅斯,256,4,4,0,0
13,全球爭霸戰,0,1,1,1,50
14,台灣,0,17,17,0,-127
15,全球爭霸戰,0,17,17,1,50
16,中國,0,17,17,0,0
17,CN1,0,17,17,0,0
18,CN2,0,17,17,0,0
19,CN3,0,17,17,0,0
20,CN4,0,17,17,0,0
21,CN5,0,17,17,0,0
22,CN6,0,17,17,0,0
23,CN7,0,17,17,0,0
24,CN8,0,17,17,0,0
25,全球爭霸戰,0,17,17,1,50
26,Test Server,0,0,0,0,0
27,全球爭霸戰,0,0,0,1,50
28,QA Server,0,0,0,0,0
29,CN9,0,17,17,0,0
30,Test Server 2,0,0,0,0,0
31,CN10,0,17,17,0,0
32,CTC,0,17,17,0,0
33,CNC,0,17,17,0,0
34,CN1/4,0,17,17,0,0
35,CN2/6/9,0,17,17,0,0
36,CN3/7,0,17,17,0,0
37,CN5/8,0,17,17,0,0
38,俄羅斯全球爭霸戰,256,4,4,1,51
39,CN11,0,17,17,0,0
40,CN12,0,17,17,0,0
41,CN13,0,17,17,0,0
42,CN14,0,17,17,0,0
43,CN15,0,17,17,0,0
44,CN16,0,17,17,0,0
45,CN17,0,17,17,0,0
46,CN18,0,17,17,0,0
47,CN19,0,17,17,0,0
48,CN20,0,17,17,0,0
49,巴西,0,1,1,0,0
50,義大利,3277,1,1,0,0
51,Hyrule,0,0,0,0,0
52,QA2 Test,0,0,0,0,0
55,推薦伺服器,0,17,17,0,0
56,測試伺服器,0,1,1,0,80
58,Future Test,0,1,1,0,80
159,Regional Test,0,0,0,0,80
160,經典版,0,0,0,0,0
161,經典版,0,0,0,0,0
162,美西,0,1,1,0,-50
163,美東,0,1,1,0,-49
164,自動化,0,0,0,0,0
165,Era Test,0,0,0,0,0
166,經典時期,0,1,1,0,0
167,經典時期,3277,1,1,0,0
168,經典時期,0,10,10,0,0
169,經典時期,0,17,17,0,0
170,經典時期,0,17,17,0,0
171,季節性,0,1,1,0,-127
172,季節性,3277,1,1,0,-127
173,季節性,0,10,10,0,-127
174,季節性,0,17,17,0,-127
175,季節性,0,17,17,0,-127
179,測試複本,0,17,17,0,-127
180,全球,0,17,17,0,0
181,專家模式,0,0,0,0,0
182,季節性,0,0,0,0,0
183,Internal Dev,0,0,0,2,0
184,Dev 3,0,1,1,2,0
185,PS,0,1,1,2,0
186,Beta,0,0,0,0,0
187,NetEase測試,0,17,17,0,0
188,返回北裂境,0,1,1,2,0
189,遊戲進度,0,1,1,0,0
190,遊戲進度,3277,1,1,0,0
191,遊戲進度,0,10,10,0,0
192,遊戲進度,0,17,17,0,0
193,遊戲進度,0,17,17,0,0
194,週年慶,0,1,1,0,-127
195,週年慶,0,10,10,0,-127
196,週年慶,3277,1,1,0,-127
197,週年慶,0,17,17,0,-127
198,週年慶,0,17,17,0,-127
199,經典時期,0,17,17,0,0
201,經典時期,0,0,0,0,0
202,週年慶,0,0,0,0,0
