Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
達到10級。,10級,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
達到20級。,20級,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
達到30級。,30級,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
達到40級。,40級,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
在《暗影之境》資料片上線前達到50級。,50級(傳承),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
在《暗影之境》資料片上線前達到60級。,60級(傳承),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
在《暗影之境》資料片上線前達到70級。,70級(傳承),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
在《暗影之境》資料片上線前達到80級。,80級(傳承),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
收集15個不同的寵物。,一群寵物,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
徒手戰鬥技能提升至400點。,誰點了砂鍋大的拳頭?,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
連續五天，每天完成一個每日任務。,簡單的重複任務,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
完成2000個任務。,2000個任務完成,,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
完成下列的北風凍原故事情節。,凍原一點都不冷,,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
完成下列的凜風峽灣故事情節。,我玩遍了峽灣,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
完成下列的龍骨荒野故事情節。,龍骨荒野的魅力,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
