ID,Name_lang
1,Test Transmog Set Group
6,酷炫套裝
7,上層樓套裝
8,暗夜堡
9,第12季
10,雷霆王座
11,德拉諾第1季
12,德拉諾第2季
13,德拉諾第3季
14,第15季
15,第14季
16,第13季
17,第11季
18,第10季
19,第9季
20,第8季
21,第7季
22,第6季
23,第5季
24,第4季
25,第3季
26,第2季
27,第1季
28,地獄火堡壘
29,黑石鑄造場
30,圍攻奧格瑪
31,恐懼之心
32,巨龍之魂
33,火源之界
34,暮光堡壘
35,冰冠城塞
36,十字軍試煉
37,奧杜亞
38,納克薩瑪斯
39,黑暗神廟
40,毒蛇神殿洞穴
41,戈魯爾之巢
42,納克薩瑪斯
43,黑翼之巢
44,熔火之心
45,軍團第1季和第2季
46,軍團第3季和第4季
47,勇氣試煉
48,燃燒軍團入侵
49,軍團職業大廳
50,太陽之井高地
51,安其拉神廟
52,暗月馬戲團
53,暗月馬戲團
54,地獄火堡壘
56,薩格拉斯之墓
57,軍團第5、6、7季
58,潘達利亞地城挑戰
59,時間守護者
60,時尚大考驗
61,德拉諾陣營
62,安托洛斯，燃燒王座
63,三傑議會之座
64,同盟種族
165,風暴聖壇
166,奧迪爾
167,戰役賽季1和阿拉希戰爭前線
168,戰役賽季2和黑海岸戰爭前線
169,達薩亞洛之戰
171,鬥陣俱樂部
172,永恆宮殿
173,戰役賽季3
174,促銷：招兵買馬召集令
175,戰役賽季4
176,奈奧羅薩，甦醒之城
177,建構中
178,暗夜妖精
179,汎希爾
180,死靈領主
181,琪瑞安
182,暗影之境第1季
183,納撒亞城
184,林地守護者戰衣
185,志士戰衣
186,死靈法衣
187,廷衛裝束
188,審判官法衣
189,暗影之境第2季
190,統御聖所
191,暗影之境第3季
192,首創者聖塚
193,暗影之境第3和第4季
194,沃卓肯平民服飾
195,洪荒化身牢獄
198,貿易站
199,洪荒元素
200,半龍人戰裝
201,
202,巨牙海民戰裝
203,遠征裝備
204,泰坦守衛者法衣
205,半人馬戰衣
206,加拉登戰裝
207,巨龍崛起第1賽季
208,傳承護甲
209,活動：招兵買馬召集令(巨龍崛起)
210,扎拉萊克洞窟
211,『朧影實驗場』亞貝魯斯
212,巨龍崛起第2賽季
213,龍族凡人衣著
214,巨龍崛起第1和第2季
215,洞窟探索者裝備
216,卡林多杯
217,薩菲隆之禍
218,時間裂隙
219,時間裂隙
221,索芮朵蜜友誼等級
222,傳承護甲
223,時間裂隙和恆龍黎明
224,夢旅者附魔
225,『夢境希望』埃達希爾
226,巨龍崛起第3和第4季
227,競速杯
228,傳承護甲
229,驚懼領主戰衣
230,領空隊長戰衣
231,愛情女巫裝束
232,廢土漫遊者工具包
233,風暴飛騎裝束
234,祈倫托戰衣
235,外交官戰衣
236,鳳凰裹甲
237,觀察者之服
238,妖精之服
239,創先者裝束
240,毛衣
241,春日狂歡者系列
242,黑暗遊俠將軍裝備
243,潘達利亞之謎：地城
244,潘達利亞之謎：世界
246,堅定正義
247,強襲之王華服
249,鬥士的破舊護甲
250,吉爾尼斯戰衣
251,強襲之王華服
252,海盜裝
253,聖落之地阿拉希名望
254,榮譽議員的命令
255,製圖師的定位
256,工匠的天賦
257,辛勞者的制服
258,小販的飾品
259,庇護人的優雅
260,休閒穿著
261,教師的知識
262,偎鰭魚人連身裝
263,熱帶套裝
264,地底裝備
265,熱帶泳裝套裝
266,潛水者服裝
267,聖落之地裝備
268,達拉然防衛者
269,土靈戰衣
270,土靈武器
271,地心之戰第1季
272,傳承護甲
273,奈幽巴宮殿
275,聖落之地任務
276,散布光芒
277,探究裝備
278,麥田魔像
279,多恩防禦者武裝
280,阿爾加鎖子甲
281,地心通途戰衣
282,甦醒之線
