ID,FeatureDescription_lang,FeatureIcon,ParentID
1,掌握新的惡魔獵人職業,1260827,2
2,在破碎群島奮戰升級到110級,1064187,2
4,參與上千種全新的任務！,236669,5
5,體驗至100級的史詩故事情節,1033987,5
6,擁有專屬於你的個人要塞,1033989,5
7,參與上千種全新的任務！,236669,4
8,一路戰鬥升到80級,1033586,4
9,解鎖九部資料片，包括《地心之戰》,1064187,4
10,招募同盟種族,413576,6
11,在庫爾提拉斯和贊達拉奮戰升級到120級,1064187,6
12,角色直升110級,1033988,6
116,在暗影之境奮戰升級到60級,236567,115
117,加入誓盟掌握獨特力量,3726261,115
118,登上『譴罪之塔』托迦司,3257863,115
122,在巨龍群島奮戰到70級,1064187,135
123,精通全新職業半龍人喚能師,4696175,135
124,體驗飛龍騎術的樂趣,4640496,135
125,展開世界之魂戰記冒險,1064187,143
126,戰鬥至80級，獲得強大的新英雄天賦,135981,143
127,與你的NPC夥伴探索探究,1786405,143
131,繼續《世界之魂戰記》的故事,1778229,149
132,探索並征服全新探究、地城與團隊副本,6025441,149
133,取得你的家園，收集各種裝飾並布置出獨屬於己的特色,7252953,149
