ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,《暗影之境》前夕全新內容！,等級重新調整,體驗更流暢的遊戲感受，並且升級到新的上限50級！,角色自訂,前往美容沙龍，體驗全新的人物外觀。,死亡崛起,探索新的職業技能，準備迎戰來襲的黑暗勢力。,60113,60115,0,5364,0,0,87298,119
20,《暗影之境》全新內容！,誓盟,由四個誓盟當中選擇你效忠的對象，獲得嶄新的能力。,角色自訂,前往美容沙龍，體驗全新的人物外觀。,暗影之境,探索亡者的世界，揭開死亡的神秘面紗。,60545,61874,0,5365,0,0,87299,120
40,《統御之鏈》全新登場！,科西亞召集令,在重現於世的玄秘之城中擊退閻獄之主的部隊。,托迦司更新,透過全新的升級系統邁向新的高峰。,亞登曠野之戰,保護永恆森林不被女妖之王入侵！,63576,63576,0,5403,0,0,92337,154
41,,塔札維許,在帷幕市集阻止一場事關無價寶物的仲介者大劫案！,第2季開始,更新地城與PvP獎勵，以及全新的傳奇鑰石強化：磨難,統御聖所,關鍵時刻終於來臨。進攻閻獄之主的大本營，與希瓦娜斯‧風行者決一死戰！,0,0,1,5404,0,0,92337,123
42,9.1.5版本全新內容！,時光漫遊：軍臨天下,挑戰傳奇鑰石難度的《軍臨天下》地城和法師塔。,升級系統升級！,改善分身角色等級、聲望、和裝備的追趕機制！,誓盟更新,達到最高聲望可隨意變更誓盟。,0,0,0,5416,0,0,92337,176
43,永恆之盡新內容！,首創者暗語,學習自主機的語言、解鎖強大的獎勵。,閻獄之主的試煉,在8個樓層與來自托迦司各個區域最危險的敵人戰鬥。,澤瑞斯莫提斯,在首創者的奇異界域對抗閻獄之主的部隊。,64942,64942,0,5442,0,0,92337,204
44,第3季新內容！,第3季,更新地城與PvP獎勵，以及全新的傳奇鑰石強化：密文,職業套裝,獨特的護甲外觀和特效能幫助你拯救暗影之境。,首創者聖塚,探索聖所禁地、阻止閻獄之主統御整個現實世界的陰謀。,0,0,0,5443,0,0,92337,149
45,9.2.5版本全新內容！,羅德隆任務,被遺忘者能不能奪回羅德隆廢墟，並打造新的未來？,神秘之爐,在澤瑞斯莫提斯遠古奇觀裡的PvP競技場中戰鬥。,跨陣營副本,與兩個陣營的玩家組隊進行地城、團隊副本，或PvP積分賽程，享受前所未有的體驗！,0,0,0,5430,0,0,92337,247
46,第4季新內容！,暗影之境第4季,在傳奇鑰石地城與PvP獲得全新獎勵。,新的傳奇鑰石難度地城,體驗具備傳奇強化能力的經典懷舊地城！,命定團隊副本,返回暗影之境團隊副本接受新的挑戰和新的獎勵。,0,0,0,5431,0,0,92337,248
47,《巨龍崛起》前夕全新內容！,使用者介面更新,更簡潔清爽的介面，而且可透過新的編輯模式自由調整！,《巨龍崛起》即將推出！,11月29日,全新的天賦系統,探索全新的職業和專精天賦樹，創造你自己的天賦配置！,0,0,0,5482,0,0,87298,250
