ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,妮亞是一名希瓦爾人，她的任務是照顧她林地裡的野性種子。你在她悲慘的時刻裡遇到了她，她的林地因為要回收靈魄而只好任其枯萎。妮亞在與你同行的途中學會了在乾旱裡生存的艱難課題。她是專業的獵人和追踪者，她的技能將有助於解決乾旱問題，並消滅亞登曠野的其他威脅。,1,95232,1030,5312,0,6,171896
2,寧靜平和的織夢者善於透視自然之靈的夢境，這些自然之靈在森林的野性種子中沉睡，等待重生。織夢者幫你和一名在睡夢中向外探尋的自然之靈建立連結。他的治療之力可以在亞登曠野遭到外部勢力圍攻時提供支援。,2,94430,1029,5313,1,7,171898
3,萬古以來，德瑞文將軍一直是瑞文崔斯的石源魔軍團指揮官。他在任何一場仗裡都待在前線，以榮譽作戰到最後一刻，而且從來不會放任何一名士兵於不顧。當戴納瑟斯選擇了閻獄之主時，德瑞文卻選擇加入雷納瑟的叛亂。到最後，瑞文崔斯才是最重要的。,3,92399,1031,5314,2,11,171889
4,瑪利雷斯既古怪又聰明，他製造出瑪卓薩斯最有效的藥水。當瘟疫家族遭到破壞並且被摧毀時，瑪利雷斯在最後陷入了瘋狂。瑪利雷斯充滿創意的藥水偶爾會有副作用，卻是抗戰準備中最重要的資源。,4,94122,1035,5315,0,3,171890
5,艾曼妮的傀儡軀體是在瑪卓薩斯的縫合場組裝而成的。她在生前是強大的貴族，為了坐上王座而屠殺了幾百名手足。她在你們合作消滅共同的敵人時很敬重你的力量與才能。她本身已是傳奇，在她把自己的靈魂與淵喉行者進行靈魂之絆以後，她的惡名又更上一層樓了。,5,93825,1036,5316,1,4,171892
7,克芮恩是曠野獵者的女獵手，她是意志堅定的領導者，也是強悍的戰士。她的任務是保護森林不會受到最危險且難以捉摸的威脅。在殺死獵物並確保亞登曠野的安全之前，她都不會休息。在冬日窪地遭到攻擊時，多虧了克芮恩的領導和意志力才得以獲勝。,6,95248,1037,5317,2,8,171899
9,佩拉苟斯是昇靈堡的志士，就算是在挑戰與困境當中，他也都為了晉升而勤奮地訓練。在你設法見到御靈者並對抗棄誓者時，佩拉苟斯和他的靈魂之絆克蕾雅一起和你很快地成為了朋友。儘管佩拉苟斯因過去凡人的疑惑與回憶所苦，但他總是充滿著光明和希望。,7,94137,1039,5318,0,0,171883
10,黑彌爾是統御者的學徒，是瑪卓薩斯當中最古老的凡人靈魂之一。經過長久的訓練與練習，她在鑄造以骨與鋼所製成的武器與鎧甲上是首屈一指的專家。她打造出來的武器，讓天選者家族和你具備了對付周圍敵人的實力。,10,96102,1038,5319,2,5,171894
11,最初遇見你時，琪瑞安晉升者克蕾雅還只是一名志士。她向她的靈魂之絆佩拉苟斯以及其他的琪瑞安展現，她想要繼續前進並克服他們所將面臨的任何考驗。身為照看佩拉苟斯和你的導師，她將竭盡所能保護盟友和昇靈堡。,13,94873,1040,5320,1,1,171885
12,昇靈堡的管理者米卡尼寇斯在早期就顯露出他的才能，並且很快地躍身成為首席熔爐士。他是昇靈堡多項最經典的創造物的主要發明人。他看出淵喉行者的潛力，成為你最有力的盟友協助你解決靈魄乾旱危機以及其他的威脅。,18,96348,1041,5322,2,2,171886
14,娜迪亞自詡為最偉大的劍刃決鬥者，她反對停滯不前，永遠渴望著下一個新的體驗。哪裡出現麻煩，娜迪亞就會出現在哪裡。她已經準備好了，會聽從你的命令、發揮所長來保護瑞文崔斯，並同時為自己解悶。,8,93210,1042,5327,0,9,171887
15,瘋狂不能當作態度差的藉口！希奧塔被傳統的貴族圈子放逐，所以自己組織流放者的宴會來談論八卦。無論是透過希奧塔最喜歡的茶壺編織強大的魔法，或是活化泥掘者來為他撐傘，都以他怪異獨特的方式運用著瑞文崔斯的強大力量。,9,93223,1043,5328,1,10,171888
