ID,Name_lang,Cost_lang,OutOfError_lang,ToolTip_lang,MinPower,MaxPower,StartPower,CenterPower,RegenerationPeace,RegenerationCombat,BarType,Flags,StartInset,EndInset,FileDataID[0],FileDataID[1],FileDataID[2],FileDataID[3],FileDataID[4],FileDataID[5],Color[0],Color[1],Color[2],Color[3],Color[4],Color[5]
9,測試力量,%d測試力量,測試力量不足,,0,1000,1000,0,-12.5,-5,0,0,0,0,0,0,0,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,0
10,測試力量,%d測試力量,測試力量不足,,0,2000,0,0,20,10,0,1,0,0,0,0,0,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,0
18,致命讀數,,,,0,10,0,0,0,0,0,7,0,0,457299,457296,457297,457300,457298,0,-1,-1,-1,-1,-1,0
23,聲音條,聲音,你尚未被發現,你怎麼那麼吵呀!,0,100,0,0,0,0,2,2,0,0,457566,457564,449443,0,457565,0,-401539,-16777216,-7678738,-16777216,-598016,0
24,荒疫樣本,,,,0,250,0,0,0,0,0,23,0.1328,0.1367,457299,457296,457297,457300,457298,0,-1,-1,-1,-1,-1,0
26,消化酸液,,,伊索拉斯的胃酸正在腐蝕你!|n|n胃酸強度會隨著時間而增加，向附近遮蔽場所的陶土議會薩滿尋求治療!,0,300,0,0,0,0,0,23,0.1328,0.1367,459000,449447,457302,0,462656,0,-1,-1,-13902018,-1,-1,0
29,比賽進度,這代表什麼意思?,,,0,34,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
30,波數進度,這代表什麼意思?,,,0,5,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
32,波數進度,這代表什麼意思?,,,0,4,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
33,波數進度,這代表什麼意思?,,,0,7,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
34,雅立史卓莎的能量,,,,0,5,5,0,0,0,3,2,0,0.5,457617,449452,457583,457576,457575,0,-406016,-16777216,-837632,-16777216,-16777216,0
35,波數進度,這代表什麼意思?,,,0,7,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
36,管理員斯蒂沃特,這代表什麼意思?,,還要削減多少生命力才能擊敗管理員斯蒂沃特。,0,35000,0,0,0,0,0,6,0.1328,0.1367,459012,449447,449448,0,449449,0,-1,-1,-65536,-1,-1,0
37,腐化之血,腐化之血,你的血液是乾淨的!,造成:|n腐化:加速於25%|n腐化:疾病於50%|n腐化:畸形於75%|n腐化:絕對於100%。,0,100,0,0,0,0,0,2,0.28,0.22,462333,462330,462331,462334,462332,0,-1,-1,-1,-1,-1,0
39,充電,電能,,奧妮克希亞目前充電進度。充電完畢之後她將會爆炸。,0,100,0,0,0,0,0,2,0.15,0.15,457319,449467,457317,457320,457318,0,-1,-1,-1,-1,-1,0
61,真氣,%d點真氣,真氣不足,透過攻擊而儲存的能量。,0,100,0,0,0,0,2,2,0,0,457566,457564,449443,0,457565,0,-401539,-16777216,-7678738,-16777216,-598016,0
62,救援進度,,,待在那些陷入困境之中的德魯伊身邊!,0,45,1,0,1,1,0,23,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-5038305,-1,-1,0
63,儀式進度,,,和那些位於北砂山頂的元素戰鬥!,0,105,0,0,1,1,0,23,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-5038305,-1,-1,0
64,方向計,方向,,表示出萊爾利斯領主正轉向哪個方向。,0,50,25,50,0,0,0,6,0.15,0.15,525293,525291,525292,0,0,0,-1,-1,-1,-1,-1,-16777216
65,專注力,專注力,失神。,當你把注意力集中在眼前事物時，可提高你的傷害和治療效果。如果你受到敵方攻擊或法術攻擊，將會失去此加成效果。,0,100,0,0,5,5,0,6,0.13,0.13,449450,449447,449448,0,446220,0,-1,-1,-1,-1,-1,-16777216
66,防禦反抗軍營地,,,在食人妖的攻擊中防衛反抗軍營地!,0,180,1,0,1,1,0,6,0.1328,0.1367,457295,449447,449468,0,457303,0,-1,-1,-16757025,-1,-1,0
67,防禦格羅姆高,,,在食人妖的攻擊中防衛格羅姆高營地!,0,180,1,0,1,1,0,6,0.1328,0.1367,457306,449447,449468,0,457303,0,-1,-1,-1177600,-1,-1,0
68,保護索爾,,,和那些想要把索爾撕成碎塊的元素戰鬥!,0,100,0,0,0,0,0,6,0.1328,0.1367,458988,457301,457302,0,457303,0,-1,-1,-6752257,-1,-1,0
69,保護索爾,,,和那些想要把索爾撕成碎塊的元素戰鬥!,0,100,0,0,0,0,0,6,0.1328,0.1367,459016,457301,457302,0,457303,0,-1,-1,-16742657,-1,-1,0
72,保護索爾,,,擊敗威脅索爾的暮光部隊!,0,100,0,0,0,0,0,6,0.1328,0.1367,459008,457301,457302,0,457303,0,-1,-1,-10921639,-1,-1,0
78,釋放索爾,,,啟動圖騰、釋放索爾!,0,100,0,0,0,0,0,6,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-65536,-1,-1,0
80,熔火之羽,熔火之羽,你沒有熔火之羽!,持有的熔火之羽數量。,0,3,0,0,0,0,0,2,0.27,0.28,0,525288,525289,0,525290,0,-1,-1,-1,-1,-1,0
83,痛扁豺狼人,,,好好痛扁豺狼人吧!,0,60,60,0,-1,-1,0,6,0.2125,0.2125,533452,533449,533450,533453,533451,0,-1,-1,-1,-1,-1,-16777216
84,打靶場,,,射的快就可以多贏點分數!,0,60,60,0,-1,-1,0,6,0.2125,0.2125,533452,533449,533450,533453,533451,0,-1,-1,-1,-1,-1,-16777216
86,蒸汽坦克大戰,,,準備好要出發了!,0,60,60,0,-1,-1,0,6,0.2125,0.2125,533452,533449,533450,533453,533451,0,-1,-1,-1,-1,-1,-16777216
87,活力,,,在受傷的船員失去活力之前治療他們。,0,120,50,0,-1,-1,0,6,0.1328,0.1367,457295,457301,457302,0,457303,0,-1,-1,-16711918,-1,-1,0
88,丟圈圈的挑戰,,,丟圈圈,0,10,10,0,0,0,3,6,0,0,457617,449432,449453,0,0,0,-1,-1,-3126561,-1,-1,0
89,氣球降落傘,,,剩下的降落傘數量,0,4,4,0,0,0,3,6,0,0,457617,449432,449453,0,0,0,-1,-1,-3126561,-1,-1,0
90,時間之沙,時間之沙,沙漏裡面已經沒有沙了!,沙漏可以扭轉時間的次數。,0,5,5,0,0,0,0,4,0,0,0,533349,533350,0,0,0,-1,-1,-1,-1,-1,-16777216
91,強化法杖,,,殺死遠古幽魂來充能培志之杖並中斷儀式!,0,100,0,0,0,0,0,6,0.1328,0.1367,449450,457301,457302,0,457303,0,-1,-1,-8053343,-1,-1,-16777216
92,平衡性,平衡性,,顯示站在死亡之翼脊椎左、右方玩家的平衡性。死亡之翼如果感受到所有玩家都在同一邊的話將會執行翻滾的動作。,0,100,50,100,0,0,0,10,0.15,0.15,525293,525291,525292,0,0,0,-1,-1,-1,-1,-1,-16777216
93,冥想,,,找到你內心的平衡點。,0,100,50,0,0,0,0,6,0.1328,0.1367,457321,457301,457302,457320,457303,0,-1,-1,-16742657,-1,-1,0
94,橋接天地,,,在培志進行儀式的時候擊退攻擊者!,0,100,0,0,0,0,0,6,0.1328,0.1367,449450,449447,449448,449451,449449,0,-1,-1,-11608077,-1,-70400,0
95,惡魔精力(舊),惡魔精力(舊),需要更多惡魔之怒!,被惡魔化身的能力所消耗。,0,1000,200,0,0,0,0,2,0.2,0.2,462333,462330,462331,462334,462332,0,-1,-1,-1,-1,-1,-16777216
97,思緒清晰,清晰,你的精神能量尚未完全充能,,0,3,0,0,0,0,2,0,0.27,0.28,0,525288,525289,0,525290,0,-1,-1,-1,-1,-1,0
103,泥巴能量條,,,你獲得多少泥巴。,0,100,10,0,0,0,1,147,0.1,0.17,457569,0,457567,0,0,0,-1,-16777216,-7690425,-16777216,-16777216,-16777216
104,進入夢境,做夢中,你的意識還沒有從上個夢境中恢復過來。,,0,3,0,0,0,0,2,0,0.27,0.28,0,525288,525289,0,525290,0,-1,-1,-1,-16777216,-1,-16777216
105,計數測試,,,,0,101,0,0,0,0,4,384,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
106,拳頭能量條,,,盡可能用力揮拳!,0,100,0,0,0,0,2,2,0,0,457602,0,457570,0,457565,0,-1,-10790053,-65536,-16777216,-20705,-16777216
107,腐化之血,腐化之血,,死亡之翼的生命力上限在越低的時候，其腐化之血將會造成更高的火焰傷害。在生命力上限於百分之15、10和5的時候，死亡之翼進入出血狀態，其腐化之血將會成倍數增加。,0,100,0,50,0,0,0,10,0.15,0.15,0,533343,533344,533346,533345,0,-1,-1,-1,-1,-1,-16777216
110,靜電衝擊,靜電衝擊,,Increases the effect (stun length and damage) of Lightning Boss' abilities. PH,0,100,0,0,0,0,0,2,0.15,0.15,457319,449467,457317,457320,457318,0,-1,-1,-1,-1,-1,-16777216
113,仇恨,仇恨,沒有仇恨。,你對煞的仇恨會隨著時間或被其中一個能力擊中時逐漸增強。,0,60,0,0,0.2,0.2,0,4,0.13,0.14,457315,449447,449448,449451,449449,0,-1,-1,-65536,-4113,-65536,-16777216
114,被擾亂的猴人,被擾亂的猴人,猴人派對熱力四射!,受到擾亂的猴人派對客數目。|n|n打斷派對來激怒歐克‧歐克!,0,40,0,0,0,0,4,390,0,0,633766,0,0,0,0,633767,-1,-16777216,-16777216,-16777216,-16777216,-602368
115,易燃餘燼,易燃餘燼,需要更多易燃餘燼。,易燃餘燼會增強你的下一個焚燒或靈魂之火。,0,30,0,0,0,0,0,259,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-65536,-1,-1,-16777216
116,耐熱等級,熱度,,記錄被這個驚駭融合體吸收腐化之血的數量。,0,9,0,0,0,0,4,2,0,0,533347,0,0,0,0,533348,-1,-16777216,-16777216,-16777216,-16777216,-16777216
117,打靶場,,,擊中25次以獲得勝利!,0,25,0,0,0,0,4,388,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
129,坦克大戰,,,擊中越多次越好！,0,100,0,0,0,0,4,260,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
133,痛扁豺狼人,,,好好痛扁豺狼人吧!,0,100,0,0,0,0,4,260,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
134,白蘭琪的轟隆酒,,,撲滅酒桶的火以釀造白蘭琪的傑作。,0,100,0,0,0,0,0,6,0.1328,0.1367,653596,653593,653594,653597,653595,0,-1,-1,-5268647,-1,-1,-16777216
137,生存競技場:火焰,,,別死。,0,60,0,0,1,1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-16777216,-1,-1,-1,-16777216
139,生存計時器,,,別死。,0,60,60,0,-1,-1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-1,-1,-1,-1,-16777216
141,靈魂變換倒數,,,,0,15,15,0,-1,-1,2,6,0,0,457623,449442,449443,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216
148,礦車控制,礦車控制,失控,礦車控制由附近的部落或聯盟玩家人數所決定。,0,100,50,0,0,0,0,2,0.13,0.13,449450,449447,449448,0,449449,0,-1,-1,-1,-1,-1,-16777216
149,艾莎的冥想,,,在艾莎冥想時確保她的安全。,0,90,0,0,1,1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-16777216,-1,-1,-1,-16777216
151,抓緊鯊魚,,,抓住鯊魚!別讓他將你撕成兩半!,0,100,50,0,-1,-1,0,6,0.1328,0.1367,457328,457301,457302,0,457303,0,-1,-1,-2293246,-1,-1,-16777216
158,治療神真子,,,解救與防禦治療師，直到神真子的傷被治癒。,0,500,0,0,0,0,0,22,0.1328,0.1367,525287,457301,457302,0,0,0,16777215,0,2877779,16777215,16777215,0
165,仇恨,,,站在和諧之池裡控制你的仇恨!,0,100,0,0,1,1,0,6,0.1328,0.1367,459004,457301,457302,0,457303,0,-1,-1,-196608,-1,-1,-16777216
171,唾沫能量條,,,你獲得多少唾沫。,0,100,0,0,0,0,1,130,0.1,0.17,457569,0,457567,0,0,0,-1,-16777216,-10044673,-16777216,-16777216,-16777216
175,真正究極之力,真正究極之力,太弱了。,屠殺煞的時候吸取它們的原始能量。,0,100,10,0,-1,-1,0,6,0.13,0.14,458992,457301,457302,449431,457303,0,-1,-1,-65536,-1,-1,-16777216
176,黏性,黏性,最小黏性,樹脂硬化以後能量條也會注滿，趕緊阻止樹脂硬化!,0,100,50,0,2,2,0,6,0.13,0.14,457315,449447,449448,449451,449449,0,-1,-1,-31232,-4113,-12800,-16777216
177,阿波的叢林啤酒,,,從居住在島上的猴人海盜收集啤酒。,0,100,0,0,0,0,0,6,0.1328,0.1367,457325,457301,457302,0,457303,0,-1,-1,-5268647,-1,-1,-16777216
178,意志力,意志力,意志力不夠!,你努力控制你的新形態。如果意志力耗盡，你將會完全喪失意識...,0,100,100,0,0,0,0,10,0.13,0.13,628130,628127,628128,0,628129,0,-1,-1,-1,-1,-1,-16777216
179,老余的暗影之瓶,,,你獲得多少暗影。,0,100,0,0,0,0,1,130,0.1,0.17,457569,0,457567,0,0,0,-1,-16777216,-11402617,-16777216,-16777216,-16777216
183,冥想,,,找到內心的中心點。,0,100,50,0,0,0,0,6,0.1328,0.1367,627342,457301,457302,627343,457303,0,-1,-1,-16742657,-1,-1,-16777216
195,生存競技場:刀刃,,,別死。,0,60,0,0,1,1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-16777216,-1,-1,-1,-16777216
199,拳頭能量條,,,盡可能用力揮拳!,0,100,0,0,0,0,2,2,0,0.15,629942,629939,629940,0,629941,0,-1,-1,-1,-16777216,-20705,-16777216
203,淨化生命之池,,,摧毀生命之池周圍的煞!,0,40,0,0,0,0,0,6,0.1328,0.1367,0,653598,653599,653601,653600,0,-1,-1,-1,-1,-1,-16777216
204,紫晶石化,紫晶石化,替代能量不足,你正被轉化成紫晶!如果這個過程結束，你將無法移動或行動。|n|n在這個過程期間，你的移動速度會逐漸降低，但是你所受到的所有暗影傷害降低90%。,0,100,5,0,0,0,0,6,0.13,0.13,629030,629037,629029,0,629038,0,-1,-1,-1,-1,-1,-16777216
205,鈷藍石化,鈷藍石化,替代能量不足,你正被轉化成鈷藍!如果這個過程結束，你將無法移動或行動。|n|n在這個過程期間，你的移動速度會逐漸降低，但是你所受到的所有冰霜傷害降低90%。,0,100,5,0,0,0,0,6,0.13,0.13,629032,629037,629031,0,629038,0,-1,-1,-1,-1,-1,-16777216
206,翠玉石化,翠玉石化,替代能量不足,你正被轉化成翠玉!如果這個過程結束，你將無法移動或行動。|n|n在這個過程期間，你的移動速度會逐漸降低，但是你所受到的所有自然傷害降低90%。,0,100,5,0,0,0,0,6,0.13,0.13,629034,629037,629033,0,629038,0,-1,-1,-1,-1,-1,-16777216
207,碧玉石化,碧玉石化,替代能量不足,你正被轉化成碧玉!如果這個過程結束，你將無法移動或行動。|n|n在這個過程期間，你的移動速度會逐漸降低，但是你所受到的所有火焰傷害降低90%。,0,100,5,0,0,0,0,6,0.13,0.13,629036,629037,629035,0,629038,0,-1,-1,-1,-1,-1,-16777216
213,錦魚人防禦據點,,,建造進度,0,1000,0,0,0,0,0,4,0.1328,0.1367,459016,457301,457302,449451,457303,0,-1,-1,-16730159,-1,-1,-16777216
214,魔能,,,殺死附近的惡魔，吸收魔化能量。,0,100,0,0,0,0,0,86,0.086,0.086,0,1036120,1036121,1036123,1036122,0,-1,-1,-1,-1,-1,-16777216
216,地精防禦據點,,,建造進度,0,1000,0,0,0,0,0,4,0.1328,0.1367,457311,457301,457302,449451,457303,0,-1,-1,-4825088,-5224954,-1,-16777216
