ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,NavigationMaxDistance,PreloadFileDataID,Flags[0],Flags[1],Flags[2]
0,Azeroth,東部王國,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,17,804940,775971,0,0,159399517,134479888,140
1,Kalimdor,卡林多,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,17,804935,782779,0,0,159399517,134479888,140
30,PVPZone01,奧特蘭克山谷,"在奧特蘭克山脈深處的奧特蘭克山谷，是霜狼氏族的家園。矮人中的雷矛氏族在這裡建造了一座要塞，並試圖深入山谷尋找寶藏，還有關於他們起源的線索。

在這個大規模戰場之中，雙方都企圖瓦解敵人哨塔的防禦，並擊敗敵方將軍(范達爾‧雷矛或德雷克塔爾)。","在奧特蘭克山脈深處的奧特蘭克山谷，是霜狼氏族的家園。矮人中的雷矛氏族在這裡建造了一座要塞，並試圖深入山谷尋找寶藏，還有關於他們起源的線索。

在這個大規模戰場之中，雙方都企圖瓦解敵人哨塔的防禦，並擊敗敵方將軍(范達爾‧雷矛或德雷克塔爾)。",擊殺敵方首領,"- 搶奪敵方哨塔和碉堡
- 擊殺敵方首領
- 將敵方援軍數降至0",0,0,1,3,0,0,104,-1,-1,-1,0,1,-1,0,0,0,790112,0,0,1553,135004168,0
33,Shadowfang,影牙城堡,,,,,-230.989,1571.57,1,1,0,0,204,-1,-1,-1,0,1,0,10,0,0,790796,0,0,1565,134479880,0
34,StormwindJail,暴風城監獄,,,,,-8762.379,848.0103,2,1,0,717,194,-1,-1,-1,0,1,0,10,0,0,791060,0,0,1553,134479880,0
36,DeadminesInstance,死亡礦坑,,,,,-11207.8,1681.15,1,1,0,0,142,-1,-1,-1,0,1,0,10,0,0,780605,0,0,1553,134479880,0
43,WailingCaverns,哀嚎洞穴,,,,,-751.1312,-2209.2405,2,1,0,718,143,-1,-1,-1,0,1,1,10,0,0,791429,0,0,1553,134479880,0
47,RazorfenKraulInstance,剃刀沼澤,,,,,-4459.449,-1660.2118,1,1,0,0,188,-1,-1,-1,0,1,1,10,0,0,790640,0,0,1553,134479880,0
48,Blackfathom,黑澗深淵,,,,,4249.1206,748.3871,2,1,0,719,196,-1,-1,-1,0,1,1,10,0,0,780169,0,0,1553,134479880,0
70,Uldaman,奧達曼,,,,,-6060.1816,-2954.9973,2,1,0,1337,144,-1,-1,-1,0,1,0,10,0,0,791372,0,0,1553,134479880,0
90,GnomeragonInstance,諾姆瑞根,,,,,-5162.6616,931.59875,2,1,0,721,193,-1,-1,-1,0,1,0,10,0,0,782773,0,0,1553,134479880,0
109,SunkenTemple,沉沒的神廟,,,,,-10291.7,-3987.63,2,1,0,1477,191,-1,-1,-1,0,1,0,10,0,0,791166,0,0,1553,134479880,0
129,RazorfenDowns,剃刀高地,,,,,-4662.883,-2535.8716,1,1,0,0,145,-1,-1,-1,0,1,1,10,0,0,790517,0,0,1553,134479880,0
169,EmeraldDream,翡翠夢境,,,,,0,0,1,2,0,0,0,-1,-1,-1,0,1,-1,40,0,0,780817,0,0,1553,134479880,0
189,MonasteryInstances,Scarlet Monastery of Old,,,,,2892.2354,-811.2637,1,1,0,0,190,-1,-1,-1,0,1,0,10,0,0,788662,0,0,1553,134479880,0
209,TanarisInstance,祖爾法拉克,,,,,-6790.5767,-2891.278,1,1,0,0,146,-1,-1,-1,0,1,1,10,0,0,791169,0,0,1553,134479880,0
229,BlackRockSpire,黑石塔下層,,,,,-7522.527,-1233.0415,2,1,0,1583,189,-1,-1,-1,0,1,0,10,0,0,780175,0,0,1537,134479880,0
230,BlackrockDepths,黑石深淵,,,,,-7178.0947,-928.63947,2,1,0,1584,103,-1,-1,-1,0,1,0,5,0,0,780172,0,0,1553,134479880,0
249,OnyxiaLairInstance,奧妮克希亞的巢穴,,,,,-4753.3125,-3752.4211,2,2,0,2159,61,-1,-1,-1,0,1,1,40,0,0,789922,0,0,34305,134479880,0
