Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,里程碑1,睦鄰商人現已解鎖新物品,2,0,0,0,0,0
0,里程碑2,睦鄰商人現已解鎖新物品,3,0,0,0,0,0
0,里程碑3,睦鄰商人現已解鎖新物品,4,0,0,0,0,0
0,睦鄰完成獎勵,,5,0,0,0,0,93262
0,睦鄰完成獎勵,,21,0,0,0,0,93262
0,睦鄰完成獎勵,,22,0,0,0,0,93262
0,睦鄰完成獎勵,,23,0,0,0,0,93262
0,睦鄰完成獎勵,,24,0,0,0,0,93262
0,睦鄰完成獎勵,,25,0,0,0,0,93262
0,睦鄰完成獎勵,,26,0,0,0,0,93262
0,睦鄰完成獎勵,,27,0,0,0,0,93262
0,睦鄰完成獎勵,,28,0,0,0,0,93262
0,睦鄰完成獎勵,,29,0,0,0,0,93262
