ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
4,獸人殺手,提高與獸人戰鬥時勝利的機率。,1,1,897144,0,1
5,暴風雪,法師用來對複數敵人造成傷害的技能。,0,1,135857,0,0
6,盾牆,戰士用來大幅降低受到傷害的技能。,0,1,132362,0,0
7,巡山人,提高在山區戰鬥時勝利的機率。,6,1,236848,0,1
8,冷血無情,提高在雪地中戰鬥時勝利的機率。,6,1,236833,0,1
9,荒地居民,提高在沙漠戰鬥時勝利的機率。,6,1,236846,0,1
10,虔信之躍,牧師用來協助目標脫離危險的技能 (或是把目標搞得一頭霧水)。,0,1,463835,0,0
11,治療禱言,牧師用來治療一群盟友的技能。,0,1,135943,0,0
29,快速上手,此追隨者從任務中獲得的經驗值提高50%,7,1,236225,0,33
30,天生領袖,提高所有追隨者從任務獲得的經驗值。,0,1,236362,0,3
36,斬魔者,提高與惡魔戰鬥時勝利的機率。,1,1,254651,0,1
37,屠獸,提高與野獸戰鬥時勝利的機率。,1,1,298659,0,1
38,巨魔殺手,提高與巨魔戰鬥時勝利的機率。,1,1,236695,0,1
39,源生者殺手,提高與源生者及其手下戰鬥時勝利的機率。,1,1,254105,0,1
40,古羅殺手,提高與破源者及其手下戰鬥時勝利的機率。,1,1,236412,0,1
41,怒靈殺手,提高與元素怒靈戰鬥時勝利的機率。,1,1,254652,0,1
42,虛空殺手,提高與變異怪和不死生物戰鬥時勝利的機率。,1,1,298680,0,1
43,鳥爪殺手,提高與阿拉卡及其手下戰鬥時勝利的機率。,1,1,952507,0,1
44,自然學家,提高在森林中戰鬥時勝利的機率。,6,1,236830,0,1
45,穴居人,提高在地下戰鬥時勝利的機率。,6,1,409595,0,1
46,游擊高手,提高在叢林中戰鬥時勝利的機率。,6,1,236850,0,1
47,頂尖刺客,全面提高任務成功機率。,11,1,458726,0,19
48,沼澤行者,提高在沼澤中戰鬥時勝利的機率。,6,1,236819,0,1
49,曠野奔馳者,提高在平原中戰鬥時勝利的機率。,6,1,236712,0,1
52,採礦,將其指派至礦場時，可以提高訂單的生產效能。,5,1,4620679,0,33
53,草藥學,將其指派至草藥園時，可以提高草藥學的收益與訂單生產效能。,5,1,4620675,0,33
54,鍊金術,將其指派至鍊金實驗室時，不但可以在鍊金術上獲得許多好處，還能提高鍊金術任務的成功機率。,5,1,4620669,0,33
55,鍛造,將其指派至冶煉廠時，可以降低裝備耐久度的損耗，並且提高訂單的生產效能。除此之外，還能提高鍛造任務的成功機率。,5,1,4620670,0,33
56,附魔,將其指派至附魔研究室時，不但可以在附魔上提供各種好處，還能提高附魔任務的成功機率。,5,1,4620672,0,33
57,工程學,將其指派至工程學作坊時，會販賣各種工程學的小發明，並且提高訂單的生產效能。除此之外，還能提高工程學任務的成功機率。,5,1,136243,0,33
58,銘文學,將其指派至雕銘書房時，可以製作特殊的文件，並且提高訂單的生產效能。除此之外，還能提高銘文學任務的成功機率。,5,1,4620676,0,33
59,珠寶學,將其指派至珠寶舖時，不但可以在珠寶設計上提供各種好處，還能提高珠寶設計任務的成功機率。,5,1,4620677,0,33
