ID,Name_lang,HordeName_lang,ParentTradeSkillCategoryID,SkillLineID,OrderIndex,Flags
58,節慶烹飪,,72,185,4,0
59,冬幕,,58,185,0,0
63,日常烹飪,,90,185,7,0
64,燒烤之道,,90,975,1,1
65,快炒之道,,90,976,2,1
66,燉煮之道,,90,977,3,1
67,蒸煮之道,,90,978,4,1
68,烘烤之道,,90,979,5,1
69,釀酒之道,,90,980,6,1
70,不尋常的點心,,72,185,5,0
72,舊世界食譜,,1016,2548,999,1
73,外域風味菜餚,,1017,2547,990,1
74,寒冷北方的食譜,,1018,2546,980,1
75,大災變食譜,,1019,2545,970,1
76,基礎,,379,165,0,0
84,其他,,362,197,10,0
90,熊貓人菜餚,,1015,2544,960,1
91,雕紋,,450,773,140,0
92,雕紋 - 法師,,415,773,170,0
93,雕紋 - 牧師,,415,773,200,0
94,雕紋 - 術士,,415,773,230,0
95,雕紋 - 德魯伊,,415,773,150,0
96,雕紋 - 武僧,,415,773,180,0
97,雕紋 - 盜賊,,415,773,210,0
98,雕紋 - 獵人,,415,773,160,0
99,雕紋 - 薩滿,,415,773,220,0
100,雕紋 - 聖騎士,,415,773,190,0
101,雕紋 - 戰士,,415,773,240,0
102,法杖與魔杖,,415,773,70,0
103,副手,,415,773,80,0
104,墨水,,415,773,20,0
105,清心,,415,773,110,0
106,卡牌,,415,773,50,0
107,卷軸,,415,773,100,0
108,研究,,415,773,10,0
113,雕紋,,415,773,0,0
114,其他,,415,773,250,0
115,任務,,415,773,60,0
116,工藝品,,415,773,90,0
117,傳送,,415,773,120,0
118,材料,,415,773,0,0
119,肩膀銘文,,763,773,60,0
127,自我,,415,773,30,0
128,裝備綁定,,415,773,20,0
130,使用綁定,,415,773,20,0
131,拾取綁定,,415,773,10,0
150,繃帶,,397,129,100,0
151,解毒劑,,397,129,200,0
164,藍色寶石,,372,755,15,0
165,拳套,,372,755,90,0
166,綠色寶石,,372,755,30,0
167,頭冠與飾品,,372,755,80,0
168,材料,,372,755,65,0
169,變換寶石,,372,755,40,0
170,坐騎,,372,755,60,0
171,項鍊,,372,755,55,0
172,橘色寶石,,372,755,25,0
173,稜彩寶石,,372,755,45,0
174,紫色寶石,,372,755,35,0
175,紅色寶石,,372,755,10,0
176,戒指,,372,755,50,0
177,稜光,,372,755,70,0
178,雕像,,372,755,95,0
179,寵物及工藝品,,372,755,75,0
180,飾品,,372,755,85,0
181,黃色寶石,,372,755,20,0
182,組件,,419,202,1025,0
183,零件,,419,202,1020,0
184,炸藥,,419,202,1030,0
185,護目鏡,,419,202,1040,0
186,護甲，可穿戴,,419,202,1050,0
187,護甲，飾品,,419,202,1060,0
188,裝置,,419,202,1070,0
189,槍與弓,,419,202,1080,0
190,瞄準鏡,,419,202,1090,0
191,工具,,419,202,1100,0
192,坐騎,,419,202,1110,0
193,榫輪,,419,202,1100,0
194,煙火,,419,202,1100,0
195,釣魚,,419,202,1100,0
196,機器人,,419,202,1100,0
197,移動,,419,202,1100,0
198,腰帶,,419,202,1100,0
199,手套,,419,202,1100,0
200,披風,,419,202,1100,0
201,致命,,419,202,1100,0
202,消耗品,,419,202,1100,0
203,用品,,419,202,1100,0
204,強化的護甲,,419,202,1000,0
210,符文,,0,960,0,0
214,研究,,372,755,-1,0
215,材料,,590,164,10,0
216,武器加工,,590,164,20,0
217,護甲加工,,590,164,30,0
218,頭盔,,590,164,40,0
219,護肩,,590,164,50,0
220,胸甲,,590,164,60,0
221,護手,,590,164,70,0
222,護腕,,590,164,80,0
223,腰帶,,590,164,90,0
224,腿部,,590,164,100,0
225,靴子,,590,164,110,0
226,護盾,,590,164,120,0
227,武器,,590,164,130,0
228,骷髏鑰匙,,590,164,140,0
229,插槽,,590,164,150,0
230,材料,,362,197,10,0
231,刺繡,,362,197,20,0
232,法術絲線,,362,197,30,0
233,背包,,362,197,40,0
234,帽子與兜帽,,362,197,50,0
235,護肩,,362,197,60,0
236,長袍與外套,,362,197,70,0
237,護腕,,362,197,80,0
238,腰帶,,362,197,90,0
239,手套,,362,197,100,0
240,褲子,,362,197,110,0
241,靴子,,362,197,120,0
242,披風,,362,197,130,0
243,襯衣,,362,197,140,0
244,坐騎,,362,197,150,0
245,網子,,362,197,160,0
246,特殊,,362,197,170,0
247,材料,,379,165,10,0
248,浮雕,,379,165,20,0
249,護甲片,,379,165,30,0
250,背包,,379,165,40,0
251,頭盔,,379,165,50,0
252,護肩,,379,165,60,0
253,胸甲,,379,165,70,0
254,護腕,,379,165,80,0
255,手套,,379,165,90,0
256,腰帶,,379,165,100,0
257,褲子,,379,165,110,0
258,靴子,,379,165,120,0
259,披風,,379,165,130,0
260,特殊,,379,165,140,0
261,鼓,,379,165,35,0
264,熔煉,,1078,186,0,0
265,元素,,1076,186,1,0
296,研究,,379,165,1,0
297,訓練計畫,,590,164,160,0
332,德拉諾鍊金術,,594,2480,950,1
333,材料與研究,,332,171,100,0
334,精煉藥劑,,332,171,200,0
335,藥水與藥劑,,332,171,300,0
336,飾品與飾品升級,,332,171,400,0
342,德拉諾食物,,1013,2543,950,1
343,肉類餐點,,342,185,20,0
344,魚類餐點,,342,185,30,0
345,筵席,,342,185,0,0
346,佳餚,,342,185,10,0
347,德拉諾工程學,,711,2501,950,1
348,德拉諾附魔,,648,2488,950,1
349,披風,,348,333,200,0
350,頸部,,348,333,300,0
351,戒指,,348,333,400,0
352,武器,,348,333,100,0
354,其他,,348,333,500,0
361,物品強化,,410,773,200,0
362,裁縫圖樣,,957,2540,999,1
363,護甲,,369,197,40,0
364,染料與針線,,369,197,30,0
365,背包,,369,197,20,0
366,材料與研究,,369,197,10,0
367,其他,,369,197,50,0
368,披風,,369,197,45,0
369,德拉諾圖樣,,948,2535,950,1
372,珠寶設計圖,,816,2524,999,1
373,德拉諾設計圖,,807,2519,950,1
374,材料與研究,,373,755,10,0
375,珠寶強化,,373,755,20,0
376,珠寶,,373,755,30,0
377,寶石,,373,755,40,0
378,其他,,373,755,50,0
379,製皮圖樣,,874,2532,999,1
380,德拉諾圖樣,,873,2527,950,1
381,材料與研究,,380,165,10,0
382,皮甲,,380,165,40,0
383,鎖甲,,380,165,50,0
384,護甲強化,,380,165,30,0
385,披風,,380,165,60,0
386,背包,,380,165,20,0
388,其他,,380,165,70,0
389,德拉諾設計圖,,551,2472,950,1
390,材料與研究,,389,164,10,0
391,物品強化,,389,164,30,0
392,護甲,,389,164,40,0
393,武器與盾牌,,389,164,50,0
394,其他,,389,164,60,0
396,德拉諾的藥品,,0,129,10,0
397,舊的藥方,,0,129,100,0
399,幻象,,348,333,0,0
400,戰旗,,369,197,10,0
401,其他,,369,197,10,0
402,帳篷,,380,165,50,0
403,貿易訂單,,410,773,20,0
407,材料與研究,,347,202,0,0
408,齒輪消耗品,,347,202,100,0
409,材料與研究,,348,333,0,0
410,德拉諾銘文學,,761,2509,950,1
411,法杖與魔杖,,410,773,500,0
412,卡牌,,410,773,400,0
