ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,身軀,11987,11986,4,20,3,0,0
2,臉型,11991,11990,1,100,2,0,0
3,飾品,11985,11984,3,100,2,0,0
4,髮型,11989,11988,2,100,2,0,0
5,面紋,11987,11986,5,65,3,0,0
6,熊形態,15730,15730,6,0,1,5,1
7,獵豹形態,15731,15731,7,0,1,1,0
9,水棲形態,15729,15729,10,0,1,4,1
10,旅行形態,15734,15734,11,0,1,3,1
11,飛行形態,15732,15732,9,0,1,27,0
12,梟獸形態,15733,15733,8,0,1,31,0
13,臉型(不死族),11991,11990,1,80,3,0,0
14,臉型(貓熊人),11991,11990,1,80,3,0,0
15,臉型(瑪格哈獸人),11991,11990,1,85,3,0,0
16,臉型(矮人),11991,11990,1,88,2,0,0
17,飾品(矮人),11985,11984,3,88,2,0,0
18,臉型(牛頭人),11991,11990,1,100,3,0,0
19,飾品(牛頭人),11985,11984,3,100,3,0,0
20,Face (Worgen),11991,11990,1,100,3,0,0
21,小鬼,24571,24571,40,50,1,0,1
22,身體(半龍人),11987,11986,1,20,2,0,0
23,鏡面,18308,18307,2,100,2,0,0
24,護甲1(半龍人),11993,11992,5,20,2,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,2,0,0
27,身體(飛龍騎術),20126,20127,1,20,3,0,0
28,身體2(飛龍騎術),20128,20129,2,20,3,0,0
29,頭部(飛龍騎術),20130,20131,3,100,2,0,0
30,頭部2(飛龍騎術),18308,18307,4,100,2,0,0
31,飾品(半龍人),20130,20131,2,100,2,0,0
32,臉型(半龍人),11991,11990,3,100,2,0,0
33,鏡面(半龍人),18308,18307,4,100,2,0,0
34,配件(瑪格哈獸人),11985,11984,2,85,3,0,0
37,惡魔獵犬,24570,24570,43,50,1,0,1
39,虛無行者,24575,24575,41,40,1,0,1
42,惡魔守衛,24569,24569,44,30,1,0,1.4
43,末日守衛,24684,24684,46,30,1,0,-1.2
44,薩亞德,24574,24574,42,40,1,0,1
45,煉獄火,24685,24685,45,30,1,0,1.5
46,身體(梟獸),11987,11986,1,40,3,0,0
47,暗凝,26042,26042,47,30,1,0,1
48,暴君,26043,26043,48,70,1,0,1
50,寶石,11987,11986,4,30,3,0,0
52,再生元龍,19958,19958,102,50,1,0,1
53,烈風迅疾龍,19959,19959,103,50,1,0,1
54,峭壁荒野飛龍,19960,19960,104,50,1,0,1
55,盤旋滑龍,23901,23901,105,50,1,0,1
56,岩洞虛空之翼龍,25100,25100,106,50,1,0,1
57,阿爾加風暴飛騎,25101,25101,107,50,1,0,1
58,繁茂奇行飛龍,25531,25531,108,50,1,0,1
59,探究者飛船,27697,27697,109,50,1,0,1
60,探究者的哥布林奔走者,28583,28583,110,50,1,0,1
61,高地飛龍,19957,19957,101,50,1,0,1
