ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,PvpType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,奧特蘭克山谷,史詩戰場,,,3,0,20,90,25,10,40,1,5,1941,152,136324,0
2,經典戰歌峽谷,搶旗戰,,,3,0,0,0,10,5,10,1,5,1942,0,136365,0
3,經典阿拉希盆地,資源戰,,,3,0,0,0,10,8,15,1,5,1943,0,136322,0
4,Nagrand Arena (old),,,,4,1,0,0,5,0,5,1,5,0,1,460867,5793
5,zzOldBlade's Edge Arena,,,,4,1,0,0,5,0,5,1,5,0,1,460861,0
6,所有競技場,,,,4,1,20,90,5,0,5,1,3,0,8,525915,0
7,暴風之眼,資源戰,,,3,0,20,90,15,8,15,1,5,2851,24,525912,0
8,羅德隆廢墟,,,,4,1,10,90,5,0,5,1,5,0,8,460869,0
9,遠祖灘頭,攻城戰,,,3,0,10,60,15,8,15,1,5,3695,1,460870,0
10,達拉然下水道,,,,4,1,10,90,5,0,5,1,5,0,8,460862,0
30,征服之島,史詩戰場,,,3,0,20,90,25,10,40,1,5,4273,152,311222,0
32,隨機戰場,,,,3,0,10,90,25,5,10,1,5,0,0,525915,0
100,積分戰場,,,,3,0,50,90,10,5,10,1,10,0,2,0,0
101,積分戰場,,,,3,0,50,60,15,8,15,1,15,0,2,0,0
102,積分戰場,,,,3,0,50,90,6,4,6,1,6,0,2,0,0
108,雙子峰,搶旗戰,,,3,0,30,90,10,5,10,1,5,5361,24,525913,0
120,吉爾尼斯之戰,資源戰,,,3,0,20,90,10,3,10,1,5,5360,24,460871,0
656,暴風之眼積分戰場,,,,3,0,50,90,10,5,10,1,5,2851,10,0,0
699,科特魔古神廟,異能球爭奪戰,,,3,0,40,90,10,2,10,1,5,6306,24,791651,0
706,CTF3,,,,3,0,0,0,10,5,10,1,5,6408,1,0,0
708,碎銀礦坑,軌道爭奪戰,,,3,0,30,90,10,3,10,1,5,6436,24,791650,0
719,托維恩競技場,,,,4,1,10,90,5,0,5,1,5,0,8,791652,0
754,深風峽谷（懷舊）,資源戰,,,3,0,40,90,10,8,15,1,5,7671,8,875925,0
757,猛虎峰,,,,4,1,10,90,5,0,5,1,5,0,8,875926,0
789,南海鎮大戰塔倫米爾,亂鬥,,,3,0,50,90,0,10,40,1,5,0,32,0,0
803,Small Battleground D,多處,,,3,0,0,0,5,0,5,1,5,0,1,0,0
808,玄鴉堡競技場,,,,4,1,10,90,5,0,5,1,5,0,8,1389174,0
809,納葛蘭競技場,,,,4,1,10,90,5,0,5,1,5,0,8,460867,0
816,亞夏曼之殞,,,,4,1,10,90,5,0,5,1,5,0,8,1389175,0
844,劍刃競技場,,,,4,1,10,90,5,0,5,1,5,0,8,460861,0
846,吉爾尼斯之戰（舊城地圖）,亂鬥,,,3,0,0,0,10,5,10,1,5,0,33,460871,0
847,阿拉希盆地之冬,亂鬥,,,3,0,50,90,10,8,15,1,5,0,32,136322,0
848,AI Test - Arathi Basin,,,,3,0,0,0,10,8,15,1,15,12812,1,0,0
849,深風峽谷籃球賽,亂鬥,,,3,0,50,90,10,8,15,1,5,0,32,875925,0
853,影潘決戰場,亂鬥,,,3,0,50,90,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,資源戰,,,3,0,0,0,10,5,10,1,5,0,1,875925,0
858,熱力魔古神廟,亂鬥,,,3,0,50,90,10,1,10,1,5,0,32,791651,0
859,重力流逝,亂鬥,,,3,0,50,90,15,8,15,1,5,0,32,525912,0
860,深風峽谷籃球賽,亂鬥,,,3,0,50,90,10,8,15,1,5,0,32,875925,0
861,戰歌大亂鬥,亂鬥,,,3,0,50,90,10,5,10,1,5,0,32,136365,0
862,號角之眼,亂鬥,,,3,0,50,90,15,8,15,1,5,0,33,525912,0
866,所有競技場,亂鬥,,,4,0,50,90,5,8,15,1,5,0,96,525915,0
868,羅德隆廢墟,,,,4,1,50,90,5,0,15,1,5,0,96,460869,0
869,達拉然下水道,,,,4,1,50,90,5,0,15,1,5,0,96,460862,0
870,托維恩競技場,,,,4,1,50,90,5,0,15,1,5,0,96,791652,0
871,猛虎峰,,,,4,1,50,90,5,0,15,1,5,0,96,875926,0
872,玄鴉堡競技場,,,,4,1,50,90,5,0,15,1,5,0,96,1389174,0
873,納葛蘭競技場,,,,4,1,50,90,5,0,15,1,5,0,96,460867,0
874,亞夏曼之殞,,,,4,1,50,90,5,0,15,1,5,0,96,1389175,0
875,劍刃競技場,,,,4,1,50,90,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,3,0,0,0,10,5,10,1,10,0,1,0,0
879,六人對戰,亂鬥,,,3,0,50,90,6,5,6,1,6,0,32,0,0
880,阿拉希盆地,亂鬥,,,3,0,50,90,6,6,6,1,6,0,32,0,0
881,深風峽谷,亂鬥,,,3,0,50,90,6,6,6,1,6,0,32,0,0
882,暴風之眼,亂鬥,,,3,0,50,90,6,6,6,1,6,0,32,0,0
883,碎銀礦坑,亂鬥,,,3,0,50,90,6,6,6,1,6,0,32,0,0
884,科特魔古神廟,亂鬥,,,3,0,50,90,6,6,6,1,6,0,32,0,0
885,吉爾尼斯之戰,亂鬥,,,3,0,50,90,6,6,6,1,6,0,32,0,0
886,戰歌峽谷,亂鬥,,,3,0,50,90,6,6,6,1,6,0,32,0,0
887,不可能的飪物,,,,3,0,50,90,10,5,10,1,5,0,32,875925,0
