ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,霜火小古羅,80693,1067373,0,0.75,0.55,0,0
2,雷霆王斥候,87430,1067284,0,1.4,0.5,0,0
4,獸人遭遇戰1,78009,1067281,0,1.5,0.5,0,0
5,獸人遭遇戰2,79359,1067297,0,1.5,0.5,0,0
7,巨魔遭遇戰1,79378,1067321,0,1.5,0.55,0,0
29,克里斯的任務設定測試遭遇戰,0,0,0,1,0.4,0,0
30,霜火小古羅,80704,1067391,0,0.75,0.55,0,0
31,霜火小古羅,80693,1067373,0,0.75,0.55,0,0
32,冰喉萊拉克,80705,1067265,0,0.55,0.45,0,0
33,雷霆王斥候,80192,1067335,0,0.6,0.9,0,0
34,雷霆王斥候,80172,1067334,0,1.2,0.5,0,0
35,巨魔遭遇戰2,79380,1067230,0,0.9,0.55,0,0
36,不死族遭遇戰1,79380,1067230,0,1,0.5,0,0
37,變異怪遭遇戰1,79383,1067191,0,0.8,0.5,0,0
38,阿拉卡遭遇戰1,79387,1067348,0,0.5,0.5,0,0
39,阿拉卡遭遇戰2,81338,1067462,0,0.9,0.5,0,0
40,野獸遭遇戰1,79384,1067296,0,1.1,0.5,0,0
41,野獸遭遇戰2,79386,1067246,0,1.4,0.5,0,0
42,惡魔遭遇戰1,79381,1067240,0,1.1,0.6,0,0
43,惡魔遭遇戰2,81339,1067193,0,0.6,0.6,0,0
44,破源者遭遇戰1,79382,1067290,0,1,0.5,0,0
45,破源者遭遇戰2,79385,1067311,0,1.5,0.6,0,0
46,怒靈遭遇戰1,81340,1067223,0,1.2,0.5,0,0
47,怒靈遭遇戰2,81341,2395691,0,1,0.5,0,0
48,源生者遭遇戰1,81342,1067224,0,1,0.5,0,0
49,源生者遭遇戰2,81343,1067208,0,1,0.5,0,0
50,髒汙蛞蝓,19787,0,0,1,0.4,0,0
51,遊蕩劫毀者,81538,1067344,0,0.9,0.45,0,0
52,雷霆王躍壁者,81562,1067236,0,1.55,0.5,0,0
53,雷霆王諭風者,81565,1067286,0,1.55,0.5,0,0
54,被詛咒的狼,81568,1067253,0,1.5,0.5,0,0
55,嚴霜苦工,81580,1067268,0,1.2,0.55,0,0
56,霜喙食腐鳥,81583,1067178,0,1.3,0.9,0,0
57,劍刃劫掠者,81587,1067336,0,1.2,0.5,0,0
58,蒼白吞噬者,82405,1067305,0,1,0.45,0,0
59,腐化蟾蜍,82410,1067273,0,1,0.45,0,0
60,落月烏鴉,82409,1067466,0,0.8,0.5,0,0
61,影月通靈師,82413,1067287,0,1.55,0.5,0,0
62,影月黑暗法師,82414,1067282,0,1.55,0.5,0,0
63,雷霆原行者,83059,1067312,0,0.75,0.55,0,0
64,戈利安秘法師,83067,1067413,0,1.2,0.5,0,0
65,戈利安步兵,83071,1067409,0,1.2,0.5,0,0
66,鋼鐵烈焰先知,83128,1067339,0,1.4,0.5,0,0
67,鋼鐵烈焰先知,83126,1067270,0,1.4,0.5,0,0
68,『監督者』貝瑞姆斯,83236,1067399,0,0.9,0.53,0,0
69,『先祖』塔爾納,83236,1067399,0,0.9,0.53,0,0
70,擎天風暴召喚者,83357,1067403,0,0.9,0.55,0,0
71,鷂鷹擁護者,83363,1067405,0,0.9,0.55,0,0
72,魔鑄殲滅者,83379,1067240,0,0.75,0.55,0,0
73,血鬃女族長,83074,1067433,0,0.8,0.55,0,0
74,幽影徘徊者,83347,1067465,0,1.2,0.5,0,0
75,魔焰煉獄火,83170,1067195,0,0.75,0.55,0,0
76,燃焰掠取者,83382,1067237,0,0.9,0.55,0,0
77,黑暗之靈,83256,1067191,0,1.4,0.55,0,0
78,虛空之靈,83251,1416404,0,1.4,0.55,0,0
79,戈爾,83098,1067407,0,0.75,0.55,0,0
80,飢餓的噬鐵戈倫,83193,1067290,0,0.75,0.55,0,0
81,劍刃蠻卒,83043,1067419,0,1.2,0.5,0,0
82,劍刃蠻槌兵,83042,1067420,0,1.2,0.5,0,0
83,劍刃地卜師,83045,1067422,0,1.2,0.5,0,0
84,雷霆王諭風者,83120,1067286,0,1.5,0.5,0,0
85,伊格德雷,83225,1067302,0,0.55,0.55,0,0
86,雷霆王禽爪兵,83118,1067285,0,1.5,0.5,0,0
87,雷霆王獸騎兵,83122,1067284,0,1.5,0.5,0,0
88,嘯月古樹,83226,1067303,0,0.55,0.55,0,0
89,納葛蘭劫掠者,83135,1067388,0,1.5,0.5,0,0
90,戰歌喚地者,83140,1067358,0,1.5,0.5,0,0
91,劍喉秘術使,83084,1067432,0,0.8,0.55,0,0
92,劍喉疤牙戰士,83074,1067433,0,0.8,0.55,0,0
