ID,Name_lang,PlayerConditionID,VisibleTrackingQuestID,QuestFeedbackEffectID,Flags,MaxHeight,MinHeight,VignetteType,RewardQuestID,UiWidgetSetID
4,Vignette Test Kill,0,0,89,66,0,0,0,0,0
5,Vignette Test Loot,18071,0,108,0,0,0,0,0,0
9,Vignette Test Event,10345,0,90,2,0,0,0,0,0
10,碎星者洛哈許,22188,0,89,0,0,0,0,0,0
11,法拉赫藏寶者,22189,0,88,0,0,0,0,0,0
12,被俘虜的德萊尼,22190,0,89,0,0,0,0,0,0
13,虛無先知,22191,0,89,0,0,0,0,0,0
14,烏拉卡,22192,0,89,0,0,0,0,0,0
15,席諾迪卡斯,22193,0,89,0,0,0,0,0,0
16,安伯瑞防禦水晶,22194,0,90,0,0,0,0,0,0
17,神秘的虛無,22196,0,90,0,0,0,0,0,0
18,消滅者,22197,0,89,0,0,0,0,0,0
19,傑瑞卡的預言,22198,0,89,0,0,0,0,0,0
20,克拉特的預言,22199,0,89,0,0,0,0,0,0
21,扭曲監視者的預言,22200,0,89,0,0,0,0,0,0
22,消滅者建築,22201,0,89,0,0,0,0,0,0
23,識葉者庫里,22202,0,89,0,0,0,0,0,0
24,鐵鍊寶藏,22203,0,88,0,0,0,0,0,0
25,濕傘菇,22205,0,89,0,0,0,0,0,0
26,岩蹄,22206,0,89,0,0,0,0,0,0
27,塔巴比,22213,0,90,0,0,0,0,0,0
28,影山寶藏,22215,0,88,0,0,0,0,0,0
29,伯格佐伊德,22216,0,89,0,0,0,0,0,0
30,伊格德雷,22217,33389,89,0,0,0,0,0,0
33,血頂,19147,0,89,0,0,0,0,0,0
34,裂牙,0,0,89,0,0,0,0,0,0
35,邪鱷,0,0,89,0,0,0,0,0,0
36,魁帝,0,0,89,0,0,0,0,0,0
37,艾薩,0,0,89,0,0,0,0,0,0
38,勞斐之靈,0,0,89,0,0,0,0,0,0
39,『屠夫』白勁,0,0,89,0,0,0,0,0,0
40,『鐵拳』高超,19146,0,89,0,0,0,0,0,0
41,『縛靈者』高魂,19147,0,89,0,0,0,0,0,0
42,天魔賈將軍,0,0,89,0,0,0,0,0,0
43,暗影大師希多,0,0,89,0,0,0,0,0,0
44,巫龍,0,0,89,0,0,0,0,0,0
45,霍雙,19147,0,89,0,0,0,0,0,0
46,『獻祭者』保萊,0,0,89,0,0,0,0,0,0
