ID,Description_lang,OrderIndex,ProfTraitTreeID
1,製作洪荒熔火鎧甲。,0,105
2,在製作鎧甲時，提高精妙和精明。,1,105
3,製作大師之錘，以便隨時修復自己的鎧甲。,2,105
5,精通製造布卷和打磨布。,1,161
6,精通製造合約和書狀。,2,176
7,消耗藥水可以稍微提高移動速度或治療效果。,1,58
8,製作誘餌，引來剝皮時可產出稀有材料的生物。,0,145
9,精通製造動物符文和梵陀符文。,2,148
10,使用額外材料和最後加工材料自訂製作的武器和工具。,2,102
11,使用額外材料和最後加工材料自訂製作的皮甲。,2,126
12,使用額外材料和最後加工材料來自訂製作的鎖甲。,2,124
13,使用額外材料來自訂戒指和項鍊。,2,131
14,勘探可以讓你發現稜彩原礦，內含大量寶石。,0,128
15,在製作時，提高精明和效率。,2,207
16,找到不同類型的魔法種子，可以種在土中以便培育草藥。,1,235
17,在戶外時，獲得對於野獸和龍類的傷害加成。,0,144
18,在製作布甲時，提高精妙和精明。,1,164
19,在製作附魔商品時，提高精妙和精明。,2,240
20,在製作皮甲時，提高精妙和精明。,1,126
21,在製作鎖甲時，提高精妙和精明。,1,124
22,在製作所有珠寶設計圖成品時，提高精妙、精明和製作速度。,0,130
23,提高精妙和精明對所有珠寶設計圖的效果。,1,130
24,提高所有珠寶設計圖的製造技能。,0,130
25,發現額外材料結構圖，以自訂自己的裝備。,1,205
26,製作大師之錘，可用來修復自己的武器。,3,102
27,透過實驗學會劇毒藥水和劇毒藥瓶配方。,3,59
28,收集一片碎塊，以篩選出好東西。,1,207
29,使用最後加工材料自訂布甲。,2,164
30,從你剝皮的生物身上採集額外的烹飪用肉。,2,144
31,在製作時，駕馭危險的腐朽魔法。,3,134
32,駕馭元素材料蘊含的力量，強化自己的寶石切割能力。,1,129
33,在收集暗月卡、萃取其元素和製作新暗月卡時獲得強化。,0,176
34,提高所有鍊金術配方的製造技能。,0,59
35,提高所有鍛造設計圖的製造技能。,0,169
36,提高所有附魔公式的製造技能。,0,245
37,提高所有工程結構圖的製造技能。,0,207
38,提高所有銘文學技藝的製造技能。,0,147
39,提高所有製皮圖樣的製造技能。,0,135
40,提高所有裁縫圖樣的製造技能。,0,160
41,提高所有裁縫圖樣的製作速度。,3,160
42,在採集草藥時，提高採集技能。,0,236
43,在剝取皮革、鱗片和毛皮時，提高剝皮技能。,0,143
44,在採集礦石時，提高採集技能。,0,212
45,在製造更高品質的合金和額外材料時獲得強化。,1,103
46,強化物質轉化的能力。,2,59
47,強化大量製造基礎材料的能力。,2,128
48,花費更多材料大量製造炸彈。,1,204
49,在製作PvP裝備時，提高製造技能。,2,134
50,在製作附魔公式成品時，提高製造技能。,0,240
51,強化製造提供少許戰鬥加成的雕像消耗品的能力。,3,131
52,提高藥瓶實驗的成功率。,0,84
53,提高藥水實驗的成功率。,0,58
54,在製作所有鍛造設計圖成品時，提高製作速度。,2,169
55,提高採集時發現的草藥數量。,2,236
56,提高採集時發現的礦石數量。,2,212
57,延長所用藥瓶的持續時間。,1,84
58,在採集草藥時，提高技法的效果。,3,236
59,提高精妙和精明對所有公式的效果。,3,245
60,提高精妙和精明對所有圖樣的效果。,3,135
61,提高精妙和精明對所有配方的效果。,1,160
62,提高精妙和精明對所有配方的效果。,1,169
63,提高精妙和精明對所有技藝的效果。,3,147
64,在採集元素礦床時，提高你的純熟、技法和感知。,3,213
65,在採集元素草藥時，提高你的純熟、技法和感知。,3,234
66,在採集草藥時，提高你的純熟、技法和感知。,2,235
67,在採礦時，提高你的純熟、技法和感知。,2,211
68,在剝皮時，提高你的純熟、技法和感知。,2,143
69,在剝皮時，提高你的純熟、技法和感知。,2,145
70,提高你的分解能力，有時會額外獲得材料。,1,244
71,提高你的感知，幫助你採集更稀有的材料。,3,144
72,在誘餌中注入元素力量，讓你能採集喚醒元素。,1,145
73,發明各種不同的玩具，自娛娛人。,1,206
74,學會如何切割具備元素精華的無限鑽石。,2,129
75,在製造鑲邊背包時，提高精明。,2,161
76,將優秀品級的寶石轉化成多顆稀有寶石。,1,128
77,製造和升級龍洞產生器，以進行快速傳送！,0,206
78,製作史詩品級的護腕，並加上任何人都能使用的技工裝置插槽。,0,205
79,學會如何使用最後加工材料來強化自己的寶石切割能力。,0,129
80,學會如何製作具備特殊效果的裝備和額外材料。,0,134
81,學會如何製作強大的龍族、獻祈和喚醒附魔。,1,240
82,學會如何製作具備不同效果的各種炸彈。,0,204
83,學會如何製作新的技工裝置，可用於具備技工裝置插槽的裝備。,2,206
84,製作原始甦醒火炬和符文卡茲格羅岩節杖。,1,245
85,製作點亮的群島之柱和動能群島之柱這兩把強大的法杖。,1,148
86,提高布料的採集效率，以及找到可分解的稀有布料。,2,160
87,製作卡茲格羅岩鍛造工具箱和更高品質的工具。,0,103
88,製作各種新的強力戒指和項鍊。,1,131
89,製作和自訂暗月套卡盒，這是強大的暗月飾品。,1,176
