Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
嗜血術,獲得「嗜血術」效果，每日派遣的第一個任務成功機率提高${$a701}%,39,31,0,1,136012,41962,578,0,0,0,0,0,0
復生,所有任務獲得「復生」效果，在任務成功時，有${$a772}% 的機率讓精力耗盡的部隊恢復$m772點精力。,40,31,1,1,451167,41955,646,0,0,0,0,0,0
先祖之賜,使你的勇士在任務成功時，有機會帶回勇士武裝或裝備。,41,31,2,1,237574,41958,788,0,0,0,0,0,0
先祖傳說,可裝備的傳說級物品數量提高${$a898}件。,42,31,5,0,237571,41961,0,0,0,0,0,0,0
元素知識,新招募的次級元素改為大型元素，其任務成功機率提高${$a638-$a637}%,43,31,3,0,893777,41959,0,0,0,0,0,0,0
大地低語,"新招募的喚地者改為陶土議會地卜師，並且習得：

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t|Cffffffff熔岩風暴|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
奮起！,"讓你能招募卓越者。

卓越者會隨機使有|C00b3ffff危險|R、|C00b3ffff法術|R或|C00b3ffff手下|R的任務成功機率提高${$a650}% ，並且擁有：

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t|Cffffffff卓越者狂怒|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
幽魂步伐,讓你能用大廳資源下訂單，獲得每週3枚破碎命運徽印的其中1枚。,49,31,4,0,636335,41960,0,0,0,0,0,0,0
訓練場,次級元素、大型元素、喚地者與地卜師的招募上限提高${$a702}。,52,31,2,0,135776,41958,579,0,0,0,0,0,0
元素束縛,和火、土、風、水元素領主取得聯繫。職業大廳每天會隨機出現一個元素領主，提供強大的戰鬥加成效果。,53,31,1,0,135988,41955,0,0,0,0,0,0,0
靈魂呼喚,完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。,54,31,0,0,136014,41962,0,0,0,0,0,0,0
吉運,完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。,248,4,0,0,636335,41962,0,0,0,0,0,0,0
啟蒙,"招募部隊時，有機會獲得更進階、強大的部隊。

學徒有機會成為高手，高手有機會成為大師。",249,4,1,1,648628,41955,0,0,0,0,0,0,0
磐牛之道,新招募的玄牛學徒改為玄牛高手，其任務成功機率提高${$a897-$a695}%,250,4,3,0,620829,41959,0,0,0,0,0,0,0
猛虎之道,"新招募的白虎學徒改為白虎高手，並且習得：

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t|Cffffffff鶴旋踢|R
$@garrabdesc576",251,4,3,1,611420,41959,0,0,0,0,0,0,0
生活區,玄牛學徒、玄牛高手、白虎學徒與白虎高手的招募上限提高${$a694}。,252,4,2,0,651489,41958,571,0,0,0,0,0,0
幸運紅包,獲得「幸運紅包」效果，每日派遣的第一個任務成功機率提高${$a693}%,253,4,0,1,134268,41962,570,0,0,0,0,0,0
釀酒廠,"每天可以使用一次風暴烈酒旅店的冒泡酒桶。

冒泡酒桶會賦予你珍貴的加成效果，協助你進行破碎群島任務。",254,4,1,0,651573,41955,0,0,0,0,0,0,0
朝聖之旅,使你的勇士在任務成功時，有機會帶回勇士武裝或裝備。,255,4,2,1,775462,41958,785,0,0,0,0,0,0
完成天命,讓你能用大廳資源下訂單，獲得每週3枚破碎命運徽印的其中1枚。,256,4,4,0,656322,41960,0,0,0,0,0,0,0
天尊恩賜,"讓你能招募天尊。

天尊會隨機擁有一個武僧專精，可以反制|C00b3ffff首領|R，並且擁有：

|TInterface\ICONS\INV_CELESTIALSERPENTMOUNT.BLP:20:20:0:0|t|Cffffffff天尊迴響|R
$@garrabdesc749",257,4,4,1,656166,41960,0,0,0,0,0,0,0
傳說之拳,可裝備的傳說級物品數量提高${$a898}件。,258,4,5,0,606548,41961,0,0,0,0,0,0,0
伊露恩恩賜,完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。,347,107,0,0,236151,41962,0,0,0,0,0,0,0
取回裝備,使你的勇士在任務成功時，有機會帶回勇士武裝或裝備。,348,107,2,1,1033478,41958,787,0,0,0,0,0,0
旅行形態,所有任務獲得「旅行形態」效果，任務時間縮短${100-$a715*100}%,349,107,1,1,132144,41955,592,0,0,0,0,0,0
休眠,幻夢之林樹人、塞納留斯之女、利爪德魯伊與林地看守者的招募上限提高${$a900}。,350,107,2,0,132136,41958,753,0,0,0,0,0,0
歡笑之女,新招募的幻夢之林樹人改為塞納留斯之女，其任務成功機率提高${$a679-$a678}%,351,107,3,0,136021,41959,0,0,0,0,0,0,0
森林之力,"新招募的利爪德魯伊改為林地看守者，並且習得：

|TInterface\ICONS\ABILITY_DRUID_FLOURISH.BLP:20:20:0:0|t|Cffffffff野性痊癒|R
$@garrabdesc558",352,107,3,1,132113,41959,0,0,0,0,0,0,0
盤根,獲得「盤根」效果，每日派遣的第一個任務如果有|C00b3ffff爪牙|R，任務成功機率提高${$a714}%,353,107,0,1,134412,41962,591,0,0,0,0,0,0
萬年青,讓你可以在兩塊肥沃土地上種植與採收作物，獲得可以在破碎群島使用的物品。每3天可以使用一次。,354,107,1,0,612099,41955,0,0,0,0,0,0,0
伊露恩之選,讓你能用大廳資源下訂單，獲得每週3枚破碎命運徽印的其中1枚。,355,107,4,0,611423,41960,0,0,0,0,0,0,0
戰爭古樹,"讓你能招募戰爭古樹。

戰爭古樹會隨機擁有一個德魯伊的專精，可以反制|C00b3ffff首領|R，並且擁有：

|TInterface\ICONS\INV_PET_ANCIENTPROTECTOR.BLP:20:20:0:0|t|Cffffffff古樹之力|R
$@garrabdesc435",356,107,4,1,874857,41960,0,0,0,0,0,0,0
