ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,開鎖,鎖上的物品,開鎖,PickLock,0,0
2,草藥學,藥草,採集,GatherHerbs,1,17635
3,採礦,礦點,採礦,Mine,2,17636
4,解除陷阱,陷阱,解除,,3,0
5,打開,未鎖上的物品,打開,,4,0
6,寶物 (DND),寶物,,,5,0
7,石化精靈寶石 (DND),石化精靈寶石,,,6,0
8,關閉,未鎖上的物品,關閉,,7,0
9,設置陷阱,陷阱,設置,,8,0
10,快速打開,未鎖上的物品,打開,,9,0
11,快速關閉,未鎖上的物品,關閉,,10,0
12,開始修補,未鎖上的物品,打開,,11,0
13,展現跪姿,未鎖上的物品,打開,,12,0
14,開始攻擊,未鎖上的物品,打開,,13,0
15,加茲瑞迪安 (DND),加茲瑞迪安,,,14,0
16,爆炸,鎖上的物品,爆炸,,15,0
17,開啟PvP,未鎖上的物品,打開,,16,0
18,關閉PvP,未鎖上的物品,關閉,,17,0
19,釣魚,魚,魚,FishingCursor,18,17634
20,銘文學,典籍,解讀,,19,0
21,打開載具,未鎖上的物品,打開,,20,0
22,考古學,碎片,調查,,21,0
23,PvP快速打開,未鎖上的物品,打開,,22,0
28,鋸木廠,木料,收割,HarvestTimber,23,0
29,剝皮,皮革,剝皮,skin,24,0
30,上古法力,法力收藏,抽取,Extract,25,0
31,戰情看板,戰情看板,查看,,26,0
32,草藥學,草藥,採集,GatherHerbs,27,17635
33,草藥學,草藥,採集,GatherHerbs,28,17635
34,草藥學,草藥,採集,GatherHerbs,29,17635
35,草藥學,草藥,採集,GatherHerbs,30,17635
36,草藥學,草藥,採集,GatherHerbs,31,17635
37,草藥學,草藥,採集,GatherHerbs,32,17635
38,草藥學,草藥,採集,GatherHerbs,33,17635
39,草藥學,草藥,採集,GatherHerbs,34,17635
40,採礦,礦點,採礦,Mine,35,17636
41,採礦,礦點,採礦,Mine,36,17636
42,採礦,礦點,採礦,Mine,37,17636
43,採礦,礦點,採礦,Mine,38,17636
44,採礦,礦點,採礦,Mine,39,17636
45,採礦,礦點,採礦,Mine,40,17636
46,採礦,礦點,採礦,Mine,41,17636
47,採礦,礦點,採礦,Mine,42,17636
48,剝皮,皮革,剝皮,skin,43,0
149,打開(開啟鎖上的物品欄物品),未鎖上的物品,打開,,44,0
150,搜索,搜尋食物,搜尋食物,ForagePlants,45,0
152,蜂王乳儲藏處,蜂王乳,採集,,46,0
153,草藥學,草藥,採集,GatherHerbs,47,17635
155,採礦,礦點,採礦,Mine,48,17636
157,誓盟：暗夜妖精,未鎖上的物品,打開,,49,0
158,誓盟：汎希爾,未鎖上的物品,打開,,50,0
159,誓盟：琪瑞安,未鎖上的物品,打開,,51,0
160,誓盟：死靈領主,未鎖上的物品,打開,,52,0
161,專業：工程學,,關閉,,53,0
162,巨龍群島草藥學,草藥,採集,GatherHerbs,54,17635
163,採礦,礦點,採礦,Mine,55,17636
166,草藥學,草藥,採集,GatherHerbs,56,17635
167,採礦,礦點,採礦,Mine,57,17636
169,附魔,附魔物品,分解,,58,0
170,巨龍群島寶物,寶物,打開,Open,59,0
172,巨龍群島鍊金術25,未鎖上的物品,開啟,,60,0
173,巨龍群島鍛造25,未鎖上的物品,開啟,,61,0
174,巨龍群島附魔25,未鎖上的物品,開啟,,62,0
175,巨龍群島工程學25,未鎖上的物品,開啟,,63,0
176,巨龍群島草藥學25,未鎖上的物品,開啟,,64,17635
177,巨龍群島銘文學25,未鎖上的物品,開啟,,65,0
178,巨龍群島珠寶設計25,未鎖上的物品,開啟,,66,0
179,巨龍群島製皮25,未鎖上的物品,開啟,,67,0
180,巨龍群島採礦25,未鎖上的物品,開啟,,68,17636
181,巨龍群島剝皮25,未鎖上的物品,開啟,,69,0
182,巨龍群島裁縫25,未鎖上的物品,開啟,,70,0
186,展現跪姿 - 植物,未鎖上的物品,撬鎖,,71,0
188,巨龍群島採礦,礦點,採礦,Mine,72,17636
193,卡茲阿爾加採礦,礦點,礦坑,Mine,73,17636
194,卡茲阿爾加草藥學,草藥,採集,GatherHerbs,74,17635
195,卡茲阿爾加鍊金術25,未鎖上的物品,開啟,,75,0
196,卡茲阿爾加鍛造25,未鎖上的物品,開啟,,76,0
197,卡茲阿爾加附魔25,未鎖上的物品,開啟,,77,0
198,卡茲阿爾加工程學25,未鎖上的物品,開啟,,78,0
199,卡茲阿爾加草藥學25,未鎖上的物品,開啟,,79,17635
200,卡茲阿爾加銘文學25,未鎖上的物品,開啟,,80,0
201,卡茲阿爾加珠寶設計25,未鎖上的物品,開啟,,81,0
202,卡茲阿爾加製皮25,未鎖上的物品,開啟,,82,0
203,卡茲阿爾加採礦25,未鎖上的物品,開啟,,83,17636
204,卡茲阿爾加剝皮25,未鎖上的物品,開啟,,84,0
205,卡茲阿爾加裁縫25,未鎖上的物品,開啟,,85,0
