ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,榮譽等級5,5,1375574,0,12893
2,榮譽等級 10,10,1375575,0,12894
3,榮譽等級15,15,1375576,0,12895
4,榮譽等級20,20,1375577,0,12900
6,榮譽等級25,25,1551554,1,12901
8,榮譽等級30,30,1551555,1,12902
9,榮譽等級40,40,1551556,1,12903
10,榮譽等級50,50,1551557,1,12904
11,榮譽等級60,60,1567394,0,12905
12,榮譽等級70,70,1597388,0,12906
13,榮譽等級80,80,1597390,0,12907
14,榮譽等級90,90,1597392,0,12908
15,榮譽等級100,100,1597394,0,12909
16,榮譽等級125,125,1597397,0,12910
17,榮譽等級150,150,1597398,0,12911
18,榮譽等級175,175,1597399,0,12912
19,榮譽等級200,200,1597400,0,12913
20,榮譽等級250,250,1713158,0,12914
21,榮譽等級300,300,1713159,0,12915
22,榮譽等級400,400,1713160,0,12916
23,榮譽等級500,500,1713161,0,12917
24,榮譽等級600,253,1713162,0,0
25,榮譽等級750,254,1713163,0,0
26,榮譽等級1000,255,1713164,0,0
