ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,戰鬥,3475,0
4,一般,3475,0
5,回收,3567,0
6,後勤,3580,0
7,野外,3572,0
8,交易,3575,0
9,建造,3578,0
10,補給,3568,0
11,徵募,3583,0
12,訓練,3574,0
13,巡邏,3582,0
14,研究,3574,0
15,防禦,3577,0
16,探索,3476,0
17,攻城,3570,0
18,鍊金術,3571,0
19,鍛造,3474,0
20,附魔,3566,0
21,工程學,3581,0
22,銘文學,3579,0
23,珠寶設計,3576,0
24,製皮,3584,0
25,裁縫,3573,0
35,寶藏,3575,0
36,寵物對戰,3572,0
37,船艦-戰鬥,4613,174
38,船艦-油料,4614,175
39,船艦-訓練,4617,178
40,船艦-尋寶,4618,179
41,船艦-攻城(聯盟),4615,176
42,船艦-攻城(部落),4616,177
46,偵察,3582,0
47,船艦-獎勵,4897,220
48,船艦-傳奇,4931,221
49,Ship-SiegeIHA,5016,224
50,Ship-SiegeIHH,5017,223
51,區域支援 - 聯盟,5597,244
52,入侵,3577,224
53,神兵武器 - 武僧任務,4929,221
54,Generic (7.0),3475,0
55,7.0 Tutorial,4929,221
57,區域支援 - 部落,5598,245
58,神兵武器 - 薩滿任務,4929,221
59,神兵武器 - 德魯伊任務,4929,221
60,神兵武器 - 法師任務,4929,221
61,神兵武器 - 獵人任務,4929,221
63,神兵武器 - 聖騎士任務,4929,221
64,神兵武器 - 術士任務,4929,221
65,神兵武器 - 惡魔獵人任務,4929,221
66,神兵武器 - 盜賊任務,4929,221
67,神兵武器 - 牧師任務,4929,221
68,神兵武器 - 死亡騎士任務,4929,221
69,神兵武器 - 戰士任務,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0遭遇戰 - 塔札維許,6128,0
194,9.0遭遇戰 - 淵喉進攻戰,6128,0
195,9.0 Encounter - Treasure,6128,0
196,9.2遭遇戰 - 澤瑞斯莫提斯,6128,0
