Name_lang,Pos[0],Pos[1],Pos[2],MapOffset[0],MapOffset[1],FlightMapOffset[0],FlightMapOffset[1],ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,MinimapAtlasMemberID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID[0],MountCreatureID[1]
北郡修道院,-8888.98,-0.54,94.39,0,0,0,0,1,0,0,0,1024,0,4689,0,0,0,308,0
暴風城，艾爾文森林,-8841.06,489.656,109.607,0.00998004,0.0101744,0,0,2,0,0,2,1,0,4689,0,0,0,0,541
工程師島,16391.81,16341.21,69.44,0,0,0,0,3,0,0,0,1024,0,4689,0,0,0,308,0
哨兵嶺，西部荒野,-10551.9,1034.39,56.9543,0,0,0,0,4,0,0,4,1,0,4689,0,0,0,0,541
湖畔鎮，赤脊山,-9429.1,-2231.4,68.65,0,0,0,0,5,0,20068,5,1,0,4689,0,0,0,0,541
鐵爐堡，丹莫洛,-4821.78,-1155.44,502.21,0,0,0,0,6,0,0,6,1,0,4689,0,0,0,0,541
米奈希爾港，濕地,-3787.81,-777.696,1.5582,-0.002,0.002,0,0,7,0,0,7,1,0,4689,0,0,0,0,541
塞爾薩瑪，洛克莫丹,-5421.91,-2930.01,347.25,0,0,0,0,8,0,0,8,1,0,4689,0,0,0,0,541
藏寶海灣，荊棘谷,-14271.8,299.87,31.09,0,0,0,0,9,0,0,0,1024,0,4689,0,0,0,0,541
瑟伯切爾，銀松森林,478.86,1536.59,131.32,0,0,0,0,10,0,0,10,2,0,4689,0,0,0,3574,0
幽暗城，提里斯法林地,1568.62,267.97,-43.1,0,0,0,0,11,0,96403,11,10,0,4689,0,0,0,3574,0
夜色鎮，暮色森林,-10515.5,-1261.65,41.34,0,0,0,0,12,0,0,12,1,0,4689,0,0,0,0,541
塔倫米爾，希爾斯布萊德,-17.7066,-874.203,59.0056,0,0.003,0,0,13,0,0,13,2,0,4689,0,0,0,3574,0
南海鎮，希爾斯布萊德,-711.48,-515.48,26.11,0,0,0,0,14,0,5793,14,1024,0,4689,0,0,0,0,541
東瘟疫之地,2253.4,-5344.9,83.38,0,0,0,0,15,0,0,0,1024,0,4689,0,0,0,0,541
避難谷地，阿拉希高地,-1240.53,-2515.11,22.16,0,0,0,0,16,0,0,16,1,0,4689,0,0,0,0,541
落錘鎮，阿拉希高地,-916.29,-3496.89,70.45,0.007,-0.007,0,0,17,0,0,17,2,0,4689,0,0,0,2224,0
藏寶海灣，荊棘谷,-14444.3,509.62,26.2,0,0,0,0,18,0,0,18,2,0,4689,0,0,0,2224,0
藏寶海灣，荊棘谷,-14473,464.15,36.43,0,0,0,0,19,0,0,19,1,0,4689,0,0,0,0,541
格羅姆高，荊棘谷,-12414.2,146.29,3.28,0,0,0,0,20,0,0,20,2,0,4689,0,0,0,2224,0
新卡加斯，荒蕪之地,-6676.87,-2433.37,272.771,0.002,-0.01,0,0,21,0,0,21,2,0,4689,0,0,0,2224,0
雷霆崖，莫高雷,-1197.21,29.71,176.95,0,0,0,0,22,1,0,22,2,0,4689,0,0,0,2224,0
奧格瑪，杜洛塔,1798.27,-4363.27,102.848,0.0249501,0.00436047,0,0,23,1,0,23,2,0,4689,0,0,0,2224,0
"Generic, World Target 002",-6666,-2222.3,278.6,0,0,0,0,24,0,0,24,1024,0,4689,0,0,0,0,0
十字路口，北貧瘠之地,-441.8,-2596.08,96.06,0.00399202,-0.0101744,0,0,25,1,0,25,2,0,4689,0,0,0,2224,0
洛丹諾，黑海岸,7459.9,-326.56,8.09,0,-0.02,0,0,26,1,0,26,9,0,4689,0,0,62814,0,3837
魯瑟蘭村，泰達希爾,8383.75,980.964,30.8292,0,0,0,0,27,1,0,27,9,0,4689,0,0,62814,0,3837
阿斯特蘭納，梣谷,2827.34,-289.24,107.16,0.008,0,0,0,28,1,0,28,1,0,4689,0,0,0,0,3837
烈日石居，石爪山脈,966.57,1040.32,104.27,0.021,0.005,0,0,29,1,0,29,2,0,4689,0,0,0,2224,0
亂風崗 ，千針石林,-4310.61,-927.064,81.1796,0,0,0,0,30,1,0,30,2,0,4689,0,0,0,2224,0
蔭枝林，菲拉斯,-4996.88,73.9427,99.8385,0,0,0,0,31,1,0,31,1,0,4689,0,0,0,0,3837
塞拉摩，塵泥沼澤,-3825.37,-4516.58,10.44,0,0.008,0,0,32,1,19444,32,9,0,4689,0,0,0,0,541
薩歐達拉瞰臺，石爪山脈,2147.25,1537.87,341.24,-0.017,0,0,0,33,1,0,33,1,0,4689,0,0,0,0,3837
傳送，藏寶海灣,-1965.17,-5824.29,-1.06,0,0,0,0,34,1,0,0,1024,0,4689,0,0,0,0,0
傳送，奧格瑪,1320.07,-4649.2,21.57,0,0,0,0,35,1,0,0,1024,0,4689,0,0,0,0,0
"Generic, World Target 001",-8644.62,433.28,59.46,0,0,0,0,36,0,0,0,1024,0,4689,0,0,0,15665,0
尼耶爾前哨站，淒涼之地,139.24,1325.82,193.5,0.007,0,0,0,37,1,0,37,1,0,4689,0,0,0,0,3837
葬影村，淒涼之地,-1767.64,3263.89,4.94,0,0,0,0,38,1,0,38,2,0,4689,0,0,0,2224,0
加基森，塔納利斯,-7185.97,-3768.24,9.30053,0,0,0,0,39,1,0,39,1,0,4689,0,0,0,0,541
加基森，塔納利斯,-7094.03,-3813.69,9.49695,0,0,0,0,40,1,0,40,2,0,4689,0,0,0,2224,0
羽月要塞，菲拉斯,-4467.04,2188.64,17.8939,0,-0.01,0,0,41,1,0,41,1,0,4689,0,0,0,0,3837
莫沙徹營地，菲拉斯,-4419.86,199.31,25.06,-0.004,0,0,0,42,1,0,42,2,0,4689,0,0,0,2224,0
鷹巢山，辛特蘭,283.74,-2002.76,194.74,0,-0.01,0,0,43,0,0,43,1,0,4689,0,0,0,0,541
污水碼頭，艾薩拉,3547.2,-6294.66,0.754245,0,0,0,0,44,1,0,44,2,0,4689,0,0,0,2224,0
守望堡，詛咒之地,-11112.3,-3435.74,79.09,0,0.015,0,0,45,0,46758,45,9,0,4689,0,0,0,0,541
傳送，南海鎮,-986.43,-547.86,-3.86,0,0,0,0,46,0,0,0,1024,0,4689,0,0,0,0,0
傳送，格羅姆高,-12418.77,235.43,1.12,0,0,0,0,47,0,0,0,1024,0,4689,0,0,0,0,0
血毒河，費伍德森林[DISABLED in 4.x],5123.51,-321.181,359.54,0,0,0,0,48,1,5793,48,1024,0,4689,0,0,0,2224,0
月光林地,7458.45,-2487.21,462.33,0,0,0,0,49,1,0,49,1,0,4689,0,0,0,0,3837
傳送，米奈希爾港,0,0,0,0,0,0,0,50,0,0,0,1024,0,4689,0,0,0,0,0
傳送，奧伯丁,0,0,0,0,0,0,0,51,0,0,0,1024,0,4689,0,0,0,0,0
