Name_lang,ID,Flags,PlayerConditionID,ReagentType,ReagentSource,Field_11_2_0_61476_006,Field_12_0_0_63534_007
,12,1,0,0,0,0,0
修改物品等級 - 主要,16,0,0,0,0,0,0
指定一項次要屬性,17,0,0,0,0,0,0
,31,0,0,0,0,0,0
修改物品等級 - 次要,46,0,0,0,0,0,0
,47,0,0,0,0,0,0
,48,0,0,0,0,0,0
,49,0,0,0,0,0,0
,50,0,0,0,0,0,0
指定一項次要屬性,67,0,0,0,0,0,0
指定一項次要屬性,72,0,0,0,0,0,0
指定一項次要屬性,73,0,0,0,0,0,0
指定一項次要屬性,74,0,0,0,0,0,0
指定一項次要屬性,75,0,0,0,0,0,0
修改物品等級 - 次要,77,0,0,0,0,0,0
提高等級,78,0,92156,0,0,0,0
新增創先者強化,79,0,95770,0,0,0,0
Test Ore (DNT),80,1,0,1,0,0,0
Draconium Ore (DNT),81,0,0,1,0,0,0
Primal Molten Alloy (DNT),82,0,0,1,0,0,0
Frostfire Alloy (DNT),83,0,0,1,0,0,0
Obsidian Seared Alloy (DNT),84,0,0,1,0,0,0
Infurious Alloy (DNT),85,0,0,1,0,0,0
僅限相同品質的額外材料,86,0,0,0,0,0,0
僅限不同品質的額外材料,87,0,0,0,0,0,0
相同或不同品質的額外材料,88,0,0,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0,0,0
Test finishing reagent Slot (DNT),90,0,0,2,0,0,0
鍊金催化劑,91,2,0,2,2,0,0
次級卓越洞見,92,2,0,2,2,0,0
卓越洞見,93,2,0,2,2,0,0
鍊金催化劑,94,2,0,2,2,0,0
Hochenblume (DNT),98,0,0,1,0,0,0
Writhebark (DNT),99,0,0,1,0,0,0
Saxifrage (DNT),100,0,0,1,0,0,0
Bubble Poppy (DNT),101,0,0,1,0,0,0
Primal Convergent (DNT),102,0,0,1,0,0,0
Omnium Draconis (DNT),103,0,0,1,0,0,0
Draconic Vial (DNT),104,0,0,1,0,0,0
Elemental Potion of Power (DNT),105,0,0,1,0,0,0
Phial of Tepid Versatility (DNT),106,0,0,1,0,0,0
Phial of Elemental Chaos (DNT),107,0,0,1,0,0,0
Potion of Frozen Focus (DNT),108,0,0,1,0,0,0
提高等級,110,0,92156,0,0,0,0
灌注力量,111,2,0,0,1,0,0
添加裝飾,112,0,0,0,1,0,0
Serevite Ore (DNT),114,0,0,1,0,0,0
用訓練矩陣強化,116,0,0,0,1,0,0
Khaz'gorite Ore (DNT),117,0,0,1,0,0,0
添加裝飾,123,0,0,0,1,0,0
淬火液,124,2,0,2,2,0,0
自訂次要屬性,125,2,0,0,0,0,0
灌注力量,126,0,0,0,1,0,0
Queen's Ruby (DNT),128,0,0,1,0,0,0
Mystic Sapphire (DNT),129,0,0,1,0,0,0
Vibrant Emerald (DNT),130,0,0,1,0,0,0
Sundered Onyx (DNT),131,0,0,1,0,0,0
Eternity Amber (DNT),132,0,0,1,0,0,0
Alexstraszite (DNT),133,0,0,1,0,0,0
Malygite (DNT),134,0,0,1,0,0,0
Ysemerald (DNT),135,0,0,1,0,0,0
Neltharite (DNT),136,0,0,1,0,0,0
Nozdorite (DNT),137,0,0,1,0,0,0
Illimited Diamond (DNT),138,0,0,1,0,0,0
Frameless Lens (DNT),140,0,0,1,0,0,0
Glossy Stone (DNT),142,0,0,1,0,0,0
Shimmering Clasp (DNT),143,0,0,1,0,0,0
Projection Prism (DNT),145,0,0,1,0,0,0
Resilient Leather (DNT),146,0,0,1,0,0,0
Adamant Scales (DNT),147,0,0,1,0,0,0
Dense Hide (DNT),148,0,0,1,0,0,0
Lustrous Scaled Hide (DNT),149,0,0,1,0,0,0
Stonecrust Hide (DNT),150,0,0,1,0,0,0
Mireslush Hide (DNT),151,0,0,1,0,0,0
Infurious Hide (DNT),153,0,0,1,0,0,0
Earthshine Scales (DNT),155,0,0,1,0,0,0
Frostbite Scales (DNT),156,0,0,1,0,0,0
Infurious Scales (DNT),157,0,0,1,0,0,0
Silken Gemdust (DNT),158,0,0,1,0,0,0
Elemental Harmony (DNT),159,0,0,1,0,0,0
Vibrant Spellthread (DNT),169,0,0,1,0,0,0
Frozen Spellthread (DNT),170,0,0,1,0,0,0
Temporal Spellthread (DNT),171,0,0,1,0,0,0
Wildercloth Bolt (DNT),172,0,0,1,0,0,0
Azureweave Bolt (DNT),173,0,0,1,0,0,0
Chronocloth Bolt (DNT),174,0,0,1,0,0,0
Vibrant Wildercloth Bolt (DNT),175,0,0,1,0,0,0
Infurious Wildercloth Bolt (DNT),176,0,0,1,0,0,0
Spool of Wilderthread (DNT),177,0,0,1,0,0,0
添加裝飾,178,0,0,0,1,0,0
添加裝飾,179,0,0,0,1,0,0
添加裝飾,180,0,0,0,1,0,0
繡線,181,2,0,2,2,0,0
打磨布,182,2,0,2,2,0,0
添加裝飾,183,0,0,0,1,0,0
鍊條油,184,2,0,2,2,0,0
保存劑,185,2,0,2,2,0,0
Fiery Spirit (DNT),186,0,0,1,0,0,0
用訓練矩陣強化,189,0,0,0,1,0,0
,190,0,0,2,2,0,0
完工尾聲,192,0,0,2,2,0,0
秘密食材,193,0,0,2,2,0,0
Handful of Serevite Bolts (DNT),194,0,0,1,0,0,0
Shock-Spring Coil (DNT),195,0,0,1,0,0,0
Everburning Blasting Powder (DNT),196,0,0,1,0,0,0
Greased-Up Gears (DNT),197,0,0,1,0,0,0
Arclight Capacitor (DNT),198,0,0,1,0,0,0
Reinforced Machine Chassis (DNT),199,0,0,1,0,0,0
Assorted Safety Fuses (DNT),200,0,0,1,0,0,0
Primal Deconstruction Charge (DNT),201,0,0,1,0,0,0
暗月符印,202,2,0,0,0,0,0
Refreshing Healing Potion (DNT),203,0,0,1,0,0,0
Aerated Mana Potion (DNT),204,0,0,1,0,0,0
Potion of Gusts (DNT),205,0,0,1,0,0,0
Creature Combustion Canister (DNT),206,0,0,1,0,0,0
Draconium Gun Shoes (DNT),207,0,0,1,0,0,0
Gravitational Displacer (DNT),208,0,0,1,0,0,0
Blazing Ink (DNT),209,0,0,1,0,0,0
Cosmic Ink (DNT),210,0,0,1,0,0,0
Flourishing Ink (DNT),211,0,0,1,0,0,0
Burnished Ink (DNT),212,0,0,1,0,0,0
Serene Ink (DNT),213,0,0,1,0,0,0
Serene Pigment (DNT),214,0,0,1,0,0,0
Flourishing Pigment (DNT),215,0,0,1,0,0,0
Blazing Pigment (DNT),216,0,0,1,0,0,0
Shimmering Pigment (DNT),217,0,0,1,0,0,0
Chilled Rune (DNT),218,0,0,1,0,0,0
Runed Writhebark (DNT),219,0,0,1,0,0,0
Potion of the Hushed Zephyr (DNT),220,0,0,1,0,0,0
去污沙,221,2,0,2,2,0,0
自訂製作屬性,222,0,0,0,0,0,0
安全材料,223,2,0,0,0,0,0
增強次要屬性,224,2,0,0,0,0,0
增強次要屬性,225,0,0,0,0,0,0
添加裝飾,226,2,0,0,1,0,0
自訂次要屬性,227,0,0,0,0,0,0
備用零件,230,2,0,2,2,0,0
自訂收集屬性,231,0,0,0,0,0,0
自訂製作屬性,232,0,0,0,0,0,0
添加裝飾,233,2,0,0,1,0,0
打磨布,234,0,0,2,2,0,0
次級卓越洞見,235,0,0,2,2,0,0
鋼鑄精華劑,236,0,0,0,0,0,0
真鋼精華劑,237,0,0,0,0,0,0
上油扣鏈齒輪,238,0,0,0,0,0,0
真鐵扳機,239,0,0,0,0,0,0
光潔精華劑,240,0,0,0,0,0,0
咒織精華劑,241,0,0,0,0,0,0
武器水晶,242,0,0,0,0,0,0
自訂次要屬性,243,2,0,0,0,0,0
