ID,Name_lang,Name1_lang,Mask_ID,Flags
1,士兵 %s,士兵 %s,1,0
2,下士 %s,下士 %s,2,0
3,士官 %s,士官 %s,3,0
4,上士 %s,上士 %s,4,0
5,士官長 %s,士官長 %s,5,0
6,騎士 %s,騎士 %s,6,0
7,中尉騎士 %s,中尉騎士 %s,7,0
8,上尉騎士 %s,上尉騎士 %s,8,0
9,一等騎士 %s,一等騎士 %s,9,0
10,少校 %s,少校 %s,10,0
11,指揮官 %s,指揮官 %s,11,0
12,元帥 %s,元帥 %s,12,0
13,戰場元帥 %s,戰場元帥 %s,13,0
14,總元帥 %s,總元帥 %s,14,0
15,斥候 %s,斥候 %s,15,0
16,蠻兵 %s,蠻兵 %s,16,0
17,士官 %s,士官 %s,17,0
18,資深士官 %s,資深士官 %s,18,0
19,一等士官 %s,一等士官 %s,19,0
20,石衛士 %s,石衛士 %s,20,0
21,血衛士 %s,血衛士 %s,21,0
22,軍團士兵 %s,軍團士兵 %s,22,0
23,百夫長 %s,百夫長 %s,23,0
24,勇士 %s,勇士 %s,24,0
25,中將 %s,中將 %s,25,0
26,將軍 %s,將軍 %s,26,0
27,督軍 %s,督軍 %s,27,0
28,高階督軍 %s,高階督軍 %s,28,0
42,鬥士 %s,鬥士 %s,29,0
43,決鬥者 %s,決鬥者 %s,30,0
44,競爭者 %s,競爭者 %s,31,0
45,挑戰者 %s,挑戰者 %s,32,0
46,聖甲蟲領主 %s,聖甲蟲領主 %s,33,0
47,征服者 %s,征服者 %s,34,0
48,審判者 %s,審判者 %s,35,0
53,『那魯的勇士』%s,『那魯的勇士』%s,36,0
62,殘忍鬥士 %s,殘忍鬥士 %s,37,0
63,破碎之日的%s,破碎之日的%s,38,0
64,阿達歐之手 %s,阿達歐之手 %s,39,0
71,仇恨鬥士 %s,仇恨鬥士 %s,40,0
72,戰鬥大師 %s,戰鬥大師 %s,41,0
74,長老 %s,長老 %s,43,0
75,火焰看守者 %s,火焰看守者 %s,44,0
76,火焰持護者 %s,火焰持護者 %s,45,0
77,人人崇拜的%s,人人崇拜的%s,46,0
78,『探險家』%s,『探險家』%s,47,0
79,『外交官』%s,『外交官』%s,48,0
80,野蠻鬥士 %s,野蠻鬥士 %s,49,0
81,『追尋者』%s,『追尋者』%s,42,0
82,競技場大師 %s,競技場大師 %s,50,0
83,熟練釣手 %s,熟練釣手 %s,51,0
84,大廚 %s,大廚 %s,52,0
85,暴力粉碎者 %s,暴力粉碎者 %s,53,0
86,無盡風暴的%s,無盡風暴的%s,54,0
87,翡翠夢境的%s,翡翠夢境的%s,55,0
89,先知 %s,先知 %s,57,0
90,『煞星』%s,『煞星』%s,58,0
91,捕獵者 %s,捕獵者 %s,59,0
92,『黯刃』%s,『黯刃』%s,60,0
93,大法師 %s,大法師 %s,61,0
94,戰鬥領主 %s,戰鬥領主 %s,62,0
95,刺客 %s,刺客 %s,63,0
96,宗師級鍊金師 %s,宗師級鍊金師 %s,64,0
97,宗師級鐵匠 %s,宗師級鐵匠 %s,65,0
98,料理鐵人 %s,料理鐵人 %s,66,0
99,宗師級附魔師 %s,宗師級附魔師 %s,67,0
100,宗師級工程師 %s,宗師級工程師 %s,68,0
101,醫生 %s,醫生 %s,69,0
102,宗師級釣手 %s,宗師級釣手 %s,70,0
103,宗師級草藥師 %s,宗師級草藥師 %s,71,0
104,宗師級雕銘師 %s,宗師級雕銘師 %s,72,0
105,宗師級珠寶設計師 %s,宗師級珠寶設計師 %s,73,0
106,宗師級製皮師 %s,宗師級製皮師 %s,74,0
107,宗師級礦工 %s,宗師級礦工 %s,75,0
108,宗師級剝皮師 %s,宗師級剝皮師 %s,76,0
