CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
劫掠,ContainerFrame1Item1,1,2,1,107628,0,0,0
調換,ContainerFrame1Item1,2,2,1,107628,0,0,0
劫掠,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
切換|n|n(按下|cFF00FFFFTab|r循環切換欄位),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
切換|n|n(按下|cFF00FFFFTab|r循環切換欄位),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
劫掠,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
劫掠,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
切換|n|n(按下|cFF00FFFFTab|r循環切換欄位),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
劫掠,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
切換|n|n(按下|cFF00FFFFTab|r循環切換欄位),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
按下[Tab]切換欄位,MultiBarBottomLeft,17,3,3,0,0,0,0
升級！,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
升級！,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
升級！,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
升級！,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
等待召喚足夠玩家後，聯賽便會開始！,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
