ID,QuestTitle_lang,BulletText_lang,UniqueBitFlag,ConditionID,FiltActiveQuest,FiltClasses,FiltCompletedQuestLogic,FiltMaxFactionID,FiltMaxFactionValue,FiltMinFactionID,FiltMinFactionValue,FiltMinSkillID,FiltMinSkillValue,FiltNonActiveQuest,BreadCrumbID,StartItem,WorldStateExpressionID,QuestInfoID,ContentTuningID,CovenantID,Field_9_0_2_36206_022,Flags[0],Flags[1],Flags[2],FiltCompletedQuest[0],FiltCompletedQuest[1],FiltCompletedQuest[2],FiltRaceMasks[0],FiltRaceMasks[1]
11354,懸賞：納桑的騎乘馬鞭,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4824,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11362,懸賞：凱利丹的羽飾手杖,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4825,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11363,懸賞：刃拳的徽印,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4826,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11368,懸賞：奎克米瑞之心,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4827,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11369,懸賞：黑色潛獵者的蛋,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4828,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11370,懸賞：督軍的論述,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4829,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11371,懸賞：盤牙部屬,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4817,81,233,0,2,4104,0,268435968,0,0,0,-1,-1
11372,懸賞：伊奇斯的冠羽,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4830,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11373,懸賞：薩法爾的奇妙護符,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4831,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11374,懸賞：主教的靈魂寶石,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4832,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11375,懸賞：莫爾墨的低語,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4833,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11376,懸賞：惡毒導師,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4818,81,225,0,2,4104,0,268435968,0,0,0,-1,-1
11378,懸賞：紀元狩獵者的頭顱,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4834,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11382,懸賞：艾奧那斯的沙漏,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4835,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11383,懸賞：裂隙領主,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4819,81,227,0,2,4104,0,268435968,0,0,0,-1,-1
11384,懸賞：扭曲分裂者的剪枝,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4836,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11385,懸賞：尋日導魔師,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4820,81,229,0,2,4104,0,268435968,0,0,0,-1,-1
11386,懸賞：帕薩里歐的投映器,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4837,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11387,懸賞：風暴要塞-熔爐毀滅者,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4821,81,230,0,2,4104,0,268435968,0,0,0,-1,-1
11388,懸賞：史蓋力司卷軸,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4838,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11389,懸賞：亞克崔茲哨兵,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4822,81,226,0,2,4104,0,268435968,0,0,0,-1,-1
