ID,Name_lang,AreaTableID,Type,Flags,UiTextureKitID
15,仰加印古,0,0,0,0
39,遺忘諸王墓穴,0,0,0,0
40,綠石村,0,0,0,0
44,玉蛟寺,0,1,18,0
45,風暴烈酒酒坊,0,1,1,0
46,影潘僧院,0,1,1,0
48,落陽關,0,1,1,0
49,圍攻怒兆寺,0,1,1,0
50,魔古山宮,0,1,1,0
51,通靈學院,0,1,1,0
52,血色大廳,0,1,1,0
53,血色修道院,0,1,1,0
58,殲滅競技場,0,0,0,0
63,酒月節,0,0,0,0
65,雷電佳釀,0,0,0,0
68,科特魔古神廟,0,0,0,0
70,塞拉摩攻防戰,0,0,0,0
71,塞拉摩攻防戰,0,0,0,0
72,塞拉摩攻防戰,0,0,0,0
179,暗箭難防,0,0,0,0
180,鑽石島,0,0,0,0
181,襲擊贊斐斯,0,0,0,0
182,怒海之戰,0,0,0,0
183,耐心試煉,0,0,0,0
184,雄獅灘,0,0,0,0
187,制霸岬,0,0,0,0
200,追擊黑穫議會,0,0,0,0
201,制霸岬,0,0,0,0
203,襲擊贊斐斯,0,0,0,0
204,突破城牆!,0,0,0,0
205,狂濤港,0,0,0,0
206,襲擊札布圖拉,0,0,0,0
207,飛上天吧!,0,0,0,0
208,衫布敗亡,0,0,0,0
209,突破城牆!,0,0,0,0
210,血染滄雪,0,0,0,0
211,雷霆熔爐,0,0,0,0
212,襲擊韶嘛喇,0,0,0,0
215,雷王的珍寶,0,0,0,0
216,潘達利亞的黑暗之心,0,0,0,0
219,怒焰之秘,0,0,0,0
237,試煉場:選擇試煉,0,0,2,0
239,怒海之戰,0,0,0,0
247,事件範本,0,0,0,0
248,試煉場,0,0,2,0
254,原型事件,0,0,2,0
256,玄牛之死,0,0,0,0
257,天尊武道會,0,0,0,0
269,找出神秘食材,0,0,0,0
275,葛羅瑪掃蕩行動,0,0,0,0
278,湯麵時刻,0,0,0,0
294,剃刀沼澤,0,0,0,0
318,德拉諾的礦坑,0,0,0,0
320,格古隆德終章,0,0,0,0
322,多森的小溪,0,0,0,0
323,骸骨鎮事件,0,0,0,0
324,雷霆隘口之戰,0,0,0,0
329,黑石塔上層,0,3,26,0
331,撒塔斯之戰,0,0,0,0
333,黑澗深淵,0,3,10,0
423,擎天峰,0,1,1,0
425,血槌熔渣礦場,0,1,1,0
426,鋼鐵碼頭,0,1,18,0
427,奧齊頓,0,1,1,0
428,影月墓地,0,1,18,0
429,恐軌車站,0,1,19,0
430,永茂林,0,1,18,0
432,黑石塔上層,0,1,1,0
449,卡拉伯爾防衛戰,0,0,0,0
450,卡拉伯爾的命運,0,0,0,0
499,轟隆隆的東西這邊來了,0,0,0,0
508,聯盟的力量,0,0,0,0
509,部落的力量,0,0,0,0
510,監獄,0,3,10,0
511,怒焰裂谷,0,3,10,0
