ID,Name_lang,Flags,UsesPerWeek,MaxCharges,ChargeRecoveryTime,TypeMask
1,預設值,0,0,0,0,0
2,直接傷害 - 法術,0,0,0,0,0
4,物品 - 戰鬥效果(藥水),32,0,0,0,0
11,物品 - 食物,0,0,0,0,0
12,治療 - 法術,0,0,0,0,0
17,短效增益效果(Resist) - 法術,0,0,0,0,0
18,持續性傷害 - 法術,0,0,0,0,0
19,快速傷害 - 法術,0,0,0,0,0
20,無敵(其他),0,0,0,0,0
21,短效增益效果 - 法術,0,0,0,0,0
22,短效減益效果 - 法術,0,0,0,0,0
23,召喚,0,0,0,0,0
24,物品 - 戰鬥效果(攻擊型),0,0,0,0,0
25,迅速治療 - 法術,0,0,0,0,0
26,恢復(完整),0,0,0,0,0
27,物品 - 卷軸,0,0,0,0,0
28,物品 - 短效增益效果,0,0,0,0,0
29,物品 - 減益效果,0,0,0,0,0
30,物品 - 治療,32,0,0,0,0
31,召喚(短),0,0,0,0,0
32,昏迷,0,0,0,0,0
33,迷惑,0,0,0,0,0
34,定身,0,0,0,0,0
35,直接傷害(範圍) - 法術,0,0,0,0,0
36,減益效果 - 法術,0,0,0,0,0
37,無敵,0,0,0,0,0
38,光環,0,0,0,0,0
39,變身,0,0,0,0,0
40,近戰(一般),0,0,0,0,0
41,致命一擊,0,0,0,0,0
42,緩速,0,0,0,0,0
43,怒吼,0,0,0,0,0
44,速度,0,0,0,0,0
45,圖騰(石爪),0,0,0,0,0
46,治療(隊伍) - 法術,0,0,0,0,0
47,作戰姿態,0,0,0,0,0
49,直接傷害(範圍) - 技能,0,0,0,0,0
50,直接傷害(錐形範圍) - 技能,0,0,0,0,0
51,短效減益效果(傷害輸出) - 法術,0,0,0,0,0
52,短效減益效果(傷害減免) - 法術,0,0,0,0,0
54,短效增益效果(DR) - 法術,0,0,0,0,0
55,短效增益效果(DPS) - 法術,0,0,0,0,0
56,立即治療 - 法術,0,0,0,0,0
57,迅速治療(隊伍) - 法術,0,0,0,0,0
58,立即治療(隊伍) - 法術,0,0,0,0,0
59,物品 - 飲料,0,0,0,0,0
60,無敵(暫時),0,0,0,0,0
61,復能(隊伍) - 法術,0,0,0,0,0
62,復能 - 法術,0,0,0,0,0
63,大型直接傷害 - 法術,0,0,0,0,0
64,小地圖特殊,0,0,0,0,0
